SI.No.,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Others IPC Crimes,Total Cog. Under IPC
11,Punjab,Jalandhar,67,38,4,14,37,24,13,1,0,4,139,212,0,8,90,6,11,240,12,11,0,27,475,1396
12,Punjab,Kapurthala,30,18,4,12,17,13,4,1,1,8,55,83,0,14,49,9,9,117,8,7,0,13,209,664
13,Punjab,Khanna,16,6,2,8,9,5,4,0,0,1,27,31,0,8,12,0,0,43,5,1,0,5,141,315
14,Punjab,Ludhiana,65,28,16,16,33,19,14,7,4,6,122,256,0,17,87,8,1,101,18,2,0,31,463,1281
15,Punjab,Majitha,34,16,4,3,5,5,0,0,0,1,23,33,0,3,10,0,1,75,7,6,0,2,141,364
16,Punjab,Mansa,30,8,1,4,4,4,0,0,0,1,22,16,1,8,17,0,0,116,3,6,0,3,78,318
17,Punjab,Moga,14,15,3,5,6,1,5,2,0,0,43,50,0,4,7,1,0,145,3,6,0,2,113,419
18,Punjab,Muktsar,23,14,1,0,2,2,0,1,0,0,15,27,0,9,8,0,1,97,3,4,0,4,46,255
19,Punjab,Nawan Shahr,12,12,2,5,5,5,0,4,0,5,22,25,0,1,14,0,0,61,11,0,0,0,112,291
20,Punjab,Patiala,50,13,15,6,19,12,7,1,0,0,80,118,0,12,44,1,2,123,10,10,1,11,525,1041
21,Punjab,Ropar,25,6,4,5,6,4,2,1,0,0,41,76,0,9,39,0,0,60,13,1,0,9,389,684
22,Punjab,Sangrur,35,19,3,9,10,7,3,1,1,1,28,46,0,13,17,0,2,99,7,5,0,5,208,509
23,Punjab,Tarn Taran,31,20,0,8,5,3,2,0,0,0,25,25,0,2,23,0,0,71,7,4,0,3,119,343
24,Punjab,G.R.P.,11,0,1,0,1,1,0,0,3,1,0,22,0,4,53,2,0,3,2,3,0,0,289,395
Punjab,Punjab,Total,706,329,94,178,274,166,108,28,11,54,1167,1664,6,208,805,32,57,2613,180,129,1,225,5161,13922
1,Rajasthan,Ajmer,61,104,13,34,129,129,0,4,0,43,352,701,612,36,343,15,22,1133,10,68,3,161,2405,6249
2,Rajasthan,Alwar,110,63,4,39,120,97,23,7,0,34,317,810,1244,64,335,12,56,113,32,85,0,153,3495,7093
3,Rajasthan,Banswara,43,39,0,113,139,139,0,3,0,57,193,239,917,19,36,3,59,43,4,164,8,166,2964,5209
4,Rajasthan,Baran,45,117,2,59,113,113,0,4,0,75,301,395,422,33,95,3,58,82,4,154,0,85,2487,4534
5,Rajasthan,Barmer,12,19,3,13,26,19,7,1,0,16,152,173,148,10,63,4,34,36,3,50,0,25,1447,2235
6,Rajasthan,Bharatpur,56,56,4,40,115,79,36,7,1,29,212,780,832,36,177,10,59,92,19,50,0,123,3644,6342
7,Rajasthan,Bhilwara,36,27,5,49,207,207,0,1,0,37,416,572,924,31,370,9,19,259,6,98,0,196,3490,6752
8,Rajasthan,Bikaner,37,77,1,36,44,44,0,2,0,5,223,368,199,10,125,3,8,77,7,78,0,157,2298,3755
9,Rajasthan,Bundi,48,140,8,44,114,90,24,8,0,81,201,367,436,14,94,3,38,178,5,137,1,124,2291,4332
10,Rajasthan,Chittorgarh,50,48,4,53,193,171,22,11,0,78,629,781,902,16,240,6,63,2706,7,108,2,172,1524,7593
11,Rajasthan,Churu,33,44,0,19,29,10,19,2,0,10,222,335,331,6,138,11,40,335,15,82,0,132,1623,3407
12,Rajasthan,Dausa,32,43,0,15,59,59,0,0,0,23,145,405,1058,14,71,0,17,295,7,31,0,50,1329,3594
13,Rajasthan,Dholpur,53,84,0,19,50,40,10,4,1,30,95,353,650,14,56,4,27,38,14,38,0,39,1594,3163
14,Rajasthan,Dungarpur,18,22,2,32,44,40,4,2,0,13,60,88,342,8,36,1,43,1230,2,48,0,48,244,2283
15,Rajasthan,Ganganagar,100,147,0,62,88,70,18,3,0,19,262,442,319,47,396,2,28,992,32,173,1,430,2943,6486
16,Rajasthan,Hanumangarh,74,136,1,34,48,36,12,3,0,8,162,256,243,35,222,1,31,420,12,86,0,229,2173,4174
17,Rajasthan,Jaipur,119,185,7,49,268,220,48,7,0,86,1288,3937,3371,213,794,71,66,234,36,196,0,261,9023,20211
18,Rajasthan,Jaisalmer,4,13,0,4,4,2,2,1,0,13,56,123,97,7,21,2,3,0,2,16,0,8,518,892
19,Rajasthan,Jalore,26,13,0,11,35,22,13,0,0,17,70,130,164,17,100,11,42,98,8,39,0,37,1940,2758
20,Rajasthan,Jhalawar,64,137,0,83,107,84,23,4,0,93,424,504,534,16,101,5,86,193,8,179,9,137,2260,4944
21,Rajasthan,Jhunjhunu,54,20,3,14,30,21,9,2,0,5,170,282,483,11,99,15,31,1331,9,34,0,55,853,3501
22,Rajasthan,Jodhpur,55,60,1,22,77,59,18,1,0,43,359,692,475,65,310,7,47,1844,19,69,0,250,1891,6287
23,Rajasthan,Kota,72,372,5,77,162,162,0,12,0,75,598,1066,614,61,331,5,48,318,13,142,10,283,3451,7715
24,Rajasthan,Nagaur,64,31,0,27,44,40,4,0,0,27,225,301,402,7,155,12,8,35,12,55,0,88,3056,4549
25,Rajasthan,Pali,44,28,4,26,73,58,15,1,0,16,146,248,344,27,169,8,18,115,7,65,1,92,2608,4040
26,Rajasthan,Rajsanand,26,8,0,17,85,85,0,1,0,29,141,281,348,10,119,6,27,402,6,23,0,37,1582,3208
27,Rajasthan,Sawal Madhopur,70,20,1,56,113,113,0,1,0,41,294,649,1587,16,180,2,32,53,7,71,0,49,2586,5828
28,Rajasthan,Sikar,79,36,10,20,39,29,10,0,0,15,274,409,1375,19,184,9,51,1172,21,49,0,94,934,4790
29,Rajasthan,Sirohi,27,36,1,10,26,26,0,1,0,14,171,110,185,15,41,7,17,76,3,22,0,28,1531,2321
30,Rajasthan,Tonk,25,61,6,23,73,52,21,0,0,11,110,283,616,15,130,2,19,53,5,74,4,35,2216,3761
31,Rajasthan,Udaipur,79,56,2,61,200,168,32,4,0,127,537,735,1229,55,308,7,76,242,12,90,5,116,4922,8863
32,Rajasthan,G.R.P,6,6,0,1,3,1,2,0,0,13,1,407,10,6,14,14,0,8,2,9,0,0,252,752
Rajasthan,Rajasthan,Total,1622,2248,87,1162,2857,2485,372,97,2,1183,8806,17222,21413,953,5853,270,1173,14203,349,2583,44,3920,75574,161621
1,Sikkam,East,1,2,1,3,7,5,2,0,0,3,32,85,13,7,23,0,0,53,0,21,0,0,95,346
2,Sikkam,North,1,1,0,2,1,1,0,0,0,1,19,18,4,1,2,0,0,7,0,10,0,0,28,95
3,Sikkam,South,2,1,0,2,3,2,1,1,0,1,10,24,16,1,4,1,0,50,0,6,0,0,37,159
4,Sikkam,West,1,1,1,2,0,0,0,0,0,4,9,7,9,0,22,0,0,15,0,10,0,0,29,110
Sikkam,Sikkam,Total,5,5,2,9,11,8,3,1,0,9,70,134,42,9,51,1,0,125,0,47,0,0,189,710
1,Tamil Nadu,Chengai MGR (East),80,76,0,13,35,35,0,15,0,30,487,1058,83,8,53,0,32,599,6,40,532,14,2622,5783
2,Tamil Nadu,Chengai MGR (West),83,34,0,17,54,54,0,6,0,23,195,587,379,10,15,7,77,1602,4,35,3,1,3875,7007
3,Tamil Nadu,Chennai,64,283,1,11,27,27,0,3,0,80,567,2732,58,117,388,60,0,434,8,14,0,88,1208,6143
4,Tamil Nadu,Chidambaranar,100,60,0,12,13,13,0,12,0,25,167,498,317,6,26,1,102,685,1,68,16,16,2764,4889
5,Tamil Nadu,Coimbatore (Rural),87,38,0,6,42,31,11,20,0,38,433,1147,560,22,67,1,42,570,10,63,25,33,3943,7147
6,Tamil Nadu,Coimbatore (Urban),19,17,0,2,9,6,3,1,0,20,128,964,129,30,64,20,0,65,3,1,1,6,1789,3268
7,Tamil Nadu,Cuddalore,61,75,3,21,72,72,0,5,0,6,224,627,624,9,22,4,60,123,12,71,31,18,4979,7047
8,Tamil Nadu,Dharmapuri,105,48,0,13,44,44,0,8,0,33,236,371,373,20,16,8,78,108,1,61,12,5,4875,6415
9,Tamil Nadu,Dindigal Anna,73,53,0,16,48,48,0,7,0,22,152,365,115,16,16,7,0,504,2,38,16,8,2371,3823
10,Tamil Nadu,Kamarjar,69,64,0,17,15,11,4,1,0,19,151,406,282,4,17,4,66,902,3,57,32,3,1354,3466
11,Tamil Nadu,Kanyakumari,72,33,0,10,16,16,0,2,0,16,250,410,119,1,7,5,74,592,1,10,2,0,2296,3916
12,Tamil Nadu,Karur Dheeran,28,15,0,6,8,8,0,0,0,1,65,244,66,5,27,4,8,97,0,9,0,12,807,1402
13,Tamil Nadu,Madurai Rural,69,70,4,18,27,22,5,13,0,15,163,422,333,9,21,1,76,1477,2,32,5,2,964,3723
14,Tamil Nadu,Madurai Urban,26,73,1,4,14,5,9,8,0,78,158,1040,69,32,143,18,1,220,5,10,86,18,2012,4016
15,Tamil Nadu,N.A. Ambedkar,78,52,0,14,66,50,16,16,1,21,482,950,739,30,84,18,109,969,5,92,35,12,3925,7698
16,Tamil Nadu,Nagai Quaid-E-Millet,58,55,0,22,74,55,19,2,0,3,280,579,151,11,39,3,92,1394,10,83,2,11,2980,5849
17,Tamil Nadu,Pasumpon M. Thevar,35,33,0,7,37,29,8,5,0,13,120,305,93,7,16,5,26,801,3,41,23,8,845,2423
18,Tamil Nadu,Periyar,83,32,1,6,28,16,12,4,0,20,245,902,116,11,23,10,49,2018,6,32,18,4,2002,5610
19,Tamil Nadu,Pudukottai,25,21,0,8,28,17,11,1,0,5,67,222,108,12,16,0,19,203,2,16,3,0,1281,2037
20,Tamil Nadu,Ramnathapuram,54,61,1,5,17,17,0,1,0,4,102,166,280,14,16,1,39,467,4,61,0,0,1480,2773
21,Tamil Nadu,Salem,156,56,0,18,38,38,0,3,0,16,380,911,406,2,16,23,69,1026,3,40,419,16,4402,8000
22,Tamil Nadu,T.V.M. Sampuvarayar,42,28,1,11,31,31,0,2,0,5,98,357,393,15,28,4,67,1169,2,38,22,28,1540,3881
23,Tamil Nadu,Thanjavur,64,56,0,12,42,42,0,4,0,15,253,746,136,9,38,8,0,596,7,49,195,0,48,2278
24,Tamil Nadu,The Nil Giris,19,1,0,3,5,5,0,5,0,2,166,146,64,2,15,4,8,231,2,15,9,1,667,1365
25,Tamil Nadu,Tin.Kattabomman,132,123,0,25,46,26,20,10,0,51,268,666,87,10,46,2,116,829,2,122,24,14,4366,6939
26,Tamil Nadu,Tiruvalluvar,39,30,1,1,23,23,0,1,0,1,40,126,108,5,13,4,20,188,0,23,0,2,955,1580
27,Tamil Nadu,Trichy,57,56,1,9,41,41,0,4,0,14,285,774,54,23,66,11,14,1234,1,51,2,31,1631,4359
28,Tamil Nadu,Vaigai Theani,28,42,0,4,18,18,0,3,0,5,74,327,299,4,15,1,37,799,1,31,1,2,462,2153
29,Tamil Nadu,Villupuram,75,81,2,16,58,58,0,4,0,7,119,405,638,26,18,8,74,745,6,50,0,0,3589,5921
30,Tamil Nadu,Madras Rly.,2,2,0,0,0,0,0,3,0,10,2,153,14,1,4,0,0,29,0,0,0,0,155,375
31,Tamil Nadu,Trichy Rly.,0,0,0,0,0,0,0,2,0,2,5,60,2,3,3,0,0,13,0,0,0,0,121,211
Tamil Nadu,Tamil Nadu,Total,1883,1668,16,327,976,858,118,171,1,600,6362,18666,7195,474,1338,236,1355,20689,112,1253,1514,353,66308,131497
1,Tripura,Dhalal,38,5,0,10,53,0,53,2,0,11,14,21,31,0,1,0,12,40,0,6,0,9,62,315
2,Tripura,North,35,13,1,21,16,13,3,16,0,36,85,83,37,12,11,1,18,112,2,28,1,17,187,732
3,Tripura,South,46,6,0,30,42,15,27,54,0,35,76,123,101,8,2,0,44,183,5,39,0,3,215,1012
4,Tripura,West,109,10,0,29,72,15,57,43,4,38,126,261,97,7,16,4,32,231,12,21,0,37,422,1571
Tripura,Tripura,Total,228,34,1,90,183,43,140,115,4,120,301,488,266,27,30,5,106,566,19,94,1,66,886,3630
1,Uttar Pradesh,Agra,145,168,35,38,129,75,54,39,0,146,401,1080,247,126,126,2,41,456,67,79,0,146,1757,5228
2,Uttar Pradesh,Aligarh,292,257,27,68,144,87,57,74,1,221,290,882,306,105,113,0,5,604,76,95,0,158,1493,5214
3,Uttar Pradesh,Allahabad,302,339,54,69,108,83,25,22,5,276,670,1251,323,118,147,0,72,527,83,129,0,173,2870,7538
4,Uttar Pradesh,Almora,14,21,0,7,8,2,6,1,0,17,27,75,16,12,3,0,0,2,2,12,0,3,184,404
5,Uttar Pradesh,Ambedkar Nagar,40,69,10,6,17,15,2,14,4,42,83,186,96,21,26,0,14,175,13,4,0,23,456,1299
6,Uttar Pradesh,Azamgarh,109,105,17,15,22,16,6,19,4,72,199,289,101,18,35,1,36,202,31,19,0,23,705,2022
7,Uttar Pradesh,Badaun,261,257,35,65,127,52,75,25,0,130,148,456,125,38,29,1,43,204,31,73,0,69,1091,3208
8,Uttar Pradesh,Bahraich,103,92,19,38,68,52,16,22,2,59,223,435,104,39,60,0,31,291,39,38,0,45,904,2612
9,Uttar Pradesh,Ballia,55,53,10,6,16,8,8,9,0,29,136,236,98,25,22,0,21,232,17,22,0,10,454,1451
10,Uttar Pradesh,Banda,110,46,17,20,26,15,11,1,0,39,160,223,77,34,40,2,16,136,30,46,0,30,858,1911
11,Uttar Pradesh,Barabanki,136,103,24,51,79,57,22,19,4,97,214,381,75,64,14,0,26,377,39,39,0,89,718,2549
12,Uttar Pradesh,Bareily,276,242,30,57,135,118,17,14,2,135,312,945,114,81,114,1,22,155,61,62,0,118,1841,4717
13,Uttar Pradesh,Basti,61,72,23,12,43,43,0,3,1,37,101,220,86,43,26,0,11,255,23,14,0,19,621,1671
14,Uttar Pradesh,Bhadoi,25,27,5,4,8,6,2,5,4,26,89,116,44,5,6,0,4,102,28,3,0,8,245,754
15,Uttar Pradesh,Bijnor,128,119,23,33,64,38,26,10,1,92,156,413,70,30,41,1,5,98,25,69,0,115,829,2322
16,Uttar Pradesh,Bulandshahar,291,292,33,40,72,47,25,25,2,155,201,731,170,100,108,7,2,42,49,63,0,132,1416,3931
17,Uttar Pradesh,Chamoli,23,17,4,2,18,17,1,0,0,18,56,42,46,4,9,0,2,0,1,8,0,3,74,327
18,Uttar Pradesh,Dehradun,45,51,3,12,63,52,11,10,0,21,161,336,78,49,39,0,17,75,7,29,0,53,649,1698
19,Uttar Pradesh,Deoria,65,96,15,5,31,22,9,17,0,53,182,250,126,43,29,5,14,191,17,20,0,29,717,1905
20,Uttar Pradesh,Etah,247,324,15,46,130,49,81,33,0,115,182,418,188,46,73,0,46,367,63,59,0,56,927,3335
21,Uttar Pradesh,Etawah,138,107,19,86,86,37,49,25,0,71,142,309,108,46,42,0,3,411,47,32,0,55,967,2694
22,Uttar Pradesh,Faizabad,71,82,4,16,23,17,6,16,0,83,135,321,107,93,6,3,29,218,18,27,18,33,820,2123
23,Uttar Pradesh,Fathegarh,186,175,23,25,87,41,46,30,0,47,108,278,81,30,48,0,21,467,43,32,0,78,776,2535
24,Uttar Pradesh,Fatehpur,186,105,36,26,59,23,36,20,2,67,112,306,44,12,60,0,17,307,40,45,0,30,614,2088
25,Uttar Pradesh,Firozabad,129,115,19,40,84,37,47,23,3,74,126,299,92,39,32,0,24,328,36,38,0,43,818,2362
26,Uttar Pradesh,Ghaziabad,334,331,25,53,145,104,41,32,0,213,405,1950,178,128,154,4,16,146,38,64,0,156,2246,6618
27,Uttar Pradesh,Ghazipur,80,52,16,8,33,15,18,14,1,32,163,272,137,9,1,0,10,214,24,11,0,10,741,1828
28,Uttar Pradesh,Gonda,125,159,30,22,56,43,13,15,0,76,271,405,98,33,65,0,73,334,40,40,0,61,1001,2905
29,Uttar Pradesh,Gorakhpur,139,152,39,29,65,53,12,17,1,132,305,644,245,94,80,0,14,382,20,32,0,50,1589,4029
30,Uttar Pradesh,Hamirpur,64,34,8,12,14,5,9,7,0,28,80,107,33,14,13,0,14,55,14,34,30,11,377,949
31,Uttar Pradesh,Hardoi,181,168,25,52,51,47,4,14,3,94,153,364,71,45,21,0,17,268,39,66,0,23,1465,3120
32,Uttar Pradesh,Haridwar,77,84,12,32,50,28,22,7,0,58,201,366,81,40,35,0,7,45,13,26,0,53,455,1642
33,Uttar Pradesh,Jalaun,71,38,15,9,42,12,30,10,1,41,114,168,55,25,30,0,2,120,30,21,0,33,567,1392
34,Uttar Pradesh,Jaunpur,68,89,29,14,30,13,17,11,1,48,168,233,105,16,11,1,18,299,58,24,0,57,689,1969
35,Uttar Pradesh,Jhansi,70,52,22,9,20,13,7,12,4,45,139,259,59,24,29,0,12,64,19,23,5,28,802,1697
36,Uttar Pradesh,Kanpur Dehat,136,110,26,46,58,32,26,37,1,82,38,403,117,37,28,0,22,262,59,51,0,85,1149,2747
37,Uttar Pradesh,Kanpur Nagar,169,170,21,38,159,129,30,37,3,139,605,1287,186,215,232,1,20,629,51,53,0,185,1504,5704
38,Uttar Pradesh,kheri,155,151,21,48,92,72,20,21,2,114,196,518,94,46,54,0,63,408,55,69,14,68,552,2741
39,Uttar Pradesh,Lalitpur,22,11,6,16,7,6,1,0,0,4,70,106,38,15,11,0,3,29,3,35,0,19,423,818
40,Uttar Pradesh,Lucknow,190,188,29,33,93,72,21,13,7,115,434,1926,208,242,275,0,21,197,30,52,0,146,3071,7270
41,Uttar Pradesh,Maharajganj,34,26,19,13,13,9,4,1,0,16,28,79,32,10,5,0,3,103,3,7,0,6,298,696
42,Uttar Pradesh,Mahoba,46,33,6,7,8,6,2,3,0,18,32,71,12,4,12,0,1,33,9,18,0,10,259,582
43,Uttar Pradesh,Mainpuri,139,124,18,13,63,23,40,22,3,79,108,324,112,31,21,0,27,268,38,25,0,27,680,2122
44,Uttar Pradesh,Mathura,148,210,17,37,75,33,42,30,2,124,194,429,196,49,6,0,6,195,39,54,0,95,1152,3058
45,Uttar Pradesh,Mau,46,38,10,4,15,13,2,6,0,24,86,146,68,21,23,1,21,129,12,13,0,36,314,1013
46,Uttar Pradesh,Meerut,424,411,22,58,147,74,73,29,4,260,441,1372,240,100,233,11,31,138,41,98,0,330,2026,6416
47,Uttar Pradesh,Mirzapur,51,34,23,1,19,10,9,7,0,21,47,152,21,13,8,3,7,137,16,7,0,14,261,842
48,Uttar Pradesh,Moradabad,319,349,46,52,167,105,62,67,2,210,384,1057,238,93,89,3,11,207,49,92,0,196,1739,5370
49,Uttar Pradesh,Muzaffaranagar,319,226,21,38,142,58,84,25,6,206,196,724,146,77,60,1,0,31,35,60,0,120,1142,3575
50,Uttar Pradesh,Nainital,29,32,2,10,10,5,5,6,5,37,75,249,30,21,19,0,8,48,0,6,0,19,331,937
51,Uttar Pradesh,Padrona,60,59,19,8,25,13,12,16,0,48,104,205,98,29,55,5,11,250,25,26,0,13,572,1628
52,Uttar Pradesh,Pauri Garhwal,16,17,4,6,12,10,2,9,0,18,59,97,18,5,8,0,0,17,2,8,0,6,171,473
53,Uttar Pradesh,Pilibhit,90,86,12,40,47,35,12,14,1,73,76,190,41,36,48,3,2,67,15,35,0,71,634,1581
54,Uttar Pradesh,Pathoragarh,15,5,2,2,1,1,0,0,0,10,35,40,9,13,5,0,0,4,0,11,0,1,267,420
55,Uttar Pradesh,Pratapgarh,96,129,22,9,28,19,9,15,0,49,129,222,110,17,41,0,6,348,12,24,0,52,779,2088
56,Uttar Pradesh,Raibareilly,105,79,28,41,28,25,3,9,1,50,176,267,66,24,16,0,3,346,27,50,0,44,637,1997
57,Uttar Pradesh,Rampur,124,162,37,30,52,43,9,30,1,79,119,321,53,25,18,0,0,337,9,28,0,32,420,1877
58,Uttar Pradesh,Saharanpur,129,176,22,21,81,49,32,11,3,71,136,523,109,37,51,0,24,55,22,33,0,71,839,2414
59,Uttar Pradesh,Shahjahanpur,181,183,45,43,74,49,25,12,1,72,133,330,73,32,59,0,26,258,41,32,0,61,850,2506
60,Uttar Pradesh,Sidharthnagar,37,21,7,11,25,24,1,5,0,10,81,95,48,19,16,0,8,161,12,16,0,16,384,972
61,Uttar Pradesh,Sitapur,175,180,23,75,76,76,0,14,0,95,255,564,131,30,39,0,39,256,54,59,0,56,1156,3277
62,Uttar Pradesh,Sonbhadra,21,9,13,3,2,1,1,4,0,6,29,60,8,10,10,0,3,42,5,5,0,4,172,406
63,Uttar Pradesh,Sultanpur,100,115,20,21,46,33,13,10,5,49,245,407,66,37,59,3,21,364,28,36,0,58,790,2480
64,Uttar Pradesh,Tehri Garhwal,15,19,6,8,12,12,0,3,0,13,37,41,32,5,11,0,3,9,1,9,0,11,141,376
65,Uttar Pradesh,Udhamsingh Nagar,65,51,14,12,44,33,11,6,1,38,103,227,53,35,19,0,4,174,4,10,0,20,386,1266
66,Uttar Pradesh,Unnao,182,179,16,49,62,51,11,20,7,99,220,387,147,45,40,0,34,268,53,65,0,67,1237,3177
67,Uttar Pradesh,Uttarkashi,6,9,2,7,4,4,0,0,0,15,24,39,25,10,9,0,7,9,0,10,0,4,53,233
68,Uttar Pradesh,Varanasi,144,157,28,18,68,27,41,8,5,118,301,727,138,78,85,0,17,279,52,7,51,23,1069,3373
69,Uttar Pradesh,G.R.P,65,19,4,9,23,7,16,40,4,144,10,4691,33,94,81,2,0,5,0,24,0,0,750,5998
Uttar Pradesh,Uttar Pradesh,Total,8500,8261,1332,1854,3931,2501,1430,1146,113,5395,11819,33522,6980,3204,3433,61,1157,14212,1983,2526,118,3989,58944,172480
1,West Bengal,24 Parganas North,173,69,48,98,105,72,33,67,39,95,134,2152,683,92,111,2,5,189,4,119,6,544,2465,7200
2,West Bengal,24 Parganas South,213,47,56,89,97,95,2,58,11,92,40,2057,903,7,33,1,14,87,11,120,0,480,1767,6183
3,West Bengal,Bankura,40,2,13,18,6,6,0,19,4,27,13,270,116,0,7,0,3,245,17,35,0,52,289,1176
4,West Bengal,Birbhum,85,33,22,45,41,22,19,24,5,33,16,411,359,9,45,0,13,41,1,59,0,158,727,2127
5,West Bengal,Burdwan,178,53,55,56,57,56,1,40,49,63,56,1467,512,8,75,0,7,128,5,102,0,213,2732,5856
6,West Bengal,Calcutta,89,176,16,29,106,87,19,35,31,171,158,5462,485,216,603,32,5,1423,8,137,11,149,3053,12395
7,West Bengal,Coochbehar,45,9,17,47,30,23,7,18,0,15,28,200,55,11,9,2,0,268,0,51,0,127,515,1447
8,West Bengal,Dakshin Dinajpur,35,1,24,22,34,31,3,8,0,6,9,396,106,3,4,2,3,27,1,39,1,41,675,1437
9,West Bengal,Darjeeling,66,0,44,19,24,24,0,7,1,25,18,472,61,0,15,0,12,455,0,40,0,54,554,1867
10,West Bengal,Hooghly,99,23,46,43,54,51,3,24,27,52,49,1037,562,23,46,1,18,437,4,61,0,340,1228,4174
11,West Bengal,Howrah,71,5,27,20,23,14,9,20,13,20,46,913,341,4,14,0,0,161,1,26,0,108,1252,3097
12,West Bengal,Jalpaiguri,178,21,48,56,31,21,10,29,0,41,20,579,195,13,7,0,8,137,2,64,0,108,865,2402
13,West Bengal,Malda,68,19,29,35,25,25,0,6,6,10,7,327,133,5,13,1,0,42,1,46,0,21,642,1436
14,West Bengal,Midnapur,156,26,43,76,72,71,1,20,3,53,80,980,941,31,51,5,20,268,17,96,3,457,2073,5471
15,West Bengal,Murshidabad,182,69,53,52,69,66,3,33,0,35,7,794,165,1,17,0,7,467,1,76,0,137,1691,3856
16,West Bengal,Nadia,110,0,74,84,68,68,0,15,8,21,43,826,341,0,0,0,7,382,2,75,1,233,1203,3493
17,West Bengal,Purulia,57,0,5,32,11,9,2,12,5,18,19,414,132,11,18,0,12,123,2,56,0,116,531,1574
18,West Bengal,Uttar Dinajpur,33,18,9,31,44,42,2,18,2,8,9,498,119,13,10,0,4,105,0,42,0,98,845,1906
19,West Bengal,Howrah G.R.P.,19,0,1,2,1,0,1,34,14,38,0,692,31,0,0,0,0,23,0,6,0,1,139,1001
20,West Bengal,Sealdah G.R.P.,25,9,1,1,8,3,5,18,0,12,0,648,39,0,0,0,1,4,0,3,0,0,109,878
21,West Bengal,Siliguri G.R.P.,5,0,0,0,0,0,0,5,0,4,0,100,6,0,1,0,0,0,0,1,0,0,20,142
West Bengal,West Bengal,Total,1927,580,631,855,906,786,120,510,218,869,752,20695,6285,447,1081,46,139,5012,77,1254,22,3437,23375,69118
1,A & N Island,Andman,11,7,1,7,2,2,0,0,0,0,39,34,7,3,5,0,4,62,0,9,1,5,154,351
2,A & N Island,Nicobar,0,1,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,7,0,0,1,0,7,25
A & N Island,A & N Island,Total,11,8,1,7,2,2,0,0,0,0,42,38,8,3,6,0,4,69,0,9,2,5,161,376
1,Chandigarh,Chandigarh,20,21,5,9,32,26,6,0,0,5,172,876,48,45,91,0,4,84,2,13,4,13,604,2048
1,D & N Haveli,D & N Haveli,8,6,2,3,4,3,1,3,0,0,59,63,40,2,1,0,3,53,0,7,0,6,148,410
1,Daman & Diu,Daman,2,2,0,1,3,1,2,1,0,3,39,25,17,7,2,0,NA,NA,NA,NA,NA,NA,107,209
2,Daman & Diu,Diu,2,0,0,0,1,1,0,0,0,0,3,12,9,0,1,1,NA,NA,NA,NA,NA,NA,20,49
Daman & Diu,Daman & Diu,Total,4,2,0,1,4,2,2,1,0,3,42,37,26,7,3,1,NA,NA,NA,NA,NA,NA,127,258
1,Delhi,Central,39,40,9,32,55,40,15,0,2,34,93,1520,12,70,148,29,2,161,3,45,18,8,2504,4854
2,Delhi,East,46,25,13,27,140,111,29,3,2,35,239,1161,13,57,65,2,7,242,15,34,11,11,1250,3398
3,Delhi,I.G.I.Airport,1,1,0,2,2,2,0,1,0,1,0,100,0,5,434,0,2,5,0,5,1,0,92,652
4,Delhi,New Delhi,9,12,0,7,31,20,11,0,0,21,75,1764,11,67,274,11,7,50,1,29,27,3,1440,3839
5,Delhi,North,33,31,3,48,93,54,39,0,1,91,136,2177,29,133,198,5,10,212,6,68,21,7,3180,6482
6,Delhi,North East,65,94,4,52,207,157,50,3,3,78,277,977,28,43,59,0,6,353,16,74,11,17,2753,5120
7,Delhi,North West,113,106,10,98,221,181,40,5,4,87,451,2597,21,59,120,1,17,416,38,96,15,4,3451,7930
8,Delhi,S.T.F.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
9,Delhi,South,82,82,16,84,234,170,64,8,5,121,567,5447,55,78,232,5,9,301,16,169,31,29,4679,12250
10,Delhi,South West,42,40,14,56,107,73,34,3,0,45,322,1683,58,40,96,4,17,191,13,63,20,13,2715,5542
11,Delhi,West,78,80,12,77,156,114,42,2,2,42,265,2393,7,72,167,1,9,436,23,109,34,22,4796,8783
12,Delhi,G.R.P (RLY.),10,1,1,1,4,3,1,7,2,24,0,722,2,17,14,8,1,8,1,2,0,0,190,1015
Delhi,Delhi,Total,518,512,82,484,1250,925,325,32,21,609,2425,20541,236,641,1813,66,87,2375,132,694,189,114,27050,59871
1,Lakshadweep,Lakshadweep,0,0,0,0,0,0,0,0,0,0,13,7,1,0,0,0,7,9,0,0,0,0,7,44
1,Pondicherry,Pondicherry,27,15,6,2,7,5,2,2,0,4,96,473,85,13,25,2,12,354,1,14,4,2,1325,2469
Grand Total,Grand Total,All-India,37671,29597,3728,14846,20848,14877,5971,8035,888,22705,115097,284985,92831,15368,33823,2796,12425,223977,5513,28939,5671,35246,714587,1709576
