Sr. No.,Category,Sub Category,States/UTs/District,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting to Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395 to 398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397 & 398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
18,State,Kerala,Wayanadu,9,7,1,22,0,22,7,5,2,0,4,6,79,102,32,70,162,10,85,1,8,727,2,62,15,97,0,4,882,2292
Total,Total,Total,Total,343,408,100,568,0,568,256,173,83,112,266,830,3554,5564,2029,3535,8086,354,3394,66,503,18274,20,2540,395,4007,0,41,68688,118369
1,State,Madhya Pradesh,Alirajpur,70,40,0,31,0,31,10,10,0,2,0,12,33,60,11,49,29,2,8,0,12,282,1,22,0,1,0,63,599,1277
2,State,Madhya Pradesh,Anuppur,26,9,0,35,0,35,7,6,1,3,1,19,98,73,28,45,20,1,17,0,10,167,8,65,2,50,0,16,700,1327
3,State,Madhya Pradesh,Ashok Nagar,32,19,5,38,0,38,6,5,1,1,0,7,91,121,41,80,16,0,16,0,8,746,6,79,3,45,0,58,757,2054
4,State,Madhya Pradesh,Balaghat,56,23,4,62,0,62,8,8,0,1,1,15,115,142,38,104,21,9,11,0,6,360,7,96,4,37,0,116,1294,2388
5,State,Madhya Pradesh,Barwani,33,12,3,31,0,31,5,5,0,1,1,16,55,171,45,126,13,1,5,1,3,263,3,53,7,11,0,146,915,1749
6,State,Madhya Pradesh,Betul,65,32,2,130,1,129,30,30,0,1,1,28,132,241,64,177,21,0,22,0,20,335,18,155,15,71,0,158,1697,3174
7,State,Madhya Pradesh,Bhind,76,79,5,23,0,23,32,24,8,3,13,80,142,219,83,136,63,5,26,1,13,1102,38,57,13,67,0,136,1481,3674
8,State,Madhya Pradesh,Bhopal,65,93,2,152,0,152,77,58,19,2,7,188,1079,2817,1715,1102,143,10,356,4,10,2343,46,244,34,231,0,272,7265,15440
9,State,Madhya Pradesh,Bhopal Rly.,4,4,0,3,0,3,3,1,2,0,2,32,9,1021,17,1004,3,0,5,0,1,4,2,12,2,0,0,1,251,1359
10,State,Madhya Pradesh,Burhanpur,14,13,0,14,0,14,3,3,0,1,0,4,45,112,33,79,6,4,8,0,3,101,12,47,5,21,0,59,703,1175
11,State,Madhya Pradesh,Chhatarpur,67,76,2,64,0,64,20,15,5,3,4,77,369,255,111,144,67,16,48,1,28,635,17,178,6,85,0,129,2900,5047
12,State,Madhya Pradesh,Chhindwara,73,22,2,138,0,138,32,27,5,0,0,21,225,322,125,197,70,2,48,0,26,1340,18,252,36,160,0,216,2169,5172
13,State,Madhya Pradesh,Damoh,47,59,0,39,0,39,18,17,1,2,0,45,195,173,79,94,19,7,30,0,16,1182,23,147,0,70,0,75,983,3130
14,State,Madhya Pradesh,Datiya,36,51,0,20,0,20,24,17,7,3,5,38,106,185,39,146,33,1,12,0,6,462,13,69,0,32,0,78,1441,2615
15,State,Madhya Pradesh,Dewas,40,45,1,59,0,59,11,9,2,4,6,25,141,528,200,328,44,5,30,0,25,456,7,154,20,142,0,189,2858,4790
16,State,Madhya Pradesh,Dhar,80,73,3,99,0,99,34,32,2,8,5,41,243,456,194,262,94,63,19,0,33,530,41,167,18,87,0,299,3423,5816
17,State,Madhya Pradesh,Dindori,23,1,2,35,0,35,2,1,1,0,0,1,31,19,7,12,5,1,8,0,2,132,4,48,5,38,0,66,484,907
18,State,Madhya Pradesh,Guna,43,20,3,54,0,54,9,8,1,5,5,20,115,219,84,135,54,6,18,2,13,897,11,124,14,38,0,167,1296,3133
19,State,Madhya Pradesh,Gwalior,104,128,23,73,0,73,85,67,18,9,12,244,923,1849,1279,570,157,48,135,3,13,1266,23,183,20,209,0,289,4233,10029
20,State,Madhya Pradesh,Harda,12,11,0,19,0,19,7,4,3,0,0,6,92,128,62,66,8,3,6,0,1,496,3,36,7,5,0,46,493,1379
21,State,Madhya Pradesh,Hoshangabad,46,47,0,59,0,59,23,23,0,4,5,41,214,347,176,171,29,3,18,0,12,485,10,114,21,101,0,0,1983,3562
22,State,Madhya Pradesh,Indore,132,208,3,82,0,82,36,29,7,5,20,320,1009,3927,2802,1125,109,39,159,1,40,2505,44,419,91,484,0,421,8252,18306
23,State,Madhya Pradesh,Indore Rly.,2,2,1,0,0,0,1,1,0,0,0,3,1,216,0,216,0,0,1,0,0,4,0,1,1,0,0,0,71,304
24,State,Madhya Pradesh,Jabalpur,92,92,0,129,0,129,44,33,11,1,2,96,455,1063,193,870,90,9,137,1,11,785,26,221,63,186,0,254,6233,9990
25,State,Madhya Pradesh,Jabalpur Rly.,1,1,0,1,0,1,1,1,0,0,1,8,5,406,10,396,2,0,0,0,0,4,0,6,2,1,0,0,90,529
26,State,Madhya Pradesh,Jhabua,20,17,0,30,0,30,18,18,0,2,2,23,69,111,54,57,14,2,1,0,8,437,5,42,0,9,0,0,779,1589
27,State,Madhya Pradesh,Katni,37,19,3,48,0,48,13,10,3,0,2,19,121,198,94,104,11,7,31,1,9,1147,21,117,17,87,0,145,985,3038
28,State,Madhya Pradesh,Khandwa,34,33,2,70,0,70,13,12,1,5,6,23,231,274,95,179,40,1,11,0,8,48,6,149,19,37,0,124,2024,3158
29,State,Madhya Pradesh,Khargon,45,51,3,45,0,45,5,5,0,1,0,25,159,531,138,393,38,4,12,0,19,305,27,142,9,29,0,140,2489,4079
30,State,Madhya Pradesh,Mandla,23,14,0,43,0,43,9,9,0,0,0,7,80,57,18,39,7,1,12,0,3,247,4,58,12,19,0,81,977,1654
31,State,Madhya Pradesh,Mandsaur,34,33,0,46,0,46,30,17,13,0,2,33,161,317,126,191,51,17,33,3,19,230,4,124,17,93,0,109,2089,3445
32,State,Madhya Pradesh,Morena,63,80,1,31,0,31,40,29,11,3,22,54,130,379,217,162,116,2,32,0,4,1808,37,83,5,66,0,150,1774,4880
33,State,Madhya Pradesh,Narsinghpur,39,36,4,52,0,52,5,4,1,0,0,11,98,185,65,120,34,6,22,1,11,1127,26,101,23,42,0,98,768,2689
34,State,Madhya Pradesh,Neemuch,13,12,5,34,0,34,16,10,6,3,2,17,128,295,122,173,52,55,17,0,6,611,1,52,6,34,0,66,615,2040
35,State,Madhya Pradesh,Panna,39,13,1,31,0,31,6,4,2,3,1,26,137,106,25,81,9,7,17,0,13,276,22,76,0,32,0,67,800,1682
36,State,Madhya Pradesh,Raisen,55,44,4,93,0,93,10,8,2,0,1,26,113,273,89,184,35,0,14,0,13,1549,19,165,16,66,0,149,1256,3901
37,State,Madhya Pradesh,Rajgarh,32,47,1,68,0,68,33,27,6,2,1,34,154,339,146,193,75,4,16,0,61,350,9,153,25,76,0,151,2798,4429
38,State,Madhya Pradesh,Ratlam,45,31,0,67,0,67,19,18,1,2,2,45,131,306,118,188,49,62,36,0,17,233,6,111,21,73,0,115,2266,3637
39,State,Madhya Pradesh,Rewa,64,43,0,73,0,73,30,25,5,1,1,46,353,527,204,323,47,15,47,1,22,734,44,119,2,80,1,183,2725,5158
40,State,Madhya Pradesh,Sagar,76,115,7,127,0,127,44,40,4,2,3,55,395,526,247,279,102,24,26,0,27,2763,46,361,5,168,0,191,3529,8592
41,State,Madhya Pradesh,Satna,60,48,3,145,0,145,23,18,5,3,3,72,383,469,285,184,43,17,35,0,18,1112,40,194,11,119,0,299,2607,5704
42,State,Madhya Pradesh,Seoni,38,26,3,61,0,61,12,8,4,1,2,21,106,139,52,87,56,15,43,0,10,269,15,85,14,26,0,129,1627,2698
43,State,Madhya Pradesh,Shahdol,28,12,0,42,0,42,11,8,3,1,0,23,211,209,57,152,18,9,29,0,9,210,11,113,5,73,0,0,1829,2843
44,State,Madhya Pradesh,Shajapur,34,40,1,79,0,79,18,13,5,1,2,33,139,469,194,275,31,15,10,0,33,1211,8,138,22,71,0,152,1168,3675
45,State,Madhya Pradesh,Sheopur,17,17,0,14,0,14,7,3,4,1,0,16,43,60,15,45,42,0,11,1,2,302,5,18,0,26,0,26,669,1277
46,State,Madhya Pradesh,Shivpuri,62,40,4,55,0,55,32,20,12,7,3,57,143,265,120,145,57,11,24,3,26,1148,16,124,8,43,0,172,1794,4094
47,State,Madhya Pradesh,Sidhi,23,7,1,24,0,24,14,13,1,1,0,11,135,125,22,103,7,4,14,2,4,327,20,80,6,36,0,101,1242,2184
48,State,Madhya Pradesh,Sihore,34,54,1,63,0,63,25,23,2,3,3,18,170,293,99,194,27,16,31,0,18,380,9,88,16,47,0,139,1902,3337
49,State,Madhya Pradesh,Singrauli,37,14,4,45,0,45,16,14,2,12,0,11,114,156,33,123,48,2,7,0,7,268,16,92,2,72,0,91,1025,2039
50,State,Madhya Pradesh,Tikamgarh,51,34,3,67,0,67,13,12,1,1,3,29,139,140,43,97,50,4,33,0,9,919,18,136,3,52,0,107,1519,3330
51,State,Madhya Pradesh,Ujjain,76,121,4,46,0,46,27,23,4,3,2,106,399,1025,429,596,168,25,70,1,31,1398,20,167,45,210,0,180,4582,8706
52,State,Madhya Pradesh,Umariya,20,4,0,29,0,29,4,3,1,0,0,9,62,75,21,54,11,0,12,0,4,90,3,54,0,38,0,45,740,1200
53,State,Madhya Pradesh,Vidisha,48,47,1,80,0,80,15,13,2,0,2,33,234,341,141,200,55,15,41,0,18,751,19,216,30,87,0,127,2218,4378
Total,Total,Total,Total,2386,2212,117,2998,1,2997,1036,841,195,117,156,2270,10661,23260,10705,12555,2409,575,1830,27,741,37132,858,6307,728,3983,1,6591,101367,207762
1,State,Maharashtra,Ahmednagar,81,75,3,55,0,55,42,25,17,52,9,146,479,1399,539,860,497,53,206,15,34,690,0,106,0,557,0,632,1399,6530
2,State,Maharashtra,Akola,43,68,7,21,0,21,33,26,7,10,2,77,308,943,174,769,159,15,93,6,32,765,10,97,63,131,0,126,1218,4227
3,State,Maharashtra,Amravati Commr.,16,26,0,17,0,17,23,20,3,3,8,41,227,697,191,506,89,19,60,8,12,328,0,28,27,99,0,78,823,2629
4,State,Maharashtra,Amravati Rural,75,37,4,49,0,49,29,27,2,8,0,24,254,867,85,782,91,18,54,5,82,916,1,121,34,149,0,194,1197,4209
5,State,Maharashtra,Aurangabad,37,46,2,22,0,22,28,17,11,11,7,97,319,1123,510,613,159,33,124,1,8,478,5,61,21,159,0,158,828,3727
6,State,Maharashtra,Commr. Aurangabad Rural,44,37,5,14,0,14,5,4,1,18,5,20,158,465,159,306,204,6,43,3,32,675,28,49,4,248,0,274,597,2934
7,State,Maharashtra,Beed,80,53,1,26,0,26,36,20,16,48,6,93,284,525,166,359,499,24,113,2,38,940,16,79,10,389,0,276,800,4338
8,State,Maharashtra,Bhandara,26,8,0,17,0,17,12,12,0,4,0,13,189,527,63,464,40,4,50,6,20,295,4,31,13,68,0,142,790,2259
9,State,Maharashtra,Buldhana,53,59,0,27,0,27,29,23,6,18,5,37,261,827,176,651,199,14,69,8,56,780,27,128,55,221,0,223,1164,4260
10,State,Maharashtra,Chandrapur,49,33,3,44,0,44,19,17,2,5,2,22,266,730,152,578,110,28,64,5,57,715,9,132,171,158,0,245,1616,4483
11,State,Maharashtra,Dhule,45,36,1,12,0,12,13,9,4,16,1,22,174,351,105,246,172,30,92,6,14,414,7,34,8,281,0,253,680,2662
12,State,Maharashtra,Gadchiroli,66,45,4,12,0,12,14,13,1,19,0,5,81,165,34,131,20,4,9,2,75,201,1,23,6,27,0,79,330,1188
13,State,Maharashtra,Gondia,43,23,1,33,0,33,20,17,3,4,3,9,143,334,57,277,32,3,44,4,30,322,3,67,21,48,0,133,591,1911
14,State,Maharashtra,Hingoli,50,34,1,10,0,10,16,12,4,9,1,41,100,187,41,146,120,7,47,2,16,349,3,27,8,106,0,94,439,1667
15,State,Maharashtra,Jalgaon,75,52,1,30,0,30,25,25,0,38,1,46,245,717,212,505,289,95,221,5,15,720,10,109,39,423,0,399,1182,4737
16,State,Maharashtra,Jalna,55,38,1,22,0,22,20,17,3,19,5,62,183,415,136,279,192,12,92,2,17,534,25,54,14,346,0,164,667,2939
17,State,Maharashtra,Kolhapur,46,36,1,35,0,35,22,18,4,17,0,49,295,745,330,415,215,101,283,4,22,437,18,61,15,130,0,313,1072,3917
18,State,Maharashtra,Latur,70,36,1,33,0,33,28,28,0,14,3,33,212,427,198,229,195,8,84,4,24,715,15,49,0,159,0,209,1088,3407
19,State,Maharashtra,Mumbai Commr.,217,160,6,182,0,182,149,86,63,39,34,316,2769,12009,4183,7826,305,511,2132,129,14,3892,15,400,101,434,0,710,6738,31262
20,State,Maharashtra,Mumbai Rly.,7,3,0,4,0,4,3,0,3,2,3,39,3,2076,0,2076,6,12,36,0,0,45,0,12,4,0,0,1,91,2347
21,State,Maharashtra,Nagpur Commr.,95,72,2,45,0,45,73,52,21,18,17,317,724,1733,831,902,209,68,302,19,16,791,7,60,39,232,0,260,2686,7785
22,State,Maharashtra,Nagpur Rly.,4,3,0,1,0,1,1,1,0,11,5,20,2,942,22,920,6,3,6,7,0,21,0,7,2,0,0,1,118,1160
23,State,Maharashtra,Nagpur Rural,74,36,1,33,0,33,23,13,10,9,6,42,256,829,157,672,106,28,31,5,28,618,6,71,22,84,0,434,1241,3983
24,State,Maharashtra,Nanded,102,71,6,34,0,34,40,29,11,32,2,90,338,450,142,308,271,28,126,14,69,1151,30,62,3,346,0,247,1479,4991
25,State,Maharashtra,Nandurbar,43,13,1,23,0,23,13,13,0,2,0,10,84,181,60,121,101,4,37,2,10,250,1,33,11,75,0,119,343,1356
26,State,Maharashtra,Nasik Commr.,41,28,2,24,0,24,24,16,8,22,2,79,621,1705,850,855,137,21,173,12,22,247,5,49,20,131,0,333,520,4218
27,State,Maharashtra,Nasik Rural,73,48,1,46,0,46,25,20,5,31,2,39,195,571,188,383,346,73,115,11,14,793,9,64,31,290,0,666,1397,4840
28,State,Maharashtra,Navi Mumbai,45,41,4,19,0,19,20,10,10,11,23,128,460,1774,875,899,139,72,313,13,3,411,6,36,34,84,0,396,844,4876
29,State,Maharashtra,Osmanabad,33,23,0,20,0,20,19,16,3,25,3,37,153,285,81,204,162,20,81,1,19,516,3,64,9,153,0,212,854,2692
30,State,Maharashtra,Parbhani,52,31,0,30,0,30,24,14,10,14,2,29,236,378,140,238,132,7,57,3,26,953,7,49,7,219,0,127,325,2708
31,State,Maharashtra,Pune Commr.,119,120,9,67,0,67,105,84,21,36,52,513,1305,5181,3261,1920,468,76,613,58,19,1215,7,100,72,235,0,539,2939,13848
32,State,Maharashtra,Pune Rly.,3,3,0,1,0,1,2,1,1,9,0,23,1,443,2,441,4,2,5,0,0,5,0,0,0,0,0,2,38,541
33,State,Maharashtra,Pune Rural,125,61,6,72,0,72,57,38,19,45,19,116,746,1804,893,911,387,50,178,8,16,808,9,133,15,218,0,999,1665,7537
34,State,Maharashtra,Raigad,31,31,0,21,0,21,4,3,1,4,1,13,156,318,88,230,107,20,77,11,4,211,4,26,19,30,0,332,633,2053
35,State,Maharashtra,Ratnagiri,24,4,0,14,0,14,12,8,4,3,0,14,103,212,46,166,99,25,53,12,19,179,0,36,20,51,0,129,468,1477
36,State,Maharashtra,Sangli,67,32,0,37,0,37,22,9,13,7,3,25,219,513,155,358,175,15,194,7,37,417,12,45,10,66,0,296,578,2777
37,State,Maharashtra,Satara,47,38,7,26,0,26,22,18,4,32,7,115,405,1023,409,614,216,52,163,1,18,398,4,57,7,131,0,443,1138,4350
38,State,Maharashtra,Sindhudurg,11,5,1,8,0,8,4,3,1,1,0,8,97,132,40,92,52,15,53,7,9,109,1,12,6,11,0,86,244,872
39,State,Maharashtra,Solapur Commr.,18,19,0,22,0,22,7,6,1,3,1,30,145,347,166,181,47,3,97,3,3,133,0,10,5,68,0,101,403,1465
40,State,Maharashtra,Solapur Rural,80,68,5,50,0,50,43,29,14,37,6,79,332,584,203,381,309,37,175,1,24,693,5,96,0,210,0,477,1323,4634
41,State,Maharashtra,Thane Commr.,122,74,2,66,0,66,87,55,32,16,25,170,1138,2770,1228,1542,320,170,860,32,8,1217,12,148,52,387,0,356,1538,9570
42,State,Maharashtra,Thane Rural,138,47,4,53,0,53,34,20,14,30,11,98,587,1094,473,621,351,51,197,20,18,744,1,97,30,106,0,654,1055,5420
43,State,Maharashtra,Wardha,29,28,4,41,0,41,18,15,3,6,4,38,251,800,86,714,112,17,49,9,58,766,1,84,32,100,0,187,1407,4041
44,State,Maharashtra,Washim,22,22,0,25,0,25,13,12,1,14,1,37,91,418,72,346,78,13,47,1,30,483,5,61,16,109,0,105,530,2121
45,State,Maharashtra,Yavatmal,77,57,1,40,0,40,28,25,3,8,0,52,246,914,154,760,103,28,58,4,37,986,9,128,23,212,0,255,1384,4650
Total,Total,Total,Total,2653,1880,98,1483,0,1483,1286,926,360,780,287,3314,15841,50930,18133,32797,8030,1895,7976,478,1105,28326,341,3196,1099,7681,0,12459,48460,199598
1,State,Manipur,Bishnupur,16,35,0,2,0,2,7,5,2,0,16,0,5,20,8,12,3,0,9,0,12,30,0,10,0,0,0,0,103,268
2,State,Manipur,Chandel,6,31,0,0,0,0,0,0,0,0,13,0,3,3,1,2,2,1,1,0,2,2,0,0,0,0,0,0,16,80
3,State,Manipur,Churachandpur,15,10,0,3,0,3,4,3,1,0,3,0,2,10,4,6,0,0,5,0,2,0,0,1,0,0,0,0,33,88
4,State,Manipur,Cid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,State,Manipur,Imphal East,29,106,1,7,0,7,56,36,20,0,59,1,8,70,46,24,15,2,17,0,21,46,0,12,0,4,0,0,161,615
6,State,Manipur,Imphal West,32,156,0,8,0,8,52,30,22,0,48,2,37,239,207,32,17,11,29,1,16,72,0,9,1,9,0,0,332,1071
7,State,Manipur,Senapati,7,27,0,1,0,1,6,0,6,0,12,0,3,16,1,15,2,0,5,0,1,7,0,1,0,0,0,0,51,139
8,State,Manipur,Tamenglong,5,5,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,1,1,0,1,4,0,0,0,0,0,0,11,35
9,State,Manipur,Thoubal,15,89,1,9,0,9,32,23,9,1,27,0,9,28,16,12,7,3,27,0,19,61,0,6,1,12,0,0,139,486
10,State,Manipur,Ukhrul,6,19,0,1,0,1,2,0,2,0,7,0,1,6,0,6,0,1,2,0,7,2,0,0,0,0,0,0,15,69
Total,Total,Total,Total,131,478,2,31,0,31,159,97,62,1,188,3,68,394,283,111,48,20,96,1,81,224,0,39,2,25,0,0,861,2852
1,State,Maghalaya,Garo Hills East,9,6,1,3,0,3,3,1,2,18,1,9,9,30,3,27,3,4,4,1,3,20,0,6,1,0,0,0,36,167
2,State,Maghalaya,Garo Hills South,4,1,0,0,0,0,3,0,3,5,0,0,1,14,0,14,0,0,1,1,0,2,0,2,0,1,0,1,13,49
3,State,Maghalaya,Garo Hills West,13,10,7,8,0,8,16,13,3,13,0,12,22,138,66,72,12,6,23,5,11,62,0,22,0,13,0,18,180,591
4,State,Maghalaya,Jaintia Hills,40,5,1,24,0,24,8,1,7,2,0,3,20,61,14,47,0,9,13,1,11,53,0,8,0,0,0,14,110,383
5,State,Maghalaya,Khasi Hills East,28,10,1,34,0,34,17,7,10,10,0,34,72,230,81,149,0,4,61,1,14,38,0,26,0,9,0,39,176,804
6,State,Maghalaya,Khasi Hills West,18,6,0,20,0,20,2,0,2,10,0,5,22,27,3,24,2,1,2,0,9,10,0,4,0,0,0,0,76,214
7,State,Maghalaya,Ri-Bhoi,16,1,2,23,0,23,7,4,3,6,0,4,1,45,13,32,1,2,9,0,6,22,0,4,0,1,1,0,89,240
Total,Total,Total,Total,128,39,12,112,0,112,56,26,30,64,1,67,147,545,180,365,18,26,113,9,54,207,0,72,1,24,1,72,680,2448
1,State,Mizoram,Aizawl,14,8,5,27,0,27,7,0,7,0,0,2,214,408,52,356,0,12,37,9,4,45,0,29,0,4,0,26,197,1048
2,State,Mizoram,Champhai,6,2,0,15,0,15,0,0,0,0,0,0,35,74,0,74,0,1,3,0,0,10,0,4,0,0,0,0,20,170
3,State,Mizoram,Kolasib,3,1,0,7,0,7,0,0,0,0,0,0,25,75,9,66,1,5,8,0,4,11,0,9,0,0,0,7,51,207
4,State,Mizoram,Lawngtlai,3,2,1,5,0,5,0,0,0,0,0,0,24,37,0,37,0,3,5,0,0,7,0,0,0,0,0,0,67,154
5,State,Mizoram,Lunglei,1,0,0,12,0,12,1,0,1,0,0,1,38,84,14,70,0,4,5,0,2,12,0,8,1,0,0,0,31,200
6,State,Mizoram,Mamit,1,0,0,9,1,8,1,0,1,2,0,1,21,29,0,29,0,3,1,0,11,14,0,4,0,0,0,3,4,104
7,State,Mizoram,Saiha,2,0,2,3,0,3,0,0,0,0,0,0,13,28,0,28,0,1,0,0,1,12,0,0,0,0,0,0,21,83
8,State,Mizoram,Serchhip,1,1,0,5,0,5,0,0,0,0,0,0,11,26,2,24,0,1,2,0,2,9,0,7,0,0,0,0,16,81
Total,Total,Total,Total,31,14,8,83,1,82,9,0,9,2,0,4,381,761,77,684,1,30,61,9,24,120,0,61,1,4,0,36,407,2047
1,State,Nagaland,Dimapur,15,8,3,7,0,7,33,4,29,5,0,70,50,185,14,171,2,4,14,2,1,5,0,7,0,0,0,25,100,536
2,State,Nagaland,Kiphire,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,11
3,State,Nagaland,Kohima,8,3,2,6,0,6,12,4,8,0,0,11,12,63,46,17,0,1,7,0,0,5,0,0,0,0,0,0,48,178
4,State,Nagaland,Longleng,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,2,0,0,0,0,0,0,12,19
5,State,Nagaland,Mokokchung,3,5,1,0,0,0,1,0,1,0,0,2,0,25,0,25,1,0,8,0,0,1,0,0,0,0,0,0,10,57
6,State,Nagaland,Mon,4,2,1,0,0,0,0,0,0,2,0,2,4,16,2,14,0,0,0,1,0,2,0,0,0,0,0,3,14,51
7,State,Nagaland,Peren,6,4,0,2,0,2,1,0,1,0,0,0,6,8,1,7,0,0,1,0,0,6,0,1,0,0,0,0,2,37
8,State,Nagaland,Phek,2,8,0,0,0,0,0,0,0,1,0,0,5,7,0,7,0,0,1,0,0,6,0,1,0,0,0,0,11,42
9,State,Nagaland,Tuensang,0,1,0,1,0,1,1,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,17,28
10,State,Nagaland,Wokha,6,3,0,3,0,3,0,0,0,0,0,3,0,21,2,19,0,1,0,0,3,9,0,1,0,0,0,4,4,58
11,State,Nagaland,Zunheboto,1,1,0,3,0,3,2,2,0,0,0,1,4,14,4,10,0,0,2,0,0,2,0,0,0,0,0,0,12,42
Total,Total,Total,Total,46,35,7,22,0,22,52,10,42,8,0,92,82,347,69,278,4,6,33,3,4,38,0,11,0,0,0,34,235,1059
1,State,Odisha,Angul,42,86,0,59,0,59,36,30,6,18,2,62,152,379,100,279,110,2,43,2,23,25,10,224,8,82,0,123,1393,2881
2,State,Odisha,Balasore,26,50,2,46,0,46,62,55,7,11,4,53,183,322,97,225,53,37,103,5,19,1423,46,124,22,244,0,0,570,3405
3,State,Odisha,Baragarh,29,69,3,25,0,25,10,10,0,6,0,51,80,165,53,112,81,0,22,4,15,59,7,86,10,36,0,130,514,1402
4,State,Odisha,Berhampur,18,46,0,18,0,18,20,15,5,10,4,52,79,138,69,69,35,7,44,0,9,235,3,130,2,12,0,59,151,1072
5,State,Odisha,Bhadrak,44,25,0,46,0,46,42,39,3,1,0,13,71,134,45,89,35,7,63,0,18,31,23,108,9,134,0,70,1265,2139
6,State,Odisha,Bolangir,44,53,0,46,0,46,33,25,8,7,0,37,76,145,45,100,109,3,34,1,0,16,5,147,10,97,0,96,1134,2093
7,State,Odisha,Boudh,16,9,0,7,0,7,1,1,0,1,0,5,18,25,2,23,17,2,4,2,7,149,4,27,0,6,0,0,32,332
8,State,Odisha,Cuttack,25,9,0,25,0,25,48,46,2,14,0,54,98,181,48,133,53,0,26,0,13,89,30,24,5,133,0,135,1415,2377
9,State,Odisha,Dcp Bbsr,30,40,1,32,0,32,27,22,5,12,6,96,267,996,588,408,54,14,104,2,12,785,17,50,9,46,0,152,1313,4065
10,State,Odisha,Dcp Ctc,21,20,5,14,0,14,22,20,2,15,8,59,124,597,317,280,37,4,50,0,2,45,8,31,2,78,0,91,959,2192
11,State,Odisha,Deogarh,12,9,0,12,0,12,8,8,0,6,0,9,25,29,10,19,10,2,5,0,3,201,2,55,2,12,0,47,99,548
12,State,Odisha,Dhenkanal,49,30,0,23,0,23,24,19,5,10,1,50,72,205,66,139,90,9,23,0,17,55,15,159,4,30,0,111,712,1689
13,State,Odisha,Gajapati,19,16,0,9,0,9,8,7,1,2,0,5,18,39,10,29,60,2,9,0,36,8,1,49,9,14,0,12,148,464
14,State,Odisha,Ganjam,73,134,0,34,0,34,28,28,0,4,6,73,148,141,34,107,84,16,19,0,29,238,27,249,21,21,0,0,440,1785
15,State,Odisha,Jagatsinghpur,29,12,0,31,0,31,26,18,8,10,1,35,78,151,50,101,21,4,36,1,11,127,19,11,0,70,0,148,657,1478
16,State,Odisha,Jajpur,59,27,0,32,0,32,54,51,3,13,0,42,103,271,99,172,40,12,30,1,19,1014,30,86,6,110,0,112,191,2252
17,State,Odisha,Jharsuguda,25,26,1,7,0,7,6,6,0,4,2,54,91,228,68,160,56,18,21,2,14,242,5,41,4,25,0,109,304,1285
18,State,Odisha,Kalahandi,28,16,1,30,0,30,24,24,0,2,1,32,49,78,23,55,50,5,49,2,10,197,7,75,8,53,0,57,549,1323
19,State,Odisha,Kandhamal,24,20,0,24,0,24,17,15,2,4,0,8,62,63,4,59,61,5,73,0,5,170,6,66,2,34,0,0,184,828
20,State,Odisha,Kendrapara,27,3,0,28,0,28,36,35,1,12,0,33,79,100,32,68,20,3,15,1,11,51,11,5,1,17,0,84,781,1318
21,State,Odisha,Keonjhar,109,101,18,53,0,53,49,33,16,38,2,110,84,301,114,187,74,28,38,0,24,67,20,195,16,45,0,323,849,2544
22,State,Odisha,Khurda,34,16,11,27,0,27,38,35,3,15,0,40,81,130,47,83,16,5,33,1,6,7,11,13,3,133,1,78,807,1506
23,State,Odisha,Koraput,36,39,0,41,0,41,31,27,4,23,0,31,56,98,17,81,77,2,20,1,11,26,2,82,3,95,0,157,440,1271
24,State,Odisha,Malkangir,36,17,0,15,0,15,12,10,2,18,0,7,13,25,2,23,39,1,6,0,12,8,0,21,2,17,0,13,62,324
25,State,Odisha,Mayurbhanj,96,66,0,80,0,80,64,60,4,20,4,40,114,197,42,155,11,19,20,2,15,85,26,214,13,152,0,192,832,2262
