State/UT/All-India,District,Murder (Sec.302 &303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. not Amounting to Murder (Sec.304 &308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 –402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 – 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","CounterFeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Madhya Pradesh,Jhabua,117,63,3,32,0,32,20,17,3,1,0,7,70,170,48,122,28,1,10,0,30,478,4,46,2,22,0,0,1169,2273
Madhya Pradesh,Katni,49,33,3,32,0,32,7,6,1,1,1,11,132,195,89,106,24,5,46,0,10,1081,18,142,11,48,0,100,922,2871
Madhya Pradesh,Khandwa,30,55,0,60,0,60,21,19,2,3,0,18,421,444,92,352,55,9,23,0,9,45,8,179,20,61,0,96,2442,3999
Madhya Pradesh,Khargon,44,25,1,47,0,47,8,0,8,1,0,18,235,620,83,537,41,13,14,0,9,454,26,139,24,39,0,135,2025,3918
Madhya Pradesh,Mandla,27,19,1,62,0,62,7,6,1,0,0,5,73,61,24,37,13,3,12,0,6,300,4,81,9,24,0,92,760,1559
Madhya Pradesh,Mandsaur,18,25,0,37,0,37,18,11,7,2,4,31,131,391,113,278,55,13,29,5,13,354,11,130,15,62,0,71,1750,3165
Madhya Pradesh,Morena,66,85,2,34,0,34,30,15,15,5,5,48,167,405,176,229,151,0,26,2,13,1767,21,77,3,59,0,134,1780,4880
Madhya Pradesh,Narsinghpur,32,41,3,65,0,65,4,4,0,0,0,13,67,101,37,64,12,4,6,0,19,767,14,122,11,38,0,97,556,1972
Madhya Pradesh,Neemuch,17,14,0,22,0,22,8,4,4,2,0,6,102,268,75,193,21,33,18,0,5,424,4,34,7,42,0,55,734,1816
Madhya Pradesh,Panna,30,31,1,41,0,41,8,3,5,4,3,11,95,74,17,57,15,5,8,1,7,101,14,68,0,20,0,45,921,1503
Madhya Pradesh,Raisen,51,46,0,74,0,74,14,11,3,1,0,23,129,252,60,192,23,1,14,0,7,392,18,172,17,52,0,117,2273,3676
Madhya Pradesh,Rajgarh,28,29,0,83,0,83,12,6,6,0,1,31,162,361,86,275,101,13,8,1,49,305,9,146,35,101,0,83,2799,4357
Madhya Pradesh,Ratlam,40,55,0,62,0,62,20,14,6,4,2,33,148,417,108,309,35,21,37,1,17,301,9,125,24,78,0,90,2185,3704
Madhya Pradesh,Rewa,45,28,0,47,0,47,23,18,5,3,3,49,454,432,113,319,65,7,47,3,23,803,46,125,2,51,0,128,2075,4459
Madhya Pradesh,Sagar,76,95,0,116,0,116,31,30,1,3,3,49,363,520,127,393,62,7,22,0,43,2570,28,284,19,131,0,147,2403,6972
Madhya Pradesh,Satna,74,52,0,72,0,72,18,10,8,8,3,30,482,413,144,269,40,11,37,1,27,965,39,198,11,92,0,226,2949,5748
Madhya Pradesh,Seoni,36,23,0,57,0,57,6,5,1,1,1,11,117,116,34,82,41,9,11,0,6,353,11,105,9,35,0,98,1422,2468
Madhya Pradesh,Shahdol,33,22,1,67,0,67,4,4,0,1,5,21,207,171,42,129,27,5,22,0,9,255,16,140,9,69,0,0,1408,2492
Madhya Pradesh,Shajapur,28,41,3,58,0,58,19,10,9,6,4,61,244,585,139,446,51,20,20,1,33,1207,11,150,27,62,0,102,811,3544
Madhya Pradesh,Sheopur,12,13,0,19,0,19,8,4,4,2,0,3,34,121,14,107,26,0,3,0,1,264,2,34,0,31,0,28,558,1159
Madhya Pradesh,Shivpuri,72,65,2,83,0,83,22,17,5,5,4,39,241,319,99,220,70,14,22,0,37,755,33,170,7,50,0,115,2521,4646
Madhya Pradesh,Sidhi,72,25,1,66,0,66,31,31,0,2,1,27,296,317,50,267,34,13,55,0,12,622,21,129,2,47,0,126,2237,4136
Madhya Pradesh,Sihore,31,47,1,66,0,66,14,11,3,2,1,24,174,375,95,280,46,13,21,0,10,290,14,99,6,48,0,128,1927,3337
Madhya Pradesh,Tikamgarh,37,31,0,52,0,52,9,5,4,4,0,28,156,170,29,141,43,2,11,0,49,1034,22,131,4,34,0,95,1168,3080
Madhya Pradesh,Ujjain,65,128,0,79,0,79,39,34,5,8,4,86,413,1111,292,819,87,32,110,0,35,705,12,175,39,157,0,121,4052,7458
Madhya Pradesh,Umariya,26,9,33,21,0,21,0,0,0,2,1,4,115,98,22,76,10,1,6,0,10,210,4,56,4,13,0,3,623,1249
Madhya Pradesh,Vidisha,45,60,3,85,0,85,17,14,3,7,1,25,244,331,97,234,48,9,36,0,19,728,15,180,23,45,0,53,1954,3928
Madhya Pradesh,Total,2309,2370,138,2900,0,2900,808,617,191,151,121,1770,10960,21733,7552,14181,2308,519,1522,38,815,34709,764,6243,762,2989,0,4823,95959,194711
Maharashtra,Ahmednagar,86,49,3,68,0,68,36,22,14,36,2,100,400,1341,334,1007,277,33,107,4,46,710,0,129,0,467,0,538,1741,6173
Maharashtra,Akola,47,52,0,25,0,25,28,26,2,4,1,39,305,995,126,869,134,23,80,4,36,843,1,95,14,135,0,130,1231,4222
Maharashtra,Amravati Commr.,27,14,0,21,0,21,17,15,2,5,4,26,196,735,136,599,81,18,55,1,9,429,3,36,24,76,0,67,747,2591
Maharashtra,Amravati Rural,67,32,2,44,0,44,22,20,2,3,0,24,266,845,51,794,89,11,56,0,60,797,4,118,35,131,0,134,1066,3806
Maharashtra,Aurangabad Commr.,31,24,0,33,0,33,22,17,5,11,4,73,224,666,213,453,144,33,158,3,15,384,3,39,22,107,0,133,637,2766
Maharashtra,Aurangabad Rural,42,17,1,10,0,10,11,8,3,12,5,29,139,314,53,261,192,15,34,1,24,668,39,56,12,255,0,212,503,2591
Maharashtra,Beed,63,46,1,24,0,24,34,23,11,28,2,94,379,753,171,582,439,18,56,1,40,1005,12,98,10,310,0,257,710,4380
Maharashtra,Bhandara,35,18,2,40,0,40,15,10,5,0,2,16,183,443,41,402,94,17,31,6,53,363,4,54,29,89,0,142,947,2583
Maharashtra,Buldhana,53,64,2,23,0,23,10,5,5,7,2,32,214,704,101,603,177,25,89,2,68,905,13,128,41,192,0,177,1224,4152
Maharashtra,Chandrapur,42,20,1,30,0,30,17,14,3,7,0,27,377,774,112,662,122,19,55,2,49,664,6,81,47,123,0,236,1004,3703
Maharashtra,Dhule,38,33,4,12,0,12,8,8,0,10,2,19,131,357,72,285,102,24,78,2,13,411,6,33,12,189,0,228,804,2516
Maharashtra,Gadchiroli,59,52,4,14,0,14,10,8,2,12,0,8,100,124,8,116,28,9,18,1,45,241,2,52,5,47,0,75,372,1278
Maharashtra,Gondia,31,13,2,23,0,23,22,22,0,12,0,25,220,398,49,349,63,17,27,2,41,393,5,106,12,55,0,122,707,2296
Maharashtra,Hingoli,41,25,2,15,0,15,12,10,2,8,3,38,93,234,28,206,112,2,29,0,28,404,8,41,2,100,0,72,521,1790
Maharashtra,Jalgaon,75,53,4,52,0,52,21,21,0,25,2,37,229,624,128,496,206,78,208,7,12,632,14,111,25,305,0,336,1387,4443
Maharashtra,Jalna,52,25,0,19,0,19,13,6,7,10,6,51,178,454,109,345,174,13,59,3,20,558,19,58,8,248,0,133,910,3011
Maharashtra,Kolhapur,65,45,3,33,0,33,29,22,7,18,3,27,294,742,261,481,182,100,188,5,15,521,25,71,15,132,0,287,981,3781
Maharashtra,Latur,54,40,0,15,0,15,22,22,0,7,7,45,276,391,112,279,194,20,58,1,33,957,65,53,5,144,0,210,1305,3902
Maharashtra,Mumbai Commr.,239,135,5,165,0,165,190,129,61,29,61,292,3111,11685,3552,8133,278,510,1701,137,15,3797,17,357,102,327,1,778,7138,31070
Maharashtra,Mumbai Rly.,16,0,2,5,0,5,5,4,1,0,1,28,1,1678,0,1678,9,4,22,2,0,35,0,17,0,0,0,0,72,1897
Maharashtra,Nagpur Commr.,85,51,4,51,0,51,58,42,16,22,40,169,1275,2602,882,1720,247,57,326,11,14,1006,7,72,42,180,0,283,3389,9991
Maharashtra,Nagpur Rly.,7,3,0,0,0,0,2,2,0,9,0,24,1,874,7,867,16,1,5,6,3,17,1,5,2,0,0,4,109,1089
Maharashtra,Nagpur Rural,74,24,1,37,0,37,24,15,9,9,7,40,239,948,72,876,144,21,67,4,44,639,5,120,45,67,0,371,1584,4514
Maharashtra,Nanded,71,73,7,33,0,33,35,21,14,17,1,74,344,518,123,395,330,14,119,0,74,1292,16,82,0,221,0,157,1350,4828
Maharashtra,Nandurbar,26,14,1,21,0,21,9,6,3,8,0,7,62,156,27,129,95,5,44,0,3,233,0,22,6,96,0,104,354,1266
Maharashtra,Nasik Commr.,38,14,1,14,0,14,32,22,10,5,2,48,438,925,368,557,135,19,128,6,5,222,2,36,15,119,0,172,575,2951
Maharashtra,Nasik Rural,77,40,2,62,0,62,28,24,4,19,4,56,226,605,137,468,345,45,111,8,21,837,7,123,43,331,0,515,1262,4767
Maharashtra,Navi Mumbai,59,20,0,18,0,18,19,9,10,14,24,109,423,1226,629,597,121,56,164,10,9,424,7,39,11,59,0,384,798,3994
Maharashtra,Osmanabad,58,27,0,37,0,37,10,7,3,26,3,39,257,506,59,447,177,27,98,0,23,761,3,57,5,150,0,212,751,3227
Maharashtra,Parbhani,69,47,0,18,0,18,18,11,7,18,3,48,183,292,80,212,120,9,72,1,18,885,10,73,4,162,0,104,358,2512
Maharashtra,Pune Commr.,104,99,4,77,0,77,108,74,34,31,21,219,1047,4068,2181,1887,497,81,533,16,13,1236,6,104,87,236,0,454,2443,11484
Maharashtra,Pune Rly.,3,0,0,1,0,1,1,1,0,5,0,9,0,229,0,229,2,1,1,1,0,4,0,1,1,0,0,3,28,290
Maharashtra,Pune Rural,124,62,3,38,0,38,40,27,13,45,26,85,378,920,350,570,185,46,148,2,34,602,15,93,19,161,0,870,1677,5573
Maharashtra,Raigad,54,27,3,25,0,25,15,12,3,27,2,28,198,480,66,414,159,31,56,5,9,339,0,43,15,58,0,306,709,2589
Maharashtra,Ratnagiri,16,7,2,25,0,25,9,8,1,5,1,9,194,273,51,222,105,33,48,5,20,205,1,32,24,52,0,128,440,1634
Maharashtra,Sangli,61,34,1,24,0,24,21,14,7,10,0,22,226,519,150,369,128,28,171,8,19,371,8,51,4,99,0,297,566,2668
Maharashtra,Satara,64,40,6,34,1,33,41,32,9,20,4,74,373,1043,221,822,167,45,82,9,36,493,8,88,10,255,0,365,1386,4643
Maharashtra,Sindhudurg,15,6,2,9,0,9,4,4,0,1,0,3,80,126,21,105,39,12,44,0,11,128,3,13,10,13,0,75,222,816
Maharashtra,Solapur Commr.,15,28,0,12,0,12,16,9,7,9,3,49,223,351,131,220,92,9,115,5,7,189,2,22,10,59,0,89,481,1786
Maharashtra,Solapur Rural,77,38,1,54,0,54,32,24,8,31,11,47,210,522,116,406,243,17,34,4,31,596,10,81,29,103,0,395,1086,3652
Maharashtra,Thane Commr.,106,89,3,62,0,62,90,65,25,25,25,162,1156,2285,950,1335,300,86,481,21,13,1208,4,150,41,269,0,302,1346,8224
Maharashtra,Thane Rural,152,46,8,68,0,68,35,14,21,46,25,104,471,700,230,470,294,52,143,7,33,730,6,137,43,147,0,627,1096,4970
Maharashtra,Wardha,49,28,3,31,0,31,22,21,1,6,7,28,227,643,50,593,147,24,55,1,62,772,2,96,35,134,0,156,1602,4130
Maharashtra,Washim,28,19,0,12,0,12,11,11,0,3,0,25,80,362,51,311,82,3,23,1,18,502,10,64,12,134,0,80,542,2011
Maharashtra,Yavatmal,61,87,10,66,0,66,37,34,3,8,7,66,250,1043,132,911,186,15,57,2,46,999,8,142,51,201,0,213,1673,5228
Maharashtra,Total,2656,1680,100,1500,1,1499,1261,921,340,663,323,2574,15877,46473,12741,33732,7453,1726,6234,317,1188,29407,387,3479,984,6738,1,10933,49834,191788
Manipur,Bishnupur,14,27,1,1,0,1,9,5,4,0,0,0,1,18,1,17,4,8,6,0,4,38,0,6,0,2,0,1,149,289
Manipur,Chandel,14,12,0,2,0,2,2,0,2,0,1,2,1,6,1,5,2,0,2,1,4,4,0,1,0,0,0,0,17,71
Manipur,Churachandpur,43,30,1,20,0,20,1,0,1,0,6,0,5,23,0,23,0,0,1,0,6,8,0,5,0,0,0,1,114,264
Manipur,Imphal East,31,57,0,3,0,3,26,21,5,0,0,0,8,51,10,41,9,1,5,1,39,56,0,14,0,0,0,0,233,534
Manipur,Imphal West,41,74,0,9,0,9,51,29,22,1,19,5,34,148,86,62,22,15,40,6,39,106,0,15,0,5,0,0,428,1058
Manipur,Senapati,13,7,1,0,0,0,6,0,6,1,0,1,0,19,2,17,2,2,0,1,0,1,0,0,0,0,0,0,54,108
Manipur,Tamenglong,9,5,0,0,0,0,0,0,0,0,1,0,0,6,0,6,2,0,0,0,5,0,0,0,0,0,0,1,11,40
Manipur,Thoubal,36,52,1,5,0,5,35,24,11,0,0,0,6,18,5,13,17,10,27,0,7,79,0,1,0,3,0,0,167,464
Manipur,Ukhrul,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,0,5,4,0,0,0,0,0,0,34,56
Manipur,Total,205,265,4,40,0,40,130,79,51,2,27,8,55,290,105,185,60,40,82,9,109,296,0,42,0,10,0,3,1207,2884
Meghalaya,Garo Hills East,18,8,2,3,0,3,6,1,5,10,4,8,9,25,1,24,0,1,2,1,1,6,0,7,0,0,0,0,37,148
Meghalaya,Garo Hills South,3,2,0,0,0,0,4,0,4,4,0,4,3,18,0,18,0,1,1,1,0,3,0,1,0,0,0,0,8,53
Meghalaya,Garo Hills West,15,7,0,10,0,10,13,6,7,8,0,1,12,41,7,34,7,0,5,2,7,39,0,14,0,0,0,14,47,242
Meghalaya,Jaintia Hills,51,3,2,19,0,19,3,0,3,7,0,5,13,41,10,31,0,4,1,0,5,38,0,4,0,0,0,19,71,286
Meghalaya,Khasi Hills East,45,16,4,30,0,30,28,18,10,8,0,35,96,275,109,166,0,10,64,3,14,43,6,23,0,13,0,33,155,901
Meghalaya,Khasi Hills West,12,5,0,6,0,6,1,0,1,12,0,7,7,21,0,21,0,0,4,0,0,0,0,0,0,0,0,0,43,118
Meghalaya,Ri-bhoi,13,1,0,6,0,6,2,0,2,8,0,5,0,49,8,41,0,0,6,0,1,9,0,8,0,0,0,2,77,187
Meghalaya,Total,157,42,8,74,0,74,57,25,32,57,4,65,140,470,135,335,7,16,83,7,28,138,6,57,0,13,0,68,438,1935
Mizoram,Aizawl,7,9,5,31,0,31,2,0,2,0,0,3,200,407,32,375,0,14,50,5,12,33,0,24,0,1,0,20,175,998
Mizoram,Champhai,2,0,1,12,0,12,0,0,0,0,0,1,42,73,8,65,0,3,7,3,4,11,0,6,0,0,0,6,0,171
Mizoram,Kolasib,4,1,0,8,0,8,2,0,2,6,0,0,32,72,0,72,0,4,6,2,4,9,0,6,0,0,0,0,97,253
Mizoram,Lawngtlai,3,0,0,1,0,1,0,0,0,1,0,0,14,18,18,0,0,3,1,0,0,3,0,2,0,0,0,0,41,87
Mizoram,Lunglei,2,1,0,9,0,9,0,0,0,0,0,1,78,90,0,90,0,3,6,0,1,4,0,7,0,0,0,0,35,237
Mizoram,Mamit,5,4,1,2,0,2,1,0,1,0,0,3,14,19,0,19,0,1,0,0,0,3,0,1,0,0,0,0,11,65
Mizoram,Saiha,1,0,0,5,0,5,1,1,0,0,0,1,17,55,1,54,0,1,5,0,3,7,0,3,0,0,0,0,86,185
Mizoram,Serchhip,1,4,0,4,0,4,0,0,0,0,0,1,25,24,1,23,0,1,3,0,1,2,0,2,0,0,0,0,9,77
Mizoram,Total,25,19,7,72,0,72,6,1,5,7,0,10,422,758,60,698,0,30,78,10,25,72,0,51,0,1,0,26,454,2073
Nagaland,Dimapur,25,7,0,5,0,5,15,2,13,4,0,65,21,150,82,68,0,11,14,4,10,9,0,2,2,3,0,24,54,425
Nagaland,Kiphire,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,9
Nagaland,Kohima,31,19,0,8,0,8,10,0,10,6,0,10,19,67,24,43,1,2,16,2,0,0,0,0,0,0,0,0,75,266
Nagaland,Mokokchung,9,1,1,0,0,0,3,0,3,0,0,1,3,13,0,13,0,0,0,1,1,9,0,0,0,0,0,3,4,49
Nagaland,Mon,15,3,5,2,0,2,2,0,2,4,0,2,6,16,0,16,0,1,2,0,3,10,0,0,0,0,0,0,6,77
Nagaland,Peren,11,8,1,0,0,0,0,0,0,1,0,2,2,7,0,7,0,0,1,0,0,3,0,1,0,0,0,0,2,39
Nagaland,Phek,9,2,1,5,0,5,0,0,0,1,0,2,3,11,1,10,0,2,2,0,0,7,0,0,0,0,0,0,11,56
Nagaland,Tuensang,4,1,0,1,0,1,0,0,0,0,0,1,7,5,0,5,5,0,2,2,1,1,0,0,0,0,0,0,15,45
Nagaland,Wokha,4,2,0,0,0,0,1,1,0,0,0,1,2,30,1,29,1,2,0,0,1,7,0,0,0,0,0,1,12,64
Nagaland,Zunheboto,14,3,0,2,0,2,0,0,0,0,0,0,7,27,5,22,0,0,0,0,0,4,0,0,0,0,0,0,16,73
Nagaland,Total,123,46,8,23,0,23,31,3,28,16,0,84,70,327,113,214,7,18,37,10,16,50,0,3,2,3,0,28,201,1103
Orissa,Angul,39,43,1,41,0,41,16,13,3,15,4,47,107,316,35,281,144,11,39,0,12,26,12,97,13,36,0,130,955,2104
Orissa,Balasore,35,40,3,59,0,59,50,46,4,3,2,29,195,261,48,213,48,17,58,1,28,354,46,145,26,28,0,3,1556,2987
Orissa,Baragarh,37,28,3,17,0,17,13,11,2,11,2,25,66,133,21,112,75,5,21,0,17,35,17,69,7,17,0,92,535,1225
Orissa,Berhampur,18,39,0,12,0,12,15,9,6,11,9,41,101,173,57,116,49,7,39,0,10,85,9,87,5,11,0,51,412,1184
Orissa,Bhadrak,39,32,0,45,0,45,20,19,1,4,1,16,61,98,13,85,31,12,40,0,15,15,23,58,18,17,0,64,1033,1642
Orissa,Bolangir,32,29,4,40,0,40,37,20,17,8,1,26,79,149,24,125,61,4,40,0,8,205,7,140,14,23,0,0,807,1714
Orissa,Boudh,8,4,0,4,0,4,3,2,1,0,0,5,23,36,0,36,15,9,3,0,7,175,1,49,6,9,0,0,107,464
Orissa,Cuttack,44,0,0,46,0,46,56,51,5,8,8,90,288,652,255,397,65,22,124,0,16,192,49,48,4,36,0,519,1642,3909
Orissa,Deogarh,9,10,0,18,0,18,7,5,2,3,2,18,40,54,2,52,21,0,11,0,11,155,2,69,4,13,0,35,161,643
Orissa,Dhenkanal,34,14,0,32,0,32,13,8,5,12,2,49,81,149,12,137,98,5,24,1,19,64,12,130,12,23,0,73,753,1600
Orissa,Gajapati,14,0,0,7,0,7,8,4,4,4,0,6,30,31,4,27,33,3,9,0,6,16,3,30,0,8,0,51,184,443
Orissa,Ganjam,60,56,0,33,0,33,25,15,10,9,2,47,124,154,21,133,76,15,24,0,19,185,20,176,6,24,0,62,886,2003
Orissa,Jagatsinghpur,25,4,3,12,0,12,21,19,2,8,5,30,60,134,35,99,21,12,38,0,11,139,17,7,1,8,0,149,481,1186
Orissa,Jajpur,48,15,0,35,0,35,39,36,3,7,0,46,128,198,46,152,64,13,47,0,21,346,29,69,8,31,0,115,904,2163
Orissa,Jharsuguda,16,19,0,13,0,13,5,5,0,6,3,18,89,178,36,142,44,10,13,2,7,556,3,63,6,7,0,60,180,1298
Orissa,Kalahandi,30,14,0,49,0,49,15,13,2,4,0,29,59,88,9,79,89,7,57,0,8,120,12,42,5,28,0,68,575,1299
Orissa,Kandhamal,19,13,0,28,0,28,16,13,3,2,0,12,46,62,5,57,25,6,11,0,9,388,2,88,4,38,0,1,120,890
Orissa,Kendrapara,53,6,0,30,0,30,12,9,3,10,1,33,80,78,9,69,18,0,25,0,5,57,36,10,1,12,0,3,703,1173
Orissa,Keonjhar,84,59,0,53,0,53,35,32,3,12,0,61,87,187,30,157,56,21,28,0,21,25,10,152,13,20,0,371,780,2075
Orissa,Khurda,56,36,1,58,0,58,62,46,16,21,5,218,469,1192,569,623,91,36,400,4,20,1592,35,62,10,59,0,158,1422,6007
Orissa,Koraput,43,35,6,57,0,57,37,36,1,11,1,23,84,151,18,133,37,10,36,0,11,46,5,130,5,54,0,96,654,1532
Orissa,Malkangir,49,31,2,17,0,17,8,8,0,1,0,3,19,34,4,30,14,8,6,0,3,44,3,31,0,8,0,16,185,482
Orissa,Mayurbhanj,84,42,8,88,0,88,38,37,1,4,6,46,113,224,14,210,17,27,45,3,18,35,25,159,15,61,0,114,976,2148
Orissa,Nayagarh,35,12,0,17,0,17,21,16,5,4,4,13,72,125,17,108,27,5,32,0,13,381,12,16,4,12,0,34,285,1124
Orissa,Nowrangpur,16,5,0,24,0,24,17,17,0,0,0,8,32,60,11,49,27,4,9,0,4,53,5,53,5,17,0,39,357,735
Orissa,Nuapada,13,4,3,9,0,9,6,3,3,2,1,10,34,70,5,65,25,7,8,2,5,12,6,38,5,17,0,15,391,683
Orissa,Puri,29,9,0,19,0,19,33,29,4,12,0,67,183,314,56,258,51,5,32,0,19,131,30,17,7,17,0,88,1403,2466
Orissa,Rayagada,37,16,0,22,0,22,13,10,3,3,0,18,35,69,12,57,54,5,15,1,3,22,7,53,4,23,12,72,416,900
Orissa,Rourkela,12,22,0,20,0,20,18,14,4,2,1,22,66,255,76,179,14,7,54,1,0,233,10,81,10,10,0,51,531,1420
Orissa,Sambalpur,43,59,0,25,0,25,13,8,5,24,8,64,147,297,50,247,75,11,31,0,12,102,7,106,19,17,0,139,1106,2305
Orissa,Sonepur,15,16,0,13,0,13,6,3,3,3,0,9,29,45,8,37,20,1,10,0,6,16,2,58,4,1,0,17,184,455
Orissa,Srp(cuttack),5,0,0,1,0,1,5,3,2,2,1,16,8,303,24,279,1,0,8,0,0,27,0,7,0,1,0,0,105,490
Orissa,Srp(rourkela),5,2,1,2,0,2,3,2,1,1,2,4,3,106,9,97,6,0,0,1,0,6,0,5,0,0,0,5,114,266
Orissa,Sundargarh,73,38,1,39,0,39,18,15,3,12,5,35,82,191,36,155,43,8,27,0,7,388,0,70,6,8,0,254,472,1777
Orissa,Total,1159,752,36,985,0,985,704,577,127,239,76,1184,3120,6567,1571,4996,1535,313,1364,16,371,6226,457,2415,247,694,12,2945,21375,52792
Punjab,Amritsar,44,44,5,13,0,13,25,19,6,5,9,16,138,349,167,182,0,21,170,10,0,151,5,6,0,55,0,102,359,1527
Punjab,Barnala,12,9,6,5,0,5,6,3,3,0,1,3,29,33,15,18,0,7,67,1,0,112,1,7,0,6,0,67,158,530
Punjab,Batala,26,26,4,31,0,31,16,14,2,0,2,0,76,101,18,83,0,11,187,2,0,166,5,15,0,44,0,62,468,1242
Punjab,Bhatinda,54,55,15,19,0,19,27,22,5,1,4,3,127,156,80,76,0,17,169,3,5,223,5,22,1,45,0,1,489,1441
Punjab,Faridkot,18,30,1,9,0,9,13,5,8,0,0,3,73,125,27,98,0,6,76,1,1,173,5,25,1,19,0,0,321,900
Punjab,Fatehgarh Sahib,17,11,4,10,0,10,4,3,1,0,6,4,33,59,27,32,0,5,72,0,0,132,4,5,0,27,0,117,158,668
Punjab,Ferozpur,68,47,4,18,0,18,26,21,5,0,1,1,129,175,59,116,0,19,218,5,7,474,7,0,27,47,0,110,370,1753
Punjab,G.r.p,12,2,2,1,0,1,0,0,0,0,0,1,0,51,8,43,0,2,14,0,1,16,3,2,0,0,0,0,195,302
Punjab,Gurdaspur,30,21,11,25,0,25,16,12,4,0,0,2,46,72,17,55,0,7,68,2,2,119,14,12,0,31,0,138,517,1133
Punjab,Hoshiarpur,36,47,5,25,0,25,25,15,10,4,2,7,81,115,32,83,0,14,176,3,5,257,13,14,1,57,0,167,297,1351
Punjab,Jagraon,23,30,3,18,0,18,12,6,6,0,3,1,73,93,24,69,0,7,69,0,0,167,1,11,1,21,0,75,289,897
Punjab,Jalandhar,80,122,19,52,0,52,125,95,30,5,11,24,316,632,243,389,1,8,436,13,19,589,6,30,2,93,0,227,861,3671
Punjab,Kapurthala,28,29,1,13,0,13,21,15,6,2,2,15,105,135,41,94,0,5,164,5,5,239,6,12,0,23,0,100,291,1201
Punjab,Khanna,17,28,3,5,0,5,13,11,2,4,3,2,72,96,28,68,0,3,68,1,3,164,2,0,0,12,0,127,387,1010
Punjab,Ludhiana,63,79,8,41,0,41,100,61,39,3,20,13,197,517,295,222,0,37,340,2,6,281,12,25,17,93,0,256,977,3087
Punjab,Majitha,51,36,2,13,0,13,21,16,5,2,1,5,41,53,14,39,0,11,109,3,0,117,4,13,2,22,0,83,201,790
Punjab,Mansa,27,29,20,17,0,17,9,5,4,0,3,1,31,46,30,16,0,8,66,1,0,150,1,9,0,9,0,0,229,656
Punjab,Moga,31,42,10,11,0,11,28,22,6,2,2,10,100,132,30,102,2,20,221,2,0,254,1,24,0,25,0,68,326,1311
Punjab,Muktsar,23,23,5,14,0,14,17,10,7,0,2,7,64,93,39,54,0,17,47,1,3,160,5,5,0,17,0,44,170,717
Punjab,Nawan Shahr,18,31,1,8,0,8,7,6,1,2,3,10,48,80,21,59,0,3,81,0,0,191,1,5,0,19,0,78,141,727
Punjab,Patiala,43,55,12,29,0,29,26,23,3,0,2,2,163,274,155,119,0,21,175,2,8,393,4,27,1,39,0,283,844,2403
Punjab,Ropar,12,1,1,8,0,8,10,7,3,0,1,1,24,50,14,36,0,6,60,0,1,72,5,9,1,21,0,136,241,660
Punjab,Sangrur,23,32,12,24,0,24,14,10,4,0,6,2,80,93,40,53,0,17,136,2,2,185,7,18,4,46,0,127,295,1125
Punjab,Sas Ngr,30,29,9,10,0,10,15,6,9,0,2,0,190,311,110,201,0,4,128,0,0,149,6,0,2,3,2,477,769,2136
Punjab,Tarn Taran,31,40,2,23,0,23,15,11,4,5,4,9,41,105,27,78,0,5,76,7,0,170,7,18,0,27,0,74,171,830
Punjab,Total,817,898,165,442,0,442,591,418,173,35,90,142,2277,3946,1561,2385,3,281,3393,66,68,5104,130,314,60,801,2,2919,9524,32068
Rajasthan,Ajmer,44,64,4,53,0,53,90,90,0,1,3,27,282,893,444,449,69,29,460,4,9,327,9,114,1,405,0,393,3242,6523
Rajasthan,Alwar,75,83,4,81,0,81,102,68,34,0,11,38,160,1093,536,557,72,31,635,3,19,2084,36,111,0,314,0,360,1931,7243
Rajasthan,Banswara,29,22,1,27,0,27,38,36,2,0,13,14,69,91,33,58,85,3,63,2,17,1087,5,79,3,93,0,101,647,2489
Rajasthan,Baran,33,78,1,37,0,37,44,40,4,0,2,8,103,243,69,174,21,11,120,0,14,382,5,114,2,169,0,84,1084,2555
Rajasthan,Barmer,20,24,5,12,0,12,26,21,5,0,0,3,94,197,70,127,10,17,146,0,18,636,7,85,0,74,0,101,1122,2597
