SI.No ,State/UT,District ,Murder ,Attempt to Commit Murder ,C.H. Not Amounting to Murder ,Rape ,Kidnapping & Abduction - Total ,Kidnapping & Abduction - of Women & Girls  ,Kidnapping & Abduction - Of Others ,Dacoity ,Preparation and Assembly for Dacoity ,Robbery ,Burglary ,Theft,Riots ,Criminal Breach of Trust ,Cheating ,Counterfeiting ,Arson ,Hurt/Grievous Hurt,Dowry Death,Molestation ,Sexual Harassment ,Cruelty by Husband and Relatives ,Others IPC Crimes ,Total Cog. Under IPC 
1,Punjab,Amritsar,33,10,4,6,20,16,4,0,0,0,63,115,0,13,40,1,2,49,12,2,2,14,221,607
2,Punjab,Barnala,16,7,4,0,1,1,0,0,0,0,11,14,0,4,10,0,2,38,4,0,0,0,77,188
3,Punjab,Batala,26,14,6,5,9,8,1,0,0,0,29,28,0,2,10,0,0,70,3,4,0,2,75,283
4,Punjab,Bhatinda,21,13,2,0,4,3,1,0,0,0,34,34,0,3,16,0,1,87,5,1,0,5,106,332
5,Punjab,Faridkot,21,9,3,5,4,3,1,0,0,0,32,27,0,6,12,0,0,81,2,2,0,2,57,263
6,Punjab,Fatehgarh Sahib,16,5,0,5,6,3,3,0,0,0,4,26,0,2,9,0,0,52,1,0,0,1,133,260
7,Punjab,Ferozepur,65,15,4,8,26,15,11,1,0,1,112,104,6,13,74,1,7,375,13,15,4,9,271,1124
8,Punjab,Gurdaspur,24,6,0,0,4,2,2,0,0,0,39,33,0,4,13,0,0,52,2,3,0,4,131,315
9,Punjab,Hoshiarpur,39,20,6,8,27,18,9,5,0,17,117,164,0,17,100,0,10,248,13,16,0,15,342,1164
10,Punjab,Jagraon,16,10,0,4,2,0,2,0,0,0,21,39,0,2,10,0,0,63,6,0,0,3,106,282
11,Punjab,Jalandhar,63,31,8,9,38,26,12,3,0,10,150,222,0,10,52,0,3,223,13,5,1,13,440,1294
12,Punjab,Kapurthala,20,15,1,4,16,8,8,0,0,2,32,58,0,5,16,0,1,101,3,8,0,8,165,455
13,Punjab,Khanna,14,5,2,0,3,2,1,0,2,3,15,25,0,4,5,1,0,38,6,0,0,0,120,243
14,Punjab,Ludhiana,47,43,5,11,29,13,16,0,12,2,75,181,0,16,42,2,3,69,11,1,0,14,366,929
15,Punjab,Majitha,28,11,1,4,1,1,0,1,0,1,17,10,0,3,11,0,0,23,5,1,0,5,100,222
16,Punjab,Mansa,24,14,1,4,1,0,1,0,0,1,23,40,0,5,27,0,1,97,5,10,0,5,60,318
17,Punjab,Moga,19,19,1,1,1,1,0,1,0,3,33,34,0,8,11,0,1,108,1,0,0,1,95,337
18,Punjab,Muktsar,23,6,3,0,5,2,3,0,0,1,10,8,0,3,7,0,1,74,6,0,0,2,56,205
19,Punjab,Patiala,54,28,19,4,15,10,5,0,0,1,66,75,0,15,35,0,2,45,8,3,0,16,511,897
20,Punjab,Ropar,16,8,0,4,7,2,5,0,0,1,71,57,0,6,17,0,1,52,6,0,1,4,304,555
21,Punjab,Sangrur,51,17,3,6,9,3,6,1,0,3,49,48,0,8,26,4,6,110,3,0,0,5,182,531
22,Punjab,Tarn Taran,43,16,2,8,5,3,2,0,0,1,14,32,0,6,27,0,0,59,2,2,0,5,119,341
Punjab,Punjab,Total,679,322,75,96,233,140,93,12,14,47,1017,1374,6,155,570,9,41,2114,130,73,8,133,4037,11145
1,Rajasthan,Ajmer,38,105,2,16,139,139,0,2,0,53,329,584,695,39,283,10,16,236,12,49,1,139,2740,5488
2,Rajasthan,Alwar,91,57,6,32,97,80,17,5,2,37,261,742,1155,49,231,19,62,149,29,77,0,109,3215,6425
3,Rajasthan,Banswara,32,40,1,72,137,133,4,1,0,41,169,223,860,7,72,1,64,23,5,157,2,149,2603,4659
4,Rajasthan,Baran,42,81,6,57,118,118,0,3,0,64,330,382,438,16,103,1,48,106,7,132,11,61,2186,4192
5,Rajasthan,Barmer,29,11,0,15,16,11,5,0,0,21,173,196,161,10,52,8,26,49,5,44,0,38,1449,2303
6,Rajasthan,Bharatpur,77,69,8,35,75,40,35,7,2,37,150,753,731,19,172,10,46,44,23,41,0,84,3300,5683
7,Rajasthan,Bhilwara,29,15,6,43,207,207,0,5,0,32,416,518,850,50,278,7,27,216,3,110,0,149,3248,6209
8,Rajasthan,Bikaner,25,96,1,23,42,42,0,0,0,4,191,301,146,7,84,1,7,96,14,53,0,119,2209,3419
9,Rajasthan,Bundi,33,153,3,48,86,70,16,4,1,62,182,325,369,20,82,0,44,358,6,74,1,101,1533,3485
10,Rajasthan,Chittorgarh,48,36,6,52,221,199,22,9,1,81,534,800,808,16,196,12,84,2286,8,94,13,100,1493,6898
11,Rajasthan,Churu,28,44,0,31,30,19,11,4,0,7,165,238,259,7,122,13,28,322,9,83,0,80,1351,2821
12,Rajasthan,Dausa,33,50,0,17,44,44,0,2,0,17,149,307,943,17,60,15,12,301,7,15,0,45,1112,3146
13,Rajasthan,Dholpur,63,87,1,20,48,36,12,5,0,17,99,453,563,17,34,7,17,77,21,33,0,42,1665,3269
14,Rajasthan,Dungarpur,31,25,0,42,37,35,2,3,0,21,88,94,329,7,32,2,20,686,6,55,1,29,795,2303
15,Rajasthan,Ganganagar,72,150,0,58,59,56,3,3,0,14,367,518,312,70,307,7,25,1204,26,104,5,413,2674,6388
16,Rajasthan,Hanumangarh,38,105,0,33,34,29,5,1,0,9,168,239,173,18,168,2,36,384,19,80,0,226,2141,3874
17,Rajasthan,Jaipur,102,59,7,44,296,268,28,1,0,88,1286,3522,3287,227,946,181,77,732,36,129,5,243,8370,19638
18,Rajasthan,Jaisalmer,6,8,0,1,9,2,7,0,0,15,57,112,75,4,15,1,4,2,3,8,0,7,548,875
19,Rajasthan,Jalore,22,26,1,6,29,29,0,0,0,21,54,158,199,18,57,4,47,85,3,30,3,42,1520,2325
20,Rajasthan,Jhalawar,51,117,0,91,107,107,0,9,0,85,301,313,427,16,69,3,65,306,3,128,9,86,1610,3796
21,Rajasthan,Jhunjhunu,58,20,1,11,40,40,0,0,0,10,171,249,755,7,64,21,36,1407,21,36,0,47,475,3429
22,Rajasthan,Jodhpur,37,50,0,31,76,62,14,0,0,57,328,801,558,51,230,10,40,1504,25,71,0,178,1853,5900
23,Rajasthan,Kota,65,323,6,54,195,195,0,15,0,84,633,979,586,42,242,13,40,328,15,135,5,201,3104,7065
24,Rajasthan,Nagaur,36,23,0,26,43,39,4,0,0,33,172,305,477,5,151,3,7,23,8,45,0,67,2716,4140
25,Rajasthan,Pali,46,17,1,17,77,77,0,0,0,29,162,288,356,24,118,10,27,452,6,44,0,72,2001,3747
26,Rajasthan,Rajsamand,25,20,1,18,89,89,0,1,0,36,141,202,324,10,102,0,24,286,2,33,0,96,1390,2800
27,Rajasthan,Sawai Madhopur,61,53,3,29,118,118,0,0,0,28,262,529,1483,11,138,12,34,53,11,29,0,55,1963,4872
28,Rajasthan,Sikar,34,1,28,16,43,19,24,4,0,19,225,383,1269,24,121,9,50,814,13,49,0,70,1474,4646
29,Rajasthan,Sirohi,34,33,4,19,33,33,0,2,0,20,158,126,165,10,38,7,23,38,5,33,0,29,1464,2241
30,Rajasthan,Tonk,24,43,2,28,84,84,0,1,0,11,112,342,620,6,141,0,19,42,1,61,3,27,2014,3581
31,Rajasthan,Udaipur,69,60,3,50,188,157,31,1,0,88,505,778,1000,61,254,4,62,253,16,79,5,98,4317,7891
32,Rajasthan,G.R.P,7,11,0,1,5,2,3,0,0,9,2,379,13,4,10,18,0,10,1,10,1,0,277,758
Rajasthan,Rajasthan,Total,1386,1988,97,1036,2822,2579,243,88,6,1150,8340,16139,20386,889,4972,411,1117,12872,369,2121,65,3202,68810,148266
1,Sikkam,East,4,9,0,0,11,4,7,1,0,4,51,82,22,5,23,1,0,68,0,27,0,0,66,374
2,Sikkam,North,3,0,0,1,0,0,0,0,0,0,4,11,0,1,0,0,1,7,0,1,0,0,22,51
3,Sikkam,South,2,0,0,1,1,0,1,1,0,1,19,22,2,2,2,0,0,7,0,4,0,0,47,111
4,Sikkam,West,3,0,1,1,2,0,2,1,0,0,15,10,2,1,0,0,3,13,0,5,0,0,40,97
Sikkam,Sikkam,Total,12,9,1,3,14,4,10,3,0,5,89,125,26,9,25,1,4,95,0,37,0,0,175,633
1,Tamil Nadu,Chengai MGR (East),84,77,0,4,14,14,0,16,0,50,511,1339,72,25,63,0,38,465,5,39,398,22,2439,5661
2,Tamil Nadu,Chengai MGR (West),65,39,0,15,41,41,0,7,0,15,197,720,342,7,12,2,60,619,5,45,5,11,4899,7106
3,Tamil Nadu,Chidambaranar,115,47,0,9,20,19,1,3,0,27,184,438,607,11,23,14,61,1123,1,79,8,14,2555,5339
4,Tamil Nadu,Coimbatore Rural,95,39,0,8,40,28,12,12,0,27,349,1025,595,13,43,13,64,505,4,48,37,49,3225,6191
5,Tamil Nadu,Coimbatore Urban,16,13,0,1,4,1,3,4,0,15,183,1044,126,20,32,92,0,57,2,1,0,8,1401,3019
6,Tamil Nadu,Cuddalore,58,94,1,16,56,40,16,0,0,12,190,817,632,16,21,9,88,124,0,94,0,0,4904,7132
7,Tamil Nadu,Dharmapuri,114,46,1,8,30,30,0,20,1,27,260,418,353,21,10,24,59,177,11,73,14,14,2713,4394
8,Tamil Nadu,Dindigul Anna,60,60,7,10,43,43,0,11,0,17,180,558,104,11,36,8,0,584,6,35,3,8,2728,4469
9,Tamil Nadu,Kamarajar,61,43,1,15,14,14,0,1,0,11,156,472,235,10,14,11,84,862,0,38,30,6,1678,3742
10,Tamil Nadu,Kanyakummari,66,56,1,6,50,23,27,4,0,11,243,261,145,3,24,7,127,710,1,23,0,14,2354,4106
11,Tamil Nadu,Madras,88,294,0,11,13,13,0,5,0,69,481,2593,41,182,412,90,0,429,3,14,0,23,1094,5842
12,Tamil Nadu,Madurai Rural,102,92,1,26,58,58,0,9,0,45,259,714,690,14,46,7,94,2565,7,94,9,52,1803,6687
13,Tamil Nadu,Madurai Urban,26,49,0,7,29,29,0,7,0,41,140,938,126,15,103,60,8,229,10,12,3,10,1830,3643
14,Tamil Nadu,N. A. Ambedkar,71,29,2,18,27,9,18,2,0,15,360,977,644,33,54,32,57,742,3,28,11,4,3766,6875
15,Tamil Nadu,Nagai Quaid-e-millet,62,85,1,12,53,44,9,2,0,9,219,597,170,27,29,9,81,1514,13,59,0,9,2763,5714
16,Tamil Nadu,Pasumpon M. Thevar,28,24,0,10,23,19,4,0,0,9,126,297,87,9,18,0,41,802,1,32,12,6,933,2458
17,Tamil Nadu,Periyar,73,31,0,5,42,2,40,2,0,18,234,914,119,10,16,17,38,1937,3,24,288,7,1292,5070
18,Tamil Nadu,Pudukottai,40,18,0,5,24,24,0,0,0,3,92,241,209,12,23,3,30,54,0,19,2,13,1236,2024
19,Tamil Nadu,Ramnathapuram,52,36,0,6,18,18,0,0,0,6,87,187,220,3,14,4,40,507,2,20,0,0,1169,2371
20,Tamil Nadu,Salem,133,44,0,5,63,63,0,12,0,30,363,873,393,4,24,32,33,1018,0,52,231,23,2954,6287
21,Tamil Nadu,T.V.M. Sambuvarayar,47,23,0,6,25,22,3,3,0,5,127,568,325,10,24,5,45,1124,1,40,1,19,1828,4226
22,Tamil Nadu,Thanjavur,76,51,0,6,6,0,6,1,0,3,134,495,136,9,33,8,0,479,3,63,0,0,1579,3082
23,Tamil Nadu,The Nilgiris,19,9,0,5,0,0,0,3,0,3,112,135,71,1,8,4,0,259,1,12,13,2,660,1317
24,Tamil Nadu,Tin. Kattabomman,159,128,1,31,57,57,0,2,0,39,287,597,114,12,19,23,147,850,10,120,9,15,3759,6379
25,Tamil Nadu,Trichy,166,93,0,8,38,38,0,2,0,9,366,959,218,8,76,52,46,1008,2,64,4,6,3650,6775
26,Tamil Nadu,Villupuram,83,78,1,15,26,11,15,5,0,7,155,519,632,14,19,8,86,750,0,83,0,10,3789,6280
27,Tamil Nadu,Madras Rly.,0,1,0,0,0,0,0,1,0,5,1,168,11,2,8,0,0,44,0,1,0,0,128,370
28,Tamil Nadu,Trichy Rly.,0,0,0,0,1,1,0,0,0,1,2,42,6,2,0,0,0,22,0,0,0,0,126,202
Tamil Nadu,Tamil Nadu,Total,1959,1599,17,268,815,661,154,134,1,529,5998,18906,7423,504,1204,534,1327,19559,94,1212,1078,345,63255,126761
1,Tripura,Dhalai,36,3,0,3,47,1,46,11,0,16,15,21,11,1,0,0,18,29,0,0,0,3,47,263
2,Tripura,North,35,24,0,13,34,16,18,21,5,37,92,113,50,2,8,0,17,118,0,29,1,22,160,781
3,Tripura,South,63,16,0,25,32,7,25,79,0,57,94,120,77,3,3,1,22,181,3,28,0,0,135,939
4,Tripura,West,117,19,0,32,81,16,65,72,0,34,174,322,108,8,12,2,54,286,4,23,0,32,368,1748
Tripura,Tripura,Total,251,62,0,75,194,40,154,183,5,144,375,576,246,14,23,3,111,614,7,80,1,57,710,3731
1,Uttar Pradesh,Agra,164,160,27,37,122,74,48,55,2,157,444,1205,263,144,166,3,64,565,48,91,0,146,1859,5722
2,Uttar Pradesh,Aligarh,280,293,31,62,173,96,77,83,1,514,327,990,337,205,3,6,52,633,79,89,91,134,1242,5325
3,Uttar Pradesh,Allahabad,379,312,38,63,114,72,42,39,3,306,618,1361,339,112,152,3,88,854,57,96,0,127,2606,7667
4,Uttar Pradesh,Almora,11,31,5,2,9,0,9,3,0,22,74,126,24,22,10,2,0,21,5,13,0,27,208,615
5,Uttar Pradesh,Azamgarh,124,128,27,11,23,12,11,20,2,67,226,245,126,17,29,2,49,365,30,13,0,0,499,2003
6,Uttar Pradesh,Badaun,270,262,27,44,122,49,73,31,5,157,178,599,124,38,19,2,70,607,39,105,0,64,818,3581
7,Uttar Pradesh,Bahraich,67,69,14,27,44,42,2,5,12,38,214,318,56,48,45,0,40,206,23,37,0,6,565,1834
8,Uttar Pradesh,Ballia,24,31,24,4,21,8,13,9,1,16,112,226,99,22,25,0,10,294,10,16,0,19,591,1554
9,Uttar Pradesh,Banda,103,67,37,29,29,15,14,12,1,42,170,231,74,24,26,6,10,156,21,55,0,18,801,1912
10,Uttar Pradesh,Barabanki,141,110,14,42,49,38,11,15,6,80,215,391,91,52,18,0,36,478,39,40,0,52,620,2489
11,Uttar Pradesh,Bareily,266,268,53,61,135,128,7,21,0,157,293,1068,144,79,122,2,44,486,46,56,0,172,1490,4963
12,Uttar Pradesh,Basti,72,75,13,15,47,46,1,17,2,38,175,305,98,28,40,1,0,212,10,27,0,0,645,1820
13,Uttar Pradesh,Bhadoi,27,29,10,4,6,4,2,5,2,30,96,110,27,7,5,0,3,97,10,9,0,6,167,650
14,Uttar Pradesh,Bijnor,167,157,16,21,58,37,21,10,1,63,118,435,81,27,41,1,11,457,13,54,0,82,544,2357
15,Uttar Pradesh,Bulandshahar,312,288,52,52,88,54,34,42,3,133,337,727,205,70,54,0,63,394,45,70,0,82,848,3865
16,Uttar Pradesh,Chamoli,14,21,4,1,4,4,0,5,0,11,47,41,50,14,10,0,1,20,4,26,0,2,75,350
17,Uttar Pradesh,Dehradun,49,48,7,9,51,47,4,10,2,31,176,461,114,42,43,1,10,97,4,36,0,47,635,1873
18,Uttar Pradesh,Deoria,88,88,17,11,34,33,1,27,2,59,256,323,199,25,25,2,33,509,23,14,0,15,465,2215
19,Uttar Pradesh,Etah,297,359,23,39,116,53,63,29,0,83,171,469,203,57,43,0,37,408,62,52,0,68,899,3415
20,Uttar Pradesh,Etawah,135,135,21,25,83,33,50,36,0,89,166,339,139,47,121,2,37,500,63,27,0,43,1104,3112
21,Uttar Pradesh,Faizabad,99,136,18,32,59,28,31,43,3,137,289,513,180,110,71,1,41,338,28,25,27,29,1025,3204
22,Uttar Pradesh,Fathegarh,210,254,31,24,104,47,57,27,0,64,230,331,133,32,36,0,37,502,48,45,0,82,885,3075
23,Uttar Pradesh,Fatehpur,146,92,52,14,24,14,10,21,3,37,103,162,36,29,29,0,10,310,29,37,0,24,618,1776
24,Uttar Pradesh,Ferozabad,156,151,14,27,64,35,29,26,0,48,111,295,158,35,50,1,21,144,24,35,0,11,993,2364
25,Uttar Pradesh,Ghaziabad,342,365,20,52,150,101,49,37,2,174,431,1822,243,136,135,22,39,439,34,83,0,103,1948,6577
26,Uttar Pradesh,Ghazipur,80,65,17,9,18,18,0,10,1,29,190,251,119,4,19,0,0,266,20,0,0,0,592,1690
27,Uttar Pradesh,Gonda,123,120,20,33,52,41,11,15,4,67,315,426,93,26,85,0,89,472,29,49,0,23,811,2852
28,Uttar Pradesh,Gorakhpur,131,149,33,17,50,44,6,13,3,101,330,646,191,86,88,0,14,440,30,14,0,25,1215,3576
29,Uttar Pradesh,Hamirpur,92,63,8,11,18,5,13,5,0,30,90,107,32,6,14,0,2,68,19,30,7,15,360,977
30,Uttar Pradesh,Hardoi,156,138,36,52,60,56,4,6,8,71,161,402,93,50,23,6,14,187,42,71,0,27,1535,3138
31,Uttar Pradesh,Haridwar,69,79,16,22,52,30,22,10,0,63,197,418,80,33,29,9,13,63,13,35,0,54,445,1700
32,Uttar Pradesh,Jalaun,75,55,16,14,39,15,24,11,2,55,124,215,55,22,15,0,6,201,24,24,0,42,445,1440
33,Uttar Pradesh,Jaunpur,56,76,17,13,24,17,7,12,2,47,204,220,119,11,18,39,6,512,49,16,0,39,639,2119
34,Uttar Pradesh,Jhansi,111,71,50,18,34,27,7,27,1,62,215,332,138,19,34,0,27,403,25,46,0,54,917,2584
35,Uttar Pradesh,Kanpur Dehat,151,85,12,27,75,45,30,38,1,123,178,338,165,33,26,1,17,406,57,34,0,40,780,2587
36,Uttar Pradesh,Kanpur Nagar,204,154,19,44,171,112,59,36,4,181,476,1369,189,239,240,42,21,424,54,49,0,171,1653,5740
37,Uttar Pradesh,kheri,160,163,26,64,87,66,21,34,0,118,174,460,113,27,27,0,44,374,48,70,25,62,689,2765
38,Uttar Pradesh,Lalitpur,31,12,9,24,12,12,0,3,0,7,67,109,37,10,20,0,8,150,11,52,0,32,309,903
39,Uttar Pradesh,Lucknow,209,210,29,39,112,102,10,18,12,220,690,2694,246,218,240,1,33,529,41,60,0,150,2503,8254
40,Uttar Pradesh,Maharajganj,48,32,11,20,21,14,7,11,2,24,64,107,47,14,14,1,7,162,6,15,0,6,352,964
41,Uttar Pradesh,Mahoba,53,54,7,13,6,5,1,4,0,32,80,70,36,8,7,0,0,0,14,31,0,13,361,789
42,Uttar Pradesh,Mainpuri,145,141,17,9,46,18,28,19,1,79,111,297,137,26,43,1,26,113,51,36,0,16,875,2189
43,Uttar Pradesh,Mathura,147,193,12,46,90,42,48,39,2,108,181,423,233,63,63,0,52,302,48,57,0,69,819,2947
44,Uttar Pradesh,Mau,33,47,6,9,14,11,3,7,1,22,137,176,70,11,21,2,20,115,12,16,0,5,383,1107
45,Uttar Pradesh,Meerut,392,451,26,69,156,84,72,38,29,198,520,1536,316,134,155,3,32,525,51,124,0,311,1712,6778
46,Uttar Pradesh,Mirzapur,47,62,13,6,12,9,3,10,2,41,88,174,54,29,11,0,9,126,14,14,0,3,358,1073
47,Uttar Pradesh,Moradabad,319,337,48,71,162,104,58,49,3,211,396,1107,221,72,68,0,105,1064,40,110,0,143,800,5326
48,Uttar Pradesh,Muzaffaranagar,332,215,39,53,152,53,99,24,6,156,196,771,123,57,60,0,0,322,22,37,0,106,1032,3703
49,Uttar Pradesh,Nainital,39,37,5,5,22,0,22,10,4,46,122,290,40,28,28,0,3,176,3,13,0,13,311,1195
50,Uttar Pradesh,Padrona,56,50,13,11,30,4,26,20,2,21,108,136,92,19,10,2,5,248,14,12,0,7,523,1379
51,Uttar Pradesh,Paui Garhwal,11,20,2,2,7,7,0,5,0,27,46,167,22,3,5,0,0,18,3,2,0,1,197,538
52,Uttar Pradesh,Pilibhit,110,89,9,25,46,46,0,13,0,63,74,230,48,25,20,0,3,25,19,15,0,11,768,1593
53,Uttar Pradesh,Pithoragarh,13,8,3,4,6,6,0,2,0,17,35,71,26,6,2,0,1,21,1,5,0,4,305,530
54,Uttar Pradesh,Pratapgarh,94,129,30,22,36,7,29,16,8,38,195,233,148,22,46,1,31,248,14,13,0,25,905,2254
55,Uttar Pradesh,Raibareilly,116,71,12,42,28,28,0,10,0,53,260,382,73,19,25,0,19,384,19,52,0,22,561,2148
56,Uttar Pradesh,Rampur,115,130,30,19,44,2,42,8,8,67,129,302,42,26,27,0,3,329,7,36,4,7,469,1802
57,Uttar Pradesh,Saharanpur,138,164,25,23,82,45,37,27,2,80,164,568,150,39,64,6,8,348,22,37,0,98,730,2775
58,Uttar Pradesh,Shahjahanpur,221,202,40,66,75,72,3,19,1,101,183,396,94,34,42,0,40,415,28,49,0,9,617,2632
59,Uttar Pradesh,Sidharthnagar,22,12,5,11,19,0,19,6,0,18,93,119,46,19,22,0,0,79,12,0,0,28,378,889
60,Uttar Pradesh,Sitapur,206,197,24,65,87,10,77,28,2,149,303,762,190,37,31,0,38,444,67,79,0,0,1258,3967
61,Uttar Pradesh,Sonbhadra,24,13,11,7,7,7,0,0,2,5,40,84,24,8,4,0,7,67,7,7,0,2,156,475
62,Uttar Pradesh,Sultanpur,96,112,14,28,26,21,5,23,4,46,225,331,84,35,41,0,72,337,31,49,0,32,655,2241
63,Uttar Pradesh,Tehri Garhwal,12,30,12,9,7,7,0,3,0,20,62,75,37,11,6,12,9,50,0,5,0,3,106,469
64,Uttar Pradesh,Unnao,188,143,22,57,40,32,8,19,13,79,259,465,118,34,33,0,20,200,49,75,0,73,1518,3405
65,Uttar Pradesh,Uttarkashi,3,3,3,2,6,5,1,1,0,7,31,39,10,9,3,6,1,35,0,4,0,6,68,237
66,Uttar Pradesh,Varanasi,159,181,34,11,53,10,43,14,2,90,279,675,164,57,50,3,32,350,39,13,0,59,1084,3346
67,Uttar Pradesh,G.R.P,54,31,7,8,29,28,1,36,5,123,14,5143,60,94,70,1,0,10,1,24,0,0,888,6598
Uttar Pradesh,Uttar Pradesh,Total,8784,8523,1383,1808,3842,2337,1505,1327,190,5348,13383,36209,7918,3142,3167,193,1643,20100,1850,2631,154,3165,53232,177992
1,West Bengal,24 Parganas North,162,96,62,83,110,97,13,52,32,66,70,2217,706,84,136,2,2,365,3,115,0,546,2291,7200
2,West Bengal,24 Parganas South,209,48,63,84,100,95,5,38,5,114,57,2540,832,21,56,1,14,68,2,144,3,469,1723,6591
3,West Bengal,Bankura,42,3,15,19,12,12,0,22,7,23,16,305,106,1,3,0,2,288,9,25,0,59,164,1121
4,West Bengal,Birbhum,69,22,33,29,31,16,15,34,1,29,33,463,382,12,16,0,9,67,6,80,1,115,685,2117
5,West Bengal,Burdwan,151,31,55,50,62,61,1,42,96,77,60,1863,472,12,65,1,7,124,8,97,5,223,2440,5941
6,West Bengal,Calcutta,83,145,16,54,114,82,32,35,31,155,169,4957,357,228,573,30,0,1343,9,140,13,111,3108,11671
7,West Bengal,Coochbehar,32,6,16,39,33,30,3,20,0,31,51,296,70,1,5,3,8,317,0,51,0,111,598,1688
8,West Bengal,Dakshin Dinajpur,44,3,19,14,38,25,13,4,0,8,16,392,136,1,3,1,1,73,1,48,0,37,859,1698
9,West Bengal,Darjeeling,62,8,36,24,24,23,1,9,7,27,18,493,52,16,13,7,6,554,0,46,0,28,358,1788
10,West Bengal,Hooghly,75,43,29,42,38,38,0,53,6,66,40,1319,608,24,80,0,0,52,4,42,0,320,1644,4485
11,West Bengal,Howrah,69,6,26,17,25,19,6,19,12,68,51,1317,359,21,21,0,0,109,5,35,0,107,1587,3854
12,West Bengal,Jalpaiguri,134,20,52,67,33,22,11,13,3,33,32,690,149,9,30,2,7,122,1,48,1,108,905,2459
13,West Bengal,Malda,77,28,27,39,35,33,2,25,10,24,25,391,118,7,12,0,0,112,1,68,1,43,974,2017
14,West Bengal,Midnapur,152,17,33,52,101,95,6,34,4,42,88,1082,953,21,87,3,28,274,28,96,1,558,2091,5745
15,West Bengal,Murshidabad,180,49,56,44,61,58,3,36,10,41,20,884,204,9,21,7,3,136,0,99,1,78,2015,3954
16,West Bengal,Nadia,122,1,58,78,65,60,5,16,12,19,44,919,342,0,0,1,1,144,11,87,0,225,1383,3528
17,West Bengal,Purulia,77,0,9,22,7,6,1,13,10,25,21,487,126,16,26,0,12,199,0,44,0,107,454,1655
18,West Bengal,Uttar Dinajpur,48,9,15,30,45,39,6,16,4,13,15,484,139,1,14,0,5,49,1,49,0,74,890,1901
West Bengal,West Bengal,Total,1788,535,620,787,934,811,123,481,250,861,826,21099,6111,484,1161,58,105,4396,89,1314,26,3319,24169,69413
1,A & N Island,Andaman,13,8,0,5,4,4,0,0,0,2,55,48,18,5,6,0,4,72,0,12,0,1,182,435
2,A & N Island,Nicobar,1,0,0,0,0,0,0,0,0,0,2,7,1,1,0,0,0,6,0,1,1,1,8,29
A & N Island,A & N Island,Total,14,8,0,5,4,4,0,0,0,2,57,55,19,6,6,0,4,78,0,13,1,2,190,464
1,Chandigarh,Chandigarh,14,34,9,5,39,26,13,1,0,10,189,816,62,50,90,2,4,98,1,10,2,18,578,2032
1,D & N Haveli,D & N Haveli,10,4,0,1,5,5,0,1,0,5,29,56,29,7,2,0,2,57,1,5,0,5,217,436
1,Daman & Diu,Daman ,5,3,0,2,3,0,3,4,0,5,23,46,30,4,6,0,NA,NA,NA,NA,NA,NA,89,220
2,Daman & Diu,Diu,0,0,0,0,0,0,0,0,0,0,7,12,7,1,5,0,NA,NA,NA,NA,NA,NA,31,63
Daman & Diu,Daman & Diu,Total,5,3,0,2,3,0,3,4,0,5,30,58,37,5,11,0,NA,NA,NA,NA,NA,NA,120,283
1,Delhi,Central,28,36,8,29,85,19,66,2,3,66,104,1574,13,72,128,16,4,154,11,41,78,5,1350,3807
2,Delhi,East,37,31,2,30,137,47,90,3,1,44,199,945,15,38,72,0,6,265,11,34,8,6,1005,2889
3,Delhi,I.G.I.Airport,4,0,0,0,3,0,3,0,0,4,6,86,0,10,477,0,0,6,0,3,0,0,67,666
4,Delhi,New Delhi,9,10,1,8,34,9,25,4,2,23,78,1245,11,44,162,7,3,52,1,29,15,3,901,2642
5,Delhi,North,37,50,5,39,87,10,77,1,3,75,113,1786,21,140,183,10,11,204,10,45,9,7,2116,4952
6,Delhi,North East,86,104,12,33,226,69,157,3,2,54,248,736,13,20,42,3,7,357,24,47,5,4,1270,3296
7,Delhi,North West,103,122,13,78,178,53,125,9,6,83,359,2263,26,90,140,2,5,372,40,69,4,17,2785,6764
8,Delhi,South,101,107,10,61,252,47,205,8,3,114,427,4344,74,99,203,5,17,355,20,122,34,23,3224,9603
9,Delhi,South West,44,44,15,40,119,18,101,5,0,43,316,1670,24,47,84,9,8,238,19,68,14,13,2098,4918
10,Delhi,West ,66,72,14,54,125,58,67,0,2,43,189,1878,11,49,119,5,15,412,21,59,56,17,3909,7116
11,Delhi,G.R.P (RLY.),5,1,0,0,6,0,6,1,0,6,0,740,2,35,14,6,3,6,3,3,0,0,202,1033
Delhi,Delhi,Total,520,577,80,372,1252,330,922,36,22,555,2039,17267,210,644,1624,63,79,2421,160,520,223,95,18927,47686
1,Lakshadweep,Lakshadweep,0,0,0,0,0,0,0,0,0,0,3,12,1,3,0,0,0,5,0,0,0,0,7,31
1,Pondicherry,Pondicherry,21,12,3,2,9,4,5,1,0,5,86,458,43,4,11,4,13,337,3,14,3,1,1372,2402
Grand Total,Grand Total,Grand Total,37464,29571,3830,13754,20426,14063,6363,8335,961,22443,116507,294306,96520,15503,30678,2203,12028,203812,4648,26856,4689,28579,722583,1695696
