States/ UTs,District,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto theft,Theft - Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Goa,North Goa,22,8,3,22,0,22,8,8,0,5,0,12,180,273,79,194,34,32,70,2,14,101,1,11,4,9,0,87,432,1330
Goa,South Goa,12,17,3,9,0,9,6,5,1,0,0,9,77,191,53,138,13,28,36,1,4,97,1,8,3,15,0,77,307,914
Goa,Total,34,25,6,31,0,31,14,13,1,5,0,21,257,464,132,332,47,60,106,3,18,198,2,19,7,24,0,164,739,2244
Gujarat,Ahmedabad Commr.,90,68,3,18,0,18,157,96,61,31,6,365,959,5377,2287,3090,212,294,394,6,10,1371,3,50,30,595,0,173,5987,16199
Gujarat,Ahmedabad Rural,38,11,1,3,0,3,18,13,5,15,0,21,97,249,70,179,54,50,22,6,8,357,1,18,0,61,0,216,1392,2638
Gujarat,Ahwa-dang,6,1,0,0,0,0,0,0,0,1,0,2,2,5,0,5,4,2,0,3,1,19,0,2,0,3,0,10,43,104
Gujarat,Amreli,19,11,0,6,0,6,28,28,0,0,0,26,88,164,50,114,27,30,16,19,8,328,0,24,1,98,0,80,967,1940
Gujarat,Anand,28,21,2,5,0,5,36,32,4,10,1,19,170,432,129,303,40,60,65,9,13,518,0,24,3,130,0,194,1732,3512
Gujarat,Bharuch,43,9,0,5,0,5,28,25,3,11,0,31,120,470,178,292,27,101,37,7,26,359,0,19,1,69,0,184,1246,2793
Gujarat,Bhavnagar,57,36,0,5,0,5,70,55,15,15,0,39,304,611,245,366,116,118,95,15,35,119,6,36,11,126,0,10,2991,4815
Gujarat,Dahod,43,7,0,0,0,0,19,19,0,26,1,69,88,122,49,73,37,18,2,8,39,275,0,22,0,15,0,0,746,1537
Gujarat,Gandhinagar,23,12,0,0,0,0,34,28,6,5,0,64,157,617,231,386,66,27,32,7,13,332,2,25,2,113,0,184,1665,3380
Gujarat,Himatnagar,42,12,1,6,0,6,44,44,0,14,0,30,200,331,79,252,58,64,70,16,23,339,2,47,1,160,0,191,2531,4182
Gujarat,Jamnagar,34,19,1,10,0,10,27,21,6,2,0,19,232,388,129,259,40,33,34,15,29,342,0,20,0,150,0,0,1830,3225
Gujarat,Junagadh,52,20,0,13,0,13,47,41,6,14,0,37,243,628,174,454,95,64,104,14,39,449,6,40,8,312,0,158,2489,4832
Gujarat,Kheda North,46,13,2,11,0,11,49,46,3,11,0,18,149,366,80,286,42,85,72,18,16,431,0,27,0,125,0,203,1943,3627
Gujarat,Kutch,30,22,2,7,0,7,25,23,2,12,0,29,240,285,100,185,57,18,47,5,16,425,0,26,4,165,0,196,1661,3272
Gujarat,Mehsana,37,31,0,7,0,7,57,52,5,13,2,53,251,699,147,552,93,53,91,8,16,1166,0,34,1,207,0,122,1848,4789
Gujarat,Narmada,13,1,0,4,0,4,3,3,0,4,0,0,21,32,3,29,9,15,3,0,4,83,0,4,0,7,0,35,239,477
Gujarat,Navsari,26,7,0,2,0,2,10,9,1,4,0,7,86,138,57,81,16,50,24,6,1,105,0,6,0,15,0,0,899,1402
Gujarat,Palanpur,38,20,1,20,0,20,42,39,3,6,0,44,234,331,59,272,77,39,98,16,18,1267,0,47,1,135,0,125,1229,3788
Gujarat,Panchmahal,45,8,1,11,0,11,31,31,0,35,0,25,109,337,76,261,51,38,24,8,37,338,0,34,2,74,0,0,984,2192
Gujarat,Patan,17,11,1,2,0,2,15,15,0,3,0,9,99,232,37,195,64,50,38,6,9,361,0,21,0,112,0,70,1237,2357
Gujarat,Porbandar,8,6,1,1,0,1,7,5,2,0,0,2,35,78,31,47,14,67,15,4,2,100,0,7,1,44,0,33,533,958
Gujarat,Rajkot Commr.,37,12,1,5,0,5,34,30,4,7,0,51,350,1525,655,870,98,38,77,10,16,357,5,8,13,158,0,87,1913,4802
Gujarat,Rajkot Rural,38,23,1,14,0,14,48,38,10,9,0,34,210,457,111,346,78,61,11,8,47,432,4,35,4,174,0,206,2425,4319
Gujarat,Surat Commr.,75,16,5,25,0,25,62,40,22,16,3,57,388,1749,1192,557,64,54,239,21,7,428,19,17,2,126,0,234,794,4401
