SI.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt /Grievous Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband or Relatives,Others IPC Crimes,Total Cognizable Crimes Under IPC
32,Orissa,Sundargarh,87,39,32,32,6,6,0,14,0,26,116,140,65,4,5,0,8,398,0,36,3,6,489,1506
33,Orissa,SRP(Cuttack),5,4,0,1,2,2,0,4,0,12,19,310,11,3,8,0,0,48,0,8,3,2,66,506
34,Orissa,SRP(Rourkela),5,2,0,2,0,0,0,8,0,11,31,258,3,0,2,0,0,21,0,7,0,0,104,454
Orissa,Orissa,Total,1005,1134,90,679,531,507,24,263,17,1039,3969,7029,2129,356,465,3,578,4856,240,1586,234,935,24221,51359
1,Punjab,Amritsar,47,11,8,12,20,15,5,0,2,3,81,141,0,15,31,2,8,97,8,6,0,18,312,822
2,Punjab,Barnala,22,5,0,3,4,1,3,0,0,0,15,20,0,6,10,0,1,47,6,5,0,12,108,264
3,Punjab,Batala,26,11,1,14,13,9,4,1,2,0,39,61,0,13,38,1,2,112,5,12,0,7,186,544
4,Punjab,Bhatinda,40,29,3,8,9,2,7,1,0,3,67,73,1,10,26,0,1,200,7,15,0,12,115,620
5,Punjab,Faridkot,10,7,2,10,2,1,1,0,1,0,16,45,0,6,18,0,1,81,4,5,0,7,78,293
6,Punjab,Fatehgarh Sahib,16,4,2,0,4,3,1,0,0,0,11,27,0,4,16,0,0,41,3,0,0,0,180,308
7,Punjab,Ferozepur,64,28,6,13,16,13,3,1,1,2,66,126,7,15,55,0,6,378,11,5,0,13,199,1012
8,Punjab,Gurdapur,20,12,2,11,9,6,3,0,0,0,16,38,0,9,24,1,0,75,19,4,0,5,113,358
9,Punjab,Hoshiarpur,37,18,2,17,18,9,9,4,1,3,78,103,0,7,98,0,4,190,12,10,0,17,334,953
10,Punjab,Jagraon,23,8,7,4,3,2,1,1,0,1,21,45,0,6,24,0,1,85,3,4,0,4,116,356
11,Punjab,Jalandhar,68,45,5,17,26,18,8,1,1,9,239,246,0,16,201,1,5,296,26,16,0,18,573,1809
12,Punjab,Kapurthala,18,20,3,11,11,6,5,1,1,2,42,58,0,8,45,0,6,123,7,12,0,16,217,601
13,Punjab,Khanna,16,4,1,5,13,6,7,2,1,0,46,64,0,7,40,0,1,74,3,6,0,15,262,560
14,Punjab,Ludhiana,59,28,7,10,51,31,20,11,4,9,156,329,3,20,99,1,1,148,12,7,0,40,581,1576
15,Punjab,Majitha,40,13,0,2,11,5,6,1,0,0,20,21,0,5,19,0,0,51,1,4,0,2,136,326
16,Punjab,Mansa,25,18,1,9,6,4,2,0,0,0,28,33,0,3,31,0,2,122,4,6,0,2,87,377
17,Punjab,Moga,28,23,1,1,12,10,2,1,0,0,38,35,0,8,35,0,0,116,7,5,0,5,101,416
18,Punjab,Muktsar,21,10,1,2,1,0,1,3,3,0,29,28,0,13,13,0,0,98,6,3,1,1,60,293
19,Punjab,Nawan Shahr,15,10,2,7,8,3,5,0,0,0,29,32,0,2,18,0,1,64,2,0,0,3,109,302
20,Punjab,Patiala,45,25,17,10,20,12,8,0,0,0,78,113,0,6,35,1,4,177,13,11,0,11,621,1187
21,Punjab,Ropar,27,7,3,5,12,7,5,0,0,1,45,72,0,14,50,0,5,82,12,10,0,7,390,742
22,Punjab,Sangrur,43,19,6,7,11,6,5,0,0,0,52,53,0,24,31,0,0,116,12,6,0,12,231,623
23,Punjab,Taran Taran,28,21,3,6,4,2,2,1,0,1,26,31,0,3,25,0,2,88,1,5,0,8,172,425
24,Punjab,G.R.P.,17,1,1,0,0,0,0,3,0,1,0,31,0,0,15,1,0,7,1,1,0,0,223,302
Punjab,Punjab,Total,755,377,84,184,284,171,113,32,17,35,1238,1825,11,220,997,8,51,2868,185,158,1,235,5504,15069
1,Rajasthan,Ajmer,44,135,12,26,120,120,0,10,0,58,417,694,505,75,374,7,20,584,8,107,4,211,3626,7037
2,Rajasthan,Alwer,104,96,5,46,119,72,47,5,1,51,354,978,1225,37,304,5,63,130,33,88,0,160,3860,7664
3,Rajasthan,Banswara,26,43,2,102,105,100,5,4,2,49,118,149,965,7,49,3,67,35,6,179,2,155,2782,4850
4,Rajasthan,Baran,47,154,4,63,118,118,0,2,0,74,294,389,417,25,127,6,51,189,4,189,0,111,2134,4398
5,Rajasthan,Barmer,16,28,0,13,27,19,8,0,0,17,114,206,97,14,70,6,14,31,1,53,0,29,1610,2346
6,Rajasthan,Bharatpur,82,83,0,57,122,82,40,8,3,58,153,868,1041,38,233,11,69,8,27,42,0,153,3894,6950
7,Rajasthan,Bhilwara,27,29,2,61,191,191,0,6,0,46,446,617,747,24,314,13,33,152,10,119,0,210,3477,6524
8,Rajasthan,Bikaner,41,144,2,35,32,32,0,8,0,5,207,388,233,11,143,20,20,99,12,65,0,142,2564,4171
9,Rajasthan,Bundi,34,135,2,56,127,107,20,14,0,81,287,385,392,29,95,2,32,70,2,128,2,131,2577,4581
10,Rajasthan,Chittorgarh,61,39,5,70,245,201,44,9,0,61,586,787,888,17,322,3,71,2802,3,143,9,207,1145,7473
11,Rajasthan,Churu,41,44,2,34,23,14,9,6,0,10,202,276,331,10,132,3,29,492,11,89,0,137,1652,3524
12,Rajasthan,Dausa,29,24,0,33,54,26,28,4,0,15,203,404,1214,14,92,5,18,129,12,33,0,39,1370,3692
13,Rajasthan,Dholpur,56,94,0,21,52,36,16,1,3,27,74,412,727,23,66,3,26,29,20,40,0,76,1762,3512
14,Rajasthan,Dungarpur,30,18,1,30,26,26,0,2,0,21,66,60,350,3,24,2,26,301,4,60,0,41,1081,2146
15,Rajasthan,Ganganagar,105,141,1,55,87,70,17,4,0,15,330,502,343,51,427,5,26,785,20,156,0,418,3078,6549
16,Rajasthan,Hanumangarh,66,116,2,27,49,40,9,0,0,17,181,268,319,35,180,0,27,598,19,94,0,212,1638,3848
17,Rajasthan,Jaipur,114,144,6,66,277,200,77,14,1,103,1312,3873,3354,156,954,176,54,1060,31,152,0,327,8118,20292
18,Rajasthan,Jaisalmer,4,0,0,7,3,2,1,0,0,6,60,130,73,1,22,5,5,38,2,36,0,10,541,943
19,Rajasthan,Jalore,15,29,0,12,35,25,10,3,0,25,79,127,123,7,99,5,43,62,8,54,0,59,1712,2497
20,Rajasthan,Jhalawar,57,99,1,91,103,103,0,7,0,97,439,451,504,12,91,6,84,155,6,155,6,183,2173,4720
21,Rajasthan,Jhunjhunu,53,36,5,24,48,29,19,4,0,8,186,338,726,17,112,20,25,1556,18,32,0,73,717,3998
22,Rajasthan,Jodhpur,38,50,1,26,78,61,17,1,0,28,274,543,180,51,349,29,40,2122,19,78,2,269,1872,6050
23,Rajasthan,Karauli,39,22,0,26,61,31,30,1,0,28,123,358,973,5,103,2,17,55,5,40,0,26,1360,3244
24,Rajasthan,Kota,71,392,5,77,211,205,6,8,0,135,717,1318,615,45,277,18,50,343,9,195,9,273,3710,8478
25,Rajasthan,Nagaur,63,29,0,34,52,43,9,4,0,31,204,298,385,13,177,4,12,14,12,53,0,74,3201,4660
26,Rajasthan,Pali,48,57,5,17,77,65,12,5,1,40,209,262,329,31,170,12,27,114,13,62,0,136,2809,4424
27,Rajasthan,Rajsamand,16,6,0,19,84,84,0,4,0,24,163,257,340,8,119,6,24,442,4,24,0,88,1797,3425
28,Rajasthan,Sawal Madhopur,25,21,2,23,56,41,15,1,0,19,117,341,719,8,99,1,11,0,6,39,0,46,1457,2991
29,Rajasthan,Sikar,55,29,0,14,52,22,30,1,0,13,283,472,1564,26,207,10,68,1083,13,77,0,79,1145,5191
30,Rajasthan,Sirohi,35,16,1,15,37,37,0,2,0,16,131,159,140,8,27,3,17,38,2,22,0,36,1504,2209
31,Rajasthan,Tonk,26,33,4,20,74,60,14,3,0,12,133,311,703,21,114,3,23,52,6,97,2,41,2204,3882
32,Rajasthan,Udaipur,81,99,6,54,171,144,27,8,0,137,573,703,1032,57,293,19,69,222,10,99,2,151,4502,8288
33,Rajasthan,G.R.P,9,10,0,1,4,3,1,0,0,20,5,498,11,3,7,10,0,10,0,15,0,1,308,912
Rajasthan,Rajasthan,Total,1558,2395,76,1255,2920,2409,511,149,11,1347,9040,17822,21565,882,6172,423,1161,13800,356,2815,38,4304,77380,165469
1,Sikkam,East,7,4,1,4,3,3,0,0,0,8,42,54,28,10,26,0,0,61,0,21,0,0,66,335
2,Sikkam,North,0,0,0,0,0,0,0,0,0,0,0,12,3,0,1,0,0,7,0,0,0,1,9,33
3,Sikkam,South,4,2,1,1,2,2,0,0,0,1,5,25,17,1,3,0,0,15,0,3,0,0,45,125
4,Sikkam,West,4,3,0,2,4,4,0,0,0,0,9,21,19,1,2,0,3,13,0,8,1,0,40,130
Sikkam,Sikkam,Total,15,9,2,7,9,9,0,0,0,9,56,112,67,12,32,0,3,96,0,32,1,1,160,623
1,Tamil Nadu,Chengai,63,75,0,10,25,25,0,8,0,39,363,1004,61,20,33,2,0,498,16,30,161,29,2946,5383
2,Tamil Nadu,Chennai,90,255,1,12,30,30,0,18,0,127,696,3047,113,211,621,76,0,559,9,15,0,66,1661,7607
3,Tamil Nadu,Coimbatore Rural,75,52,0,18,42,30,12,9,1,39,393,1109,629,19,32,13,36,541,8,68,17,38,4185,7324
4,Tamil Nadu,Coimbatore Urban,44,25,0,2,14,3,11,0,0,12,196,964,190,27,76,17,278,124,15,2,219,9,2149,4363
5,Tamil Nadu,Cuddalore,59,88,3,8,36,36,0,4,0,9,215,864,583,11,18,7,84,131,8,95,29,26,4778,7056
6,Tamil Nadu,Dharmapuri,95,76,1,11,51,51,0,9,0,25,249,473,400,11,17,6,67,810,5,51,5,6,2299,4667
7,Tamil Nadu,Dindigul,64,75,0,7,36,36,0,11,0,12,186,556,88,6,28,5,0,366,4,51,15,13,2687,4210
8,Tamil Nadu,Erode,83,34,0,7,46,28,18,8,0,25,240,1039,101,6,35,8,45,593,6,49,10,14,3752,6101
9,Tamil Nadu,Kancheepuram,45,35,0,14,30,30,0,1,0,11,99,351,190,16,29,1,44,1347,5,23,2,9,3007,5259
10,Tamil Nadu,Kanyakummari,63,41,0,12,13,8,5,4,0,15,354,402,49,3,35,3,93,687,0,19,6,14,2518,4331
11,Tamil Nadu,Karur,23,17,0,7,26,26,0,1,0,1,58,261,60,10,10,1,10,136,1,13,1,14,765,1415
12,Tamil Nadu,Madurai Rural,73,74,4,18,39,32,7,10,0,24,186,420,256,6,50,3,81,1468,7,46,2,11,1458,4236
13,Tamil Nadu,Madurai Urban,31,50,0,5,21,21,0,14,0,49,188,1052,67,18,46,16,13,197,7,6,30,14,1873,3697
14,Tamil Nadu,Nagapattinam,46,43,0,17,35,26,9,2,0,4,152,406,84,15,17,1,68,1172,3,56,1,4,1998,4124
15,Tamil Nadu,Namakkal,49,20,0,4,19,19,0,2,0,14,132,256,150,3,9,1,10,376,2,16,5,12,1296,2376
16,Tamil Nadu,Perambalur,36,40,0,5,35,35,0,10,0,7,54,246,150,8,15,2,36,419,0,40,3,7,1142,2255
17,Tamil Nadu,Pudukottai,28,62,0,8,46,30,16,1,0,7,125,283,196,22,43,1,24,255,2,43,12,0,1623,2781
18,Tamil Nadu,Ramnathapurram,48,58,0,12,28,28,0,3,0,6,100,161,285,3,12,1,66,544,2,55,136,21,1390,2931
19,Tamil Nadu,Salem Rural,104,39,2,12,53,53,0,3,0,12,137,331,221,8,5,6,44,543,7,29,242,10,2014,3822
20,Tamil Nadu,Salem Urban,24,44,0,1,14,14,0,3,0,25,155,653,46,8,22,10,7,192,1,5,1,4,738,1953
21,Tamil Nadu,Sivagangai,32,50,0,5,32,24,8,4,0,5,137,299,81,6,20,3,30,838,1,40,9,8,947,2547
22,Tamil Nadu,Thanjiavur,58,84,0,8,28,28,0,1,0,16,174,576,126,12,29,10,49,574,1,62,345,1,1483,3637
23,Tamil Nadu,The Nilgiris,15,2,0,5,0,0,0,0,0,3,108,134,35,12,0,0,0,187,2,15,0,3,860,1381
24,Tamil Nadu,Theni,28,52,2,8,15,15,0,14,0,24,95,256,207,5,29,5,59,585,0,27,2,0,725,2138
25,Tamil Nadu,Thirunel Veli Rural,135,114,1,22,41,34,7,4,0,21,176,416,47,6,18,1,146,849,3,118,12,8,3537,5675
26,Tamil Nadu,Thirunel Veli Urban,36,24,0,0,16,11,5,0,0,36,67,325,51,8,12,7,12,93,0,4,1,0,497,1189
27,Tamil Nadu,Thiruvannamalal,37,30,1,5,25,25,0,1,0,9,104,350,356,4,27,1,70,1306,2,38,21,8,1786,4181
28,Tamil Nadu,Thiruvarur,30,36,2,6,18,18,0,0,0,0,110,195,100,1,11,0,27,1180,0,56,0,0,1130,2902
29,Tamil Nadu,Thoothugudi,122,136,1,6,66,66,0,3,0,48,241,472,300,22,36,2,71,590,2,64,12,14,3216,5424
30,Tamil Nadu,Tiruvalluvar,31,28,0,7,14,14,0,8,0,7,74,308,190,9,7,0,28,354,4,32,164,8,1039,2312
31,Tamil Nadu,Trichy Rural,46,26,0,6,39,39,0,2,0,9,127,298,156,7,20,3,34,1198,0,34,6,7,840,2858
32,Tamil Nadu,Trichy Urban,26,41,0,1,19,19,0,0,0,14,140,495,62,9,63,5,5,615,1,8,0,0,851,2355
33,Tamil Nadu,Vellore,86,63,2,19,80,60,20,15,0,36,537,1090,725,30,85,19,68,2582,12,105,61,9,2634,8258
34,Tamil Nadu,Villupuram,79,110,1,29,54,54,0,34,0,11,182,505,613,11,18,5,80,899,10,88,0,31,4078,6838
35,Tamil Nadu,Virudhunagar,81,74,6,7,30,21,9,4,0,9,132,289,438,9,35,4,99,489,7,56,2,6,1857,3634
36,Tamil Nadu,Madras Rly.,0,0,0,0,0,0,0,1,0,12,2,254,8,8,3,0,0,24,0,0,0,0,138,450
37,Tamil Nadu,Trichy Rly.,2,2,0,0,0,0,0,0,0,3,3,68,12,0,0,0,0,11,0,2,0,0,94,197
Tamil Nadu,Tamil Nadu,Total,1987,2075,27,324,1116,989,127,212,1,726,6687,20208,7426,590,1566,245,1784,23332,153,1461,1532,424,69991,141867
1,Tripura,Dhalal,21,0,0,7,17,7,10,3,0,8,24,12,53,3,0,0,5,14,1,9,0,12,85,274
2,Tripura,North,33,10,0,29,23,13,10,7,0,24,63,74,71,11,5,0,15,87,1,30,0,38,123,644
3,Tripura,South,39,9,2,32,44,19,25,20,0,39,97,82,27,6,1,0,29,179,2,25,0,32,243,908
4,Tripura,West,140,16,0,30,43,17,26,31,0,40,139,279,78,6,11,0,50,232,5,29,0,37,452,1618
Tripura,Tripura,Total,233,35,2,98,127,56,71,61,0,111,323,447,229,26,17,0,99,512,9,93,0,119,903,3444
1,Uttar Pradesh,Agra,142,142,25,32,141,95,46,38,2,125,277,908,169,107,86,1,23,410,55,63,0,120,1632,4498
2,Uttar Pradesh,Aligarh,206,163,16,51,102,70,32,37,3,137,185,568,165,79,47,1,21,323,39,68,0,97,940,3248
3,Uttar Pradesh,Allahabad,172,185,34,21,80,63,17,21,3,170,389,808,202,96,479,2,54,852,62,51,1,132,1565,5379
4,Uttar Pradesh,Almora,10,16,4,2,6,0,6,0,0,12,21,68,11,11,4,0,6,39,1,4,0,11,96,322
5,Uttar Pradesh,Ambedkar Nagar,42,66,13,11,16,15,1,7,2,21,81,143,62,10,43,0,18,181,7,14,0,44,311,1092
6,Uttar Pradesh,Azamgarh,124,121,36,12,35,8,27,5,0,89,189,288,87,10,24,1,29,102,35,11,0,19,703,1920
7,Uttar Pradesh,Badaun,265,231,40,47,118,53,65,22,4,118,135,403,100,51,30,1,44,347,37,53,0,52,979,3077
8,Uttar Pradesh,Bageshwar,4,0,1,2,11,11,0,0,0,8,18,14,2,6,1,0,0,11,0,2,0,0,20,100
9,Uttar Pradesh,Baghpat,118,75,4,12,28,12,16,6,1,37,37,146,51,25,18,0,65,164,14,16,0,42,175,1034
10,Uttar Pradesh,Bahraich,51,50,22,10,45,41,4,9,0,31,147,260,55,21,26,0,16,157,14,18,0,19,462,1413
11,Uttar Pradesh,Ballia,49,61,18,13,20,13,7,18,0,18,178,264,129,40,22,2,29,250,18,18,0,20,555,1722
12,Uttar Pradesh,Balrampur,23,24,7,3,7,6,1,5,0,7,57,108,20,9,11,1,0,111,3,10,0,5,271,682
13,Uttar Pradesh,Banda,55,42,30,10,14,11,3,2,1,23,92,103,53,15,28,0,11,58,19,24,3,15,572,1170
14,Uttar Pradesh,Barabanki,109,88,16,35,47,46,1,17,3,60,129,266,50,60,10,0,18,270,37,22,0,75,675,1987
15,Uttar Pradesh,Bareily,232,173,34,59,123,96,27,20,0,136,248,788,113,86,103,1,23,802,49,65,1,155,1038,4249
16,Uttar Pradesh,Basti,40,52,13,10,26,24,2,10,2,25,96,129,71,23,27,0,19,138,16,8,0,8,520,1233
17,Uttar Pradesh,Bhadoi,25,20,9,2,7,4,3,8,3,13,49,116,28,13,15,1,3,85,10,0,0,8,211,626
18,Uttar Pradesh,Bijnor,134,100,32,22,58,39,19,9,1,70,114,301,49,25,49,0,12,22,22,35,0,63,714,1832
19,Uttar Pradesh,Bulandshahr,233,236,22,37,72,41,31,15,0,102,171,500,107,61,48,4,17,434,35,39,0,98,653,2884
20,Uttar Pradesh,Chamoli,9,7,2,2,2,2,0,0,0,0,26,32,26,8,4,0,0,20,2,10,0,14,64,228
21,Uttar Pradesh,Champawat,4,0,1,1,1,1,0,0,0,2,8,11,2,0,0,0,0,19,0,8,0,2,26,85
22,Uttar Pradesh,Chandoli,42,46,9,2,11,4,7,1,1,17,51,92,23,21,22,0,0,70,12,6,0,15,211,652
23,Uttar Pradesh,Chitrakoot Dham,25,13,15,8,6,5,1,1,0,5,28,32,7,4,13,0,4,30,6,15,0,4,167,383
24,Uttar Pradesh,Dehradun,37,37,11,13,45,40,5,5,0,26,112,279,54,41,70,0,3,70,4,16,0,47,525,1395
25,Uttar Pradesh,Deoria,59,94,14,3,29,16,13,13,1,32,172,222,96,33,31,3,21,307,15,18,1,20,602,1786
26,Uttar Pradesh,Etah,228,251,38,37,92,35,57,33,0,64,128,279,148,38,53,0,28,350,47,39,0,55,843,2751
27,Uttar Pradesh,Etawah,102,73,10,16,77,26,51,15,0,57,67,161,77,34,23,0,16,210,32,20,0,25,550,1565
28,Uttar Pradesh,Faizabad,62,70,11,16,41,34,7,16,16,42,148,273,84,104,0,1,35,211,12,13,24,52,884,2115
29,Uttar Pradesh,Fathegarh,118,89,29,19,47,29,18,10,0,31,63,151,52,30,21,0,23,373,39,26,0,37,256,1414
30,Uttar Pradesh,Fatehpur,144,88,40,29,41,25,16,22,1,63,160,240,49,21,45,0,19,334,36,25,0,29,579,1965
31,Uttar Pradesh,Firozabad,117,138,20,19,92,42,50,22,5,66,110,260,108,40,20,1,16,289,41,33,0,42,756,2195
32,Uttar Pradesh,Gautambudh Nagar,89,98,12,26,40,21,19,4,2,67,102,708,76,35,56,0,22,60,12,18,0,19,666,2112
33,Uttar Pradesh,Ghaziabad,268,267,22,39,116,84,32,26,0,145,275,1333,104,98,121,6,31,90,34,58,0,113,1734,4880
34,Uttar Pradesh,Ghazipur,55,43,20,7,10,4,6,8,1,34,107,164,83,2,1,0,6,174,12,13,0,14,460,1214
35,Uttar Pradesh,Gonda,82,60,16,13,24,24,0,8,3,42,145,266,60,22,49,1,34,246,26,24,0,43,615,1779
36,Uttar Pradesh,Gorakhpur,112,133,37,16,69,55,14,19,5,127,343,498,164,94,83,3,8,468,13,28,0,34,1440,3694
37,Uttar Pradesh,Hamirpur,53,25,13,6,21,5,16,1,0,18,49,71,18,16,16,1,5,79,15,20,8,14,256,705
38,Uttar Pradesh,Hardoi,166,147,27,57,62,57,5,33,8,88,130,360,95,69,44,0,6,286,47,74,0,45,1459,3203
39,Uttar Pradesh,Haridwar,72,65,24,16,52,33,19,3,0,58,91,313,49,34,41,0,2,101,7,16,0,37,458,1439
40,Uttar Pradesh,J.P.Nagar,107,86,11,20,48,32,16,5,0,58,46,160,40,20,15,0,10,65,9,28,0,28,496,1252
41,Uttar Pradesh,Jalaun,71,31,8,7,49,16,33,8,0,36,90,130,36,24,22,0,26,91,25,20,0,24,480,1178
42,Uttar Pradesh,Jaunpur,42,98,28,12,29,23,6,10,0,39,147,204,112,14,33,5,35,322,36,22,0,52,817,2057
43,Uttar Pradesh,Jhansi,99,39,18,11,19,11,8,10,1,44,108,251,48,14,19,0,17,251,12,28,5,31,615,1640
44,Uttar Pradesh,Kannauj,87,56,9,7,36,14,22,13,1,17,51,52,35,16,15,0,1,184,23,9,0,24,331,967
45,Uttar Pradesh,Kanpur Dehat,88,49,19,13,47,31,16,23,0,30,94,208,55,33,25,0,33,37,44,32,1,54,643,1528
46,Uttar Pradesh,Kanpur Nagar,223,154,43,37,193,140,53,46,6,199,465,1309,191,234,275,0,20,718,77,68,0,229,1779,6266
47,Uttar Pradesh,Kaushambi,88,51,14,23,22,18,4,5,1,22,99,89,30,12,14,0,7,154,14,17,0,14,371,1047
48,Uttar Pradesh,khiri,155,128,14,32,79,59,20,22,5,88,172,425,71,46,61,0,48,391,49,41,29,51,561,2468
49,Uttar Pradesh,Kushi Nagar,47,53,20,8,25,18,7,19,0,34,105,173,94,18,24,2,23,320,16,26,0,13,459,1479
50,Uttar Pradesh,Lalitpur,23,11,4,8,6,3,3,4,1,7,45,92,24,8,14,0,6,29,7,29,0,6,355,679
51,Uttar Pradesh,Lucknow,209,210,29,44,150,132,18,20,2,154,506,2113,191,254,269,3,19,183,37,51,1,153,2667,7265
52,Uttar Pradesh,MahaMaya Nagar,88,89,4,15,56,41,15,21,0,55,89,197,83,27,20,0,3,179,16,19,0,47,471,1479
53,Uttar Pradesh,Maharajganj,32,28,9,3,12,9,3,7,4,11,29,56,38,16,23,0,3,105,4,4,0,10,280,674
54,Uttar Pradesh,Mahoba,40,17,10,4,5,3,2,4,0,5,28,45,11,5,7,0,1,87,5,20,0,1,104,399
55,Uttar Pradesh,Mainpuri,113,95,24,11,63,20,43,17,0,71,75,230,67,28,40,0,4,274,43,23,0,21,612,1811
56,Uttar Pradesh,Mathura,119,129,16,28,57,34,23,21,0,98,148,321,139,48,64,0,11,132,29,31,0,55,894,2340
57,Uttar Pradesh,Mau,39,43,8,6,13,11,2,5,1,28,99,114,57,13,27,0,14,103,9,11,0,22,345,957
58,Uttar Pradesh,Meerut,239,284,23,41,115,66,49,17,4,160,262,1113,177,91,137,2,24,455,43,46,0,223,1085,4541
59,Uttar Pradesh,Mirzapur,43,52,19,2,15,10,5,9,0,26,77,172,23,17,13,0,10,75,18,4,14,9,343,941
60,Uttar Pradesh,Moradabad,196,185,34,31,87,68,19,25,1,91,199,546,92,49,52,1,6,123,23,60,8,98,1141,3048
61,Uttar Pradesh,Muzaffaranagar,302,180,26,26,119,54,65,23,0,164,104,505,112,68,51,0,0,14,30,26,0,116,1050,2916
62,Uttar Pradesh,Nainital,28,20,8,3,8,6,2,1,1,22,53,151,20,13,10,0,1,56,4,16,0,7,210,632
63,Uttar Pradesh,Oria,47,59,16,9,45,23,22,17,0,34,50,101,49,19,11,0,9,159,21,16,0,24,476,1162
64,Uttar Pradesh,Pauri Garhwal,27,5,1,3,11,9,2,3,0,14,23,74,9,2,6,0,3,13,0,0,0,6,162,362
65,Uttar Pradesh,Pilibhit,90,68,23,27,35,30,5,8,1,40,50,186,23,25,27,1,12,50,20,23,0,47,535,1291
66,Uttar Pradesh,Pathoragarh,13,9,4,5,6,6,0,0,0,9,36,62,15,8,6,1,6,48,2,12,0,14,143,399
67,Uttar Pradesh,Pratapgarh,76,90,27,14,28,24,4,6,1,46,103,167,76,33,37,0,24,314,19,15,0,38,729,1843
68,Uttar Pradesh,Raibareilly,74,103,27,29,36,36,0,8,0,47,176,295,66,33,75,0,16,261,33,28,0,35,682,2024
69,Uttar Pradesh,Rampur,98,109,53,16,36,31,5,16,6,61,79,218,28,19,42,0,9,246,13,22,0,34,429,1534
70,Uttar Pradesh,Rudra Prayag,3,1,1,0,3,3,0,2,0,0,21,8,5,2,1,0,0,3,3,4,0,1,19,77
71,Uttar Pradesh,Saharanpur,149,122,22,26,59,34,25,11,13,62,94,392,61,34,28,0,5,55,18,12,0,28,732,1923
72,Uttar Pradesh,Sant Kabirnagar,16,24,2,3,10,8,2,4,1,17,51,41,20,7,14,0,10,86,1,6,0,4,163,480
73,Uttar Pradesh,Shahjahanpur,130,126,34,30,57,36,21,9,0,54,94,240,55,31,41,3,13,460,18,21,0,24,537,1977
74,Uttar Pradesh,Shrawasti,25,19,5,9,9,9,0,2,0,12,53,87,15,8,6,0,3,72,5,7,0,8,209,554
75,Uttar Pradesh,Sidharthnagar,25,24,8,14,26,26,0,13,0,16,84,161,40,27,23,2,5,141,16,24,0,13,391,1053
76,Uttar Pradesh,Sitapur,158,131,46,54,55,47,8,12,0,61,152,380,72,40,44,0,28,241,53,38,0,26,970,2561
77,Uttar Pradesh,Sonbhadra,21,14,8,4,9,7,2,3,0,0,33,81,15,11,12,1,3,51,5,4,0,6,204,485
78,Uttar Pradesh,Sultanpur,66,108,22,18,31,25,6,9,3,41,168,285,34,39,45,0,31,307,20,27,0,48,775,2077
79,Uttar Pradesh,Tehri Garhwal,15,18,5,6,6,6,0,1,0,13,55,48,27,13,5,0,3,21,5,11,0,6,107,365
80,Uttar Pradesh,Udhamsingh Nagar,61,45,16,7,42,12,30,9,0,46,63,232,48,28,21,0,0,136,3,21,0,15,456,1249
81,Uttar Pradesh,Unnao,167,101,22,34,56,39,17,16,3,63,186,277,97,38,39,1,23,305,45,60,0,59,1078,2670
82,Uttar Pradesh,Uttarkashi,8,12,2,3,3,3,0,0,0,3,42,43,10,12,5,0,4,11,0,19,0,5,93,275
83,Uttar Pradesh,Varanasi,103,104,20,13,51,26,25,16,1,93,183,561,105,47,60,4,17,117,28,4,9,20,849,2405
84,Uttar Pradesh,G.R.P,28,17,7,5,13,11,2,21,6,81,7,3310,20,56,45,0,2,7,0,17,0,0,779,4421
Uttar Pradesh,Uttar Pradesh,Total,7756,6986,1516,1457,3714,2460,1254,1010,131,4458,9822,27831,5535,3092,3607,57,1235,15995,1786,2023,105,3393,51270,152779
1,West Bengal,24 Parganas North,181,40,39,87,99,82,17,34,42,75,107,2189,616,73,90,3,6,364,26,129,2,575,2144,6921
2,West Bengal,24 Parganas South,227,15,65,79,96,89,7,57,13,121,72,2184,632,28,15,2,4,78,42,116,0,560,1737,6143
3,West Bengal,Bankura,42,7,9,23,10,10,0,14,0,39,9,218,103,0,1,0,4,0,21,38,0,71,512,1121
4,West Bengal,Birbhum,64,34,23,43,32,27,5,11,9,18,11,331,359,11,28,0,10,46,3,63,1,180,774,2051
5,West Bengal,Burdwan,166,34,46,48,73,73,0,25,40,40,41,1214,358,12,75,4,8,127,36,123,3,246,2600,5319
6,West Bengal,Calcutta,84,143,12,28,113,92,21,52,66,207,144,4728,347,207,598,43,4,1203,6,119,53,134,2983,11274
7,West Bengal,Coochbehar,31,6,12,37,29,24,5,11,0,6,19,119,43,8,21,5,11,142,4,52,0,115,402,1073
8,West Bengal,Dakshin Dinajpur,38,2,20,21,38,26,12,2,3,11,11,333,76,4,6,0,2,51,4,42,0,51,509,1224
9,West Bengal,Darjeeling,68,7,24,17,22,22,0,9,2,28,12,505,66,0,6,0,6,466,2,39,0,35,465,1779
10,West Bengal,Hooghly,94,37,34,39,59,59,0,34,41,47,44,938,500,20,43,0,0,359,19,80,0,399,1158,3945
11,West Bengal,Howrah,53,1,23,11,28,24,4,20,26,24,30,921,11247,6,13,1,0,201,14,36,0,110,1231,2996
