SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
18,Karnataka,Mandya,61,17,5,7,3,3,0,8,0,7,452,338,243,8,26,5,4841,6021
19,Karnataka,Mysore Commr.,38,13,0,1,17,5,12,1,0,49,295,994,878,15,30,2,1481,3814
20,Karnataka,Mysore Rural,65,16,4,10,14,14,0,153,0,8,465,865,352,7,12,16,2136,4123
21,Karnataka,Raichur,66,25,2,6,22,17,5,15,0,13,166,220,477,11,46,3,2156,3228
22,Karnataka,Shimoga,44,10,3,9,13,10,3,6,0,13,304,316,249,13,33,12,1861,2886
23,Karnataka,Tumkur,68,14,2,7,14,8,6,16,0,5,466,476,324,22,28,0,2014,3456
24,Karnataka,Railways,18,0,1,0,0,0,0,0,0,6,6,136,12,0,3,1,115,298
25,Karnataka,Total,1465,535,76,175,431,277,154,499,3,585,8847,16696,10191,618,1485,2200,55873,99679
1,Kerala,Alappuzha,21,14,8,9,9,9,0,1,0,1,243,287,344,24,69,3,4297,5330
2,Kerala,CB CID,25,0,3,1,0,0,0,5,0,2,16,7,6,5,72,90,64,296
3,Kerala,Idukki,44,15,2,9,11,6,5,0,0,6,43,136,251,15,29,0,2220,2781
4,Kerala,Kannur,20,37,2,18,7,4,3,1,0,6,330,182,592,14,65,0,3495,4769
5,Kerala,Kasaragod,21,19,0,11,0,0,0,5,0,6,117,125,473,7,60,1,1638,2483
6,Kerala,Kochi,60,44,2,15,11,8,3,8,0,16,560,454,516,34,121,9,6153,8003
7,Kerala,Kollam,49,26,5,22,13,10,3,8,0,18,321,266,483,16,55,5,4938,6225
8,Kerala,Kottayam,38,13,3,7,8,4,4,6,0,43,386,402,360,38,114,0,4709,6127
9,Kerala,Kozhikode,32,22,1,30,11,9,2,3,0,21,376,386,560,26,89,3,5370,6930
10,Kerala,Malappuram,22,20,0,17,4,4,0,9,0,1,224,194,457,20,66,0,3723,4757
11,Kerala,Palakkad,42,26,2,31,8,2,6,7,0,14,353,331,517,9,66,1,3434,4841
12,Kerala,Pathanamthitta,25,5,0,4,7,6,1,0,0,6,156,122,143,3,34,0,2621,3126
13,Kerala,Thirussur,59,32,4,12,7,7,0,3,0,13,300,286,581,22,105,6,3759,5189
14,Kerala,Thiruvananthapuram,76,82,5,24,23,16,7,68,0,52,593,487,1113,27,143,15,6584,9292
15,Kerala,Wayanadu,10,5,0,17,1,1,0,1,0,5,118,105,152,3,31,0,1155,1603
16,Kerala,Railways,0,0,0,0,0,0,0,0,0,1,4,106,16,0,1,0,39,167
17,Kerala,Total,544,360,37,227,120,86,34,125,0,211,4140,3876,6564,263,1120,133,54199,71919
1,Madhya Pradesh,Baitul,73,23,0,65,7,6,1,7,2,19,223,301,46,5,25,0,1247,2043
2,Madhya Pradesh,Balaghat,64,46,22,60,13,13,0,8,0,27,481,647,44,16,22,0,1715,3165
