SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterferting,Others IPC Crimes,Total Cognizable Crimes Under IPC
14,West Bengal,Murshidabad,181,46,36,18,49,49,0,35,0,56,46,1633,879,8,30,0,184,3201
15,West Bengal,Nadia,92,48,5,97,0,0,0,19,16,49,79,1615,515,11,19,1,1346,3912
16,West Bengal,Purulia,54,18,13,16,0,0,0,17,2,20,54,726,157,38,5,0,868,1988
17,West Bengal,West Dinajpur,78,2,29,19,12,12,0,56,0,52,118,1626,351,15,6,0,540,2904
18,West Bengal,Total,1621,610,496,575,586,561,25,564,71,862,2185,29981,7498,932,1037,96,21295,68409
1,A & N Island,A & N Island,11,5,1,6,15,13,2,0,0,2,103,182,38,11,5,0,765,1144
1,Chandigarh,Chandigarh,17,7,1,7,19,16,3,0,0,10,186,817,12,24,37,0,568,1705
1,D & N Haveli,D & N Haveli,6,4,2,2,2,1,1,0,0,5,36,59,13,3,1,0,219,352
1,Daman & Diu,Daman,0,1,0,0,0,0,0,0,0,1,12,28,10,0,2,0,67,121
2,Daman & Diu,Diu,2,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,15,26
3,Daman & Diu,Total,2,1,0,0,0,0,0,0,0,1,12,30,15,2,2,0,82,147
1,Delhi U.T,Central,27,42,4,8,83,83,0,0,2,14,34,1194,7,68,116,6,1346,2951
2,Delhi U.T,East,44,41,4,11,112,98,14,0,0,24,107,849,9,84,39,1,1136,2461
3,Delhi U.T,New Delhi,6,13,0,4,39,39,0,0,1,11,112,1202,13,31,147,5,996,2580
4,Delhi U.T,North,31,29,7,20,51,47,4,2,2,11,56,1069,9,100,109,5,1092,2593
5,Delhi U.T,North East,37,45,4,10,129,105,24,4,12,14,135,891,12,50,51,0,1172,2566
6,Delhi U.T,North West,53,57,14,23,135,124,11,4,3,24,128,936,22,83,60,1,1561,3104
7,Delhi U.T,Palam Airport,0,0,0,0,4,1,3,0,0,0,1,104,1,3,315,0,46,474
8,Delhi U.T,South,46,35,7,41,104,104,0,2,3,49,374,2170,25,60,100,1,1514,4531
9,Delhi U.T,South West,40,31,7,17,53,45,8,1,0,19,248,1035,19,50,57,3,1335,2915
10,Delhi U.T,West,52,65,9,17,160,160,0,0,1,46,364,2241,33,91,100,0,2252,5431
11,Delhi U.T,Railways,6,1,1,1,7,7,0,0,0,2,0,655,1,13,11,11,208,917
12,Delhi U.T,Total,342,359,57,152,877,813,64,13,24,214,1559,12346,151,633,1105,33,12658,30523
1,Lakshadweep,Lakshadweep,0,1,0,0,0,0,0,0,0,0,8,12,27,2,0,0,41,91
1,Pondicherry,Pondicherry,39,19,0,6,22,19,3,5,0,21,253,978,169,19,24,6,1677,3238
