Sl.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
23,Gujarat,Sabarkantha,29,9,1,6,36,34,2,23,0,30,173,237,54,183,72,59,33,0,33,434,1,45,0,168,0,2668,4057
24,Gujarat,Surat Commr.,83,22,0,16,67,40,27,35,0,54,311,1400,856,544,139,72,168,6,10,334,33,9,6,103,0,1063,3931
25,Gujarat,Surat Rural,73,9,0,22,24,22,2,16,0,24,111,266,58,208,38,25,28,1,18,362,10,23,0,38,0,1815,2903
26,Gujarat,Surendranagar,32,38,0,13,32,23,9,9,0,18,131,247,51,196,66,76,23,2,11,509,3,33,1,57,0,2020,3321
27,Gujarat,Vadodara Commr.,45,18,0,6,53,42,11,8,0,39,331,1059,447,612,154,139,129,5,5,442,2,8,9,173,0,3032,5657
28,Gujarat,Vadodara Rural,87,7,0,14,38,38,0,9,0,18,86,220,43,177,56,46,59,1,19,513,0,40,0,68,0,1965,3246
29,Gujarat,Valsad,42,7,1,4,26,19,7,12,0,29,325,435,109,326,75,53,24,4,22,405,0,16,0,51,0,1762,3293
30,Gujarat,W.Rly,12,7,0,1,2,1,1,6,0,47,21,772,0,772,16,13,9,2,1,65,0,6,0,1,0,371,1352
31,Gujarat,Total,1317,597,26,330,1125,868,257,339,5,1159,5853,16522,5239,11283,2262,1960,1751,68,583,14629,93,944,119,3739,0,62438,115859
1,Haryana,Ambala,25,19,10,17,31,19,12,2,1,12,271,323,123,200,4,26,53,0,11,284,8,26,0,112,0,1067,2302
2,Haryana,Bhiwani,45,32,7,21,22,13,9,10,3,23,237,311,134,177,176,14,65,1,18,327,23,35,5,40,0,865,2280
3,Haryana,Faridabad,78,44,13,50,82,66,16,15,22,46,384,885,468,417,171,88,171,4,10,345,27,58,244,110,0,3006,5853
4,Haryana,Fatehabad,23,23,2,4,18,11,7,0,4,5,80,99,46,53,14,4,39,0,5,171,4,15,3,29,0,439,981
5,Haryana,GRP,10,1,0,0,0,0,0,3,2,4,0,207,40,167,1,2,3,0,0,14,5,3,33,0,0,420,708
6,Haryana,Gurgaon,71,45,15,39,45,25,20,15,16,50,382,835,443,392,80,26,56,0,25,250,15,47,29,123,0,1516,3680
7,Haryana,Hissar,48,48,8,19,42,26,16,2,11,37,205,404,233,171,36,16,128,1,10,819,20,33,0,100,0,773,2760
8,Haryana,Jhajjar,52,27,3,20,12,7,5,3,5,22,130,205,97,108,64,7,25,0,9,221,18,50,12,82,0,455,1422
9,Haryana,Jind,52,40,3,25,17,9,8,2,12,31,226,209,96,113,78,65,79,1,10,192,14,39,35,73,0,569,1772
10,Haryana,Kaithal,26,17,2,17,11,6,5,3,0,12,99,207,69,138,0,44,50,1,12,268,16,17,0,103,0,344,1249
11,Haryana,Karnal,57,29,1,38,25,12,13,9,11,26,238,479,186,293,50,16,51,2,14,706,15,32,0,88,0,569,2456
12,Haryana,Kurukshetra,18,14,2,30,16,10,6,0,1,8,139,292,130,162,0,14,81,0,5,155,15,37,10,65,0,702,1604
13,Haryana,Mahendragarh,19,8,0,10,10,6,4,2,1,5,70,86,24,62,53,23,13,0,15,161,5,26,0,17,0,652,1176
14,Haryana,Panchkula,7,5,1,8,11,9,2,1,0,7,117,207,81,126,1,32,12,1,3,23,5,42,0,54,0,566,1103
15,Haryana,Panipat,36,21,5,34,20,11,9,9,13,26,188,374,170,204,27,11,17,0,7,178,15,17,21,44,0,662,1725
16,Haryana,Rewari,29,5,3,9,11,10,1,10,2,13,151,215,78,137,50,10,13,1,14,160,13,18,0,28,0,687,1442
17,Haryana,Rohtak,39,48,1,17,20,13,7,6,6,32,203,388,200,188,42,13,56,0,9,198,12,26,17,40,0,619,1792
18,Haryana,Sirsa,34,34,1,33,19,10,9,3,1,11,156,203,80,123,18,13,42,0,8,354,9,30,0,81,0,685,1735
19,Haryana,Sonipat,87,43,2,11,32,23,9,11,11,52,189,373,157,216,13,12,47,5,11,321,16,33,13,43,0,866,2191
20,Haryana,Yamunanagar,28,14,0,19,16,13,3,2,5,6,135,211,80,131,5,5,28,1,6,197,8,21,1,54,0,497,1259
21,Haryana,Total,784,517,79,421,460,299,161,108,127,428,3600,6513,2935,3578,883,441,1029,18,202,5344,263,605,423,1286,0,15959,39490
1,Himachal Pradesh,Bilaspur,9,5,1,12,5,4,1,0,0,0,42,51,8,43,47,12,12,0,11,83,0,36,1,57,0,630,1014
