SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cognizable Crimes Under IPC
2,West Bengal,24 Parganas South,133,22,49,45,98,22,76,54,8,51,119,3125,919,47,38,21,1917,6646
3,West Bengal,Bankura,59,9,11,20,13,13,0,20,8,13,7,387,121,14,10,0,570,1262
4,West Bengal,Birbhum,82,17,14,32,40,32,8,25,1,23,31,673,355,14,13,0,550,1870
5,West Bengal,Burdwan,153,69,51,42,73,69,4,66,46,81,126,2064,571,66,44,0,2365,5817
6,West Bengal,Calcutta,76,163,14,24,139,60,79,41,9,139,329,6320,609,312,536,72,4192,12975
7,West Bengal,Coochbehar,34,4,13,27,33,33,0,17,1,20,41,375,110,4,7,1,1031,1718
8,West Bengal,Darjeeling,69,38,24,17,30,30,0,13,0,37,47,731,168,24,16,0,619,1833
9,West Bengal,Hooghly,70,10,11,23,36,36,0,22,5,28,62,978,479,81,46,0,1580,3431
10,West Bengal,Howrah,50,27,25,22,78,57,21,50,13,89,68,2257,383,28,61,13,1140,4304
11,West Bengal,Jalpaiguri,135,8,48,23,23,23,0,26,0,32,60,877,102,10,7,0,937,2288
12,West Bengal,Malda,61,13,35,11,30,30,0,15,4,10,22,479,94,11,16,1,627,1429
13,West Bengal,Midnapur,101,29,37,35,54,54,0,49,0,79,178,1454,758,135,88,0,401,3398
14,West Bengal,Murshidabad,177,47,58,43,82,82,0,32,0,39,33,1235,395,13,19,0,0,2173
15,West Bengal,Nadia,122,40,25,107,48,7,41,35,19,44,70,1852,449,23,18,1,1600,4453
16,West Bengal,Purulia,69,13,16,14,16,16,0,12,5,28,30,809,138,8,15,0,779,1952
17,West Bengal,West Dinajpur,78,2,40,25,25,15,10,53,0,25,87,1335,272,12,5,1,514,2474
18,West Bengal,Total,1610,525,518,561,938,672,266,585,152,851,1551,29311,6676,825,964,113,21464,66644
1,A & N Island,A & N Island,18,7,1,3,8,7,1,1,0,1,85,119,35,8,5,0,628,919
1,Chandigarh,Chandigarh,30,17,3,11,31,19,12,0,0,10,137,788,78,18,53,2,606,1784
1,D & N Haveli,D & N Haveli,6,1,0,4,6,4,2,3,0,5,26,82,22,8,1,1,315,480
1,Daman & Diu,Daman,4,0,0,0,2,1,1,0,0,1,17,24,35,2,0,1,96,182
2,Daman & Diu,Diu,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,1,13,22
3,Daman & Diu,Total,4,0,1,0,2,1,1,0,0,1,17,29,37,2,0,2,109,204
1,Delhi U.T,Central,21,39,4,10,74,71,3,3,0,13,34,1114,11,64,87,15,1295,2784
2,Delhi U.T,East,49,52,4,12,88,79,9,1,4,35,139,892,28,75,41,0,1040,2460
3,Delhi U.T,I.G.I.Airport,1,0,0,1,1,1,0,0,0,0,3,76,5,0,509,0,43,639
4,Delhi U.T,New Delhi,7,8,2,7,20,18,2,0,0,9,103,1370,31,38,131,5,889,2620
5,Delhi U.T,North,26,38,5,11,60,60,0,1,0,13,52,899,26,90,111,1,1110,2443
6,Delhi U.T,North East,59,51,9,24,125,113,12,1,5,25,143,677,32,59,42,1,1120,2373
7,Delhi U.T,North West,71,44,11,16,131,127,4,3,2,35,157,996,27,99,55,0,1687,3334
8,Delhi U.T,South,57,52,14,38,107,102,5,4,4,42,312,2473,42,73,111,2,2248,5579
9,Delhi U.T,South West,38,30,6,24,64,58,6,1,1,17,228,1172,42,58,63,0,1549,3293
10,Delhi U.T,West,54,69,15,31,208,204,4,1,4,35,381,2010,51,80,96,1,2550,5586
11,Delhi U.T,G.R.P,7,3,0,3,8,8,0,2,1,2,0,527,5,8,8,10,153,737
12,Delhi U.T,Total,390,386,70,177,886,841,45,17,21,226,1552,12206,300,644,1254,35,13684,31848
1,Lakshadweep,Lakshadweep,0,0,0,0,0,0,0,0,0,0,7,6,3,2,0,0,12,30
1,Pondicherry,Pondicherry,24,20,1,10,11,6,5,7,0,14,204,935,168,17,25,6,1713,3155
