Sl. No.,Category,STATE/UT,Population (In Lakhs)@,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) -I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dowry Deaths (Sec.304B IPC) - I,Dowry Deaths (Sec.304B IPC) - R,Dowry Deaths (Sec.304B IPC) -P,Cruelty by Husband and Relatives (Sec.498A IPC) - I,Cruelty by Husband and Relatives(Sec.498A IPC) - R,Cruelty by Husband and Relatives(Sec.498A IPC) - P,Molestation (Sec.354 IPC) - I,Molestation (Sec.354 IPC) - R,Molestation (Sec.354 IPC) - P,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) -I,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - R,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - P,Importation of Girls (Sec.366B IPC) - I,Importation of Girls (Sec.366B IPC) - R,Importation of Girls (Sec.366B IPC) - P,Sati Prevention Act - 1987 - I,Sati Prevention Act - 1987 - R,Sati Prevention Act - 1987 - P,"Immoral Traffic (P) Act, 1956 - I","Immoral Traffic (P) Act, 1956 - R","Immoral Traffic (P) Act, 1956 - P","Indecent Representation of Women (P) Act, 1986 - I","Indecent Representation of Women (P) Act, 1986 - R","Indecent Representation of Women (P) Act, 1986 - P","Dowry Prohibition Act, 1961 - I","Dowry Prohibition Act, 1961 - R","Dowry Prohibition Act, 1961 - P",Total - I,Total - R,Total - P
Total (All-India),Total (All-India),Total (All-India),12101.93,24206,2,100,35565,2.9,100,8618,0.7,100,99135,8.2,100,42968,3.6,100,8570,0.7,100,80,0,100,1,0,100,2435,0.2,100,453,0,100,6619,0.5,100,228650,18.9,100
37,City,Agra,17.46,61,3.5,2.4,241,13.8,4.6,56,3.2,6.8,282,16.2,1.8,190,10.9,3.5,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,837,47.9,2.5
38,City,Ahmedabad,63.52,60,0.9,2.3,184,2.9,3.5,19,0.3,2.3,1390,21.9,9,83,1.3,1.5,16,0.3,0.8,0,0,0,0,0,0,10,0.2,0.8,0,0,0,0,0,0,1762,27.7,5.2
39,City,Allahabad,12.17,10,0.8,0.4,56,4.6,1.1,10,0.8,1.2,92,7.6,0.6,11,0.9,0.2,1,0.1,0.1,0,0,0,0,0,0,6,0.5,0.5,0,0,0,0,0,0,186,15.3,0.6
40,City,Amritsar,11.84,20,1.7,0.8,34,2.9,0.6,4,0.3,0.5,101,8.5,0.7,7,0.6,0.1,1,0.1,0.1,0,0,0,0,0,0,8,0.7,0.6,0,0,0,0,0,0,175,14.8,0.5
41,City,Asansol,12.43,31,2.5,1.2,50,4,0.9,10,0.8,1.2,461,37.1,3,30,2.4,0.5,7,0.6,0.4,0,0,0,0,0,0,4,0.3,0.3,0,0,0,6,0.5,0.7,599,48.2,1.8
42,City,Aurangabad,11.89,16,1.3,0.6,24,2,0.5,7,0.6,0.9,122,10.3,0.8,65,5.5,1.2,29,2.4,1.5,0,0,0,0,0,0,10,0.8,0.8,0,0,0,0,0,0,273,23,0.8
43,City,Bengaluru,84.99,97,1.1,3.8,206,2.4,3.9,53,0.6,6.5,458,5.4,3,250,2.9,4.5,40,0.5,2,0,0,0,0,0,0,180,2.1,14.6,1,0,1.3,605,7.1,70.7,1890,22.2,5.6
44,City,Bhopal,18.83,100,5.3,3.9,26,1.4,0.5,14,0.7,1.7,272,14.4,1.8,93,4.9,1.7,16,0.8,0.8,1,0.1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,522,27.7,1.5
45,City,Chandigarh(c),10.26,21,2,0.8,40,3.9,0.8,2,0.2,0.2,42,4.1,0.3,16,1.6,0.3,11,1.1,0.6,0,0,0,0,0,0,1,0.1,0.1,0,0,0,1,0.1,0.1,134,13.1,0.4
