Sr. No.,Category,State/UT,Murder (Sec.302 IPC) - 2010,Murder (Sec.302 IPC) - 2011,Murder (Sec.302 IPC) - % Variation,Attempt to Commit Murder (Sec.307 IPC) - 2010,Attempt to Commit Murder (Sec.307 IPC) - 2011,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2010","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2011","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - Total - 2010,Rape (Sec. 376 IPC) - Total - 2011,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2010,Rape (Sec. 376 IPC) - Custodial - 2011,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Other - 2010,Rape (Sec. 376 IPC) - Other - 2011,Rape (Sec. 376 IPC) - Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Toof Women & Girls - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls -% Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2010,Dacoity (Sec. 395-398 IPC) - 2011,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2010,Preparation & Assembly for Dacoity (Sec.399-402 IPC) -2011,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2010","Robbery (Sec.392-394, 397, 398 IPC) - 2011","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2010","Burglary (Sec.449-452,454,455,457-460 IPC) - 2011","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 – 382 IPC) - Total - 2010,Theft (Sec. 379 – 382 IPC) - Total - 2011,Theft (Sec. 379 – 382 IPC) - Total - % Variation,Theft (Sec. 379 – 382 IPC) - Auto Theft,Theft (Sec. 379 – 382 IPC) - Auto Theft - 2011,Theft (Sec. 379 – 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 – 382 IPC) - Other Theft - 2010,Theft (Sec. 379 – 382 IPC) - Other Theft - 2011,Theft (Sec. 379 – 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2010","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2011","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2010,Criminal Breach of Trust (Sec. 406-409 IPC)- 2011,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2010","Cheating (Sec. 419,420 IPC) - 2011","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2010","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2011","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2010","Arson (Sec.435,436,438 IPC) - 2011","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2010","Hurt (Sec.323-333, 335-338 IPC) - 2011","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2010,Dowry Deaths (Sec.304B IPC) - 2011,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2010,Molestation (Sec.354 IPC) - 2011,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2010,Sexual Harassment (Sec.509 IPC) - 2011,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2010,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2011,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2010,Importation of Girls (Sec. 366B IPC) - 2011,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2010,Causing Death by Negligence (Sec. 304A IPC) - 2011,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2010,Other IPC Crimes -2011,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2010,Total Cognizable Crimes Under IPC - 2011,Total Cognizable Crimes Under IPC - % Variation,Note of Murder (Sec.302 IPC) - % Variation,Note of Attempt to Commit Murder (Sec.307 IPC) - % Variation,"Note of C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Note of Rape (Sec. 376 IPC) - Total - % Variation,Note of Rape (Sec. 376 IPC) - Custodial - % Variation,Note of Rape (Sec. 376 IPC) - Other - % Variation,"Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls -% Variation","Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Note of Theft (Sec. 379 – 382 IPC) - Auto Theft - % Variation,"Note of Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Note of Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Note of Cheating (Sec. 419,420 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Dowry Deaths (Sec.304B IPC) - % Variation,Note of Molestation (Sec.354 IPC) - % Variation,Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
51,City,Ghaziabad,NA,82,NA,NA,70,NA,NA,20,NA,NA,5,NA,NA,0,NA,NA,5,NA,NA,129,NA,NA,103,NA,NA,26,NA,NA,2,NA,NA,1,NA,NA,75,NA,NA,171,NA,NA,2599,NA,NA,2090,NA,NA,509,NA,NA,67,NA,NA,112,NA,NA,304,NA,NA,2,NA,NA,0,NA,NA,10,NA,NA,22,NA,NA,35,NA,NA,47,NA,NA,135,NA,NA,0,NA,NA,241,NA,NA,1359,NA,NA,5488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,City,Gwalior,NA,67,NA,NA,97,NA,NA,18,NA,NA,48,NA,NA,0,NA,NA,48,NA,NA,71,NA,NA,65,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,155,NA,NA,678,NA,NA,1929,NA,NA,1534,NA,NA,395,NA,NA,67,NA,NA,34,NA,NA,129,NA,NA,2,NA,NA,11,NA,NA,706,NA,NA,22,NA,NA,97,NA,NA,13,NA,NA,133,NA,NA,0,NA,NA,135,NA,NA,3390,NA,NA,7816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,City,Hyderabad,134,117,-12.7,143,136,-4.9,8,6,-25,45,59,31.1,0,0,NA,45,59,31.1,121,95,-21.5,41,39,-4.9,80,56,-30,7,8,14.3,0,0,NA,54,40,-25.9,906,693,-23.5,4916,4416,-10.2,1543,1823,18.1,3373,2593,-23.1,513,220,-57.1,96,75,-21.9,2021,1864,-7.8,29,44,51.7,15,50,233.3,3425,3334,-2.7,44,37,-15.9,171,157,-8.2,60,93,55,1420,1355,-4.6,0,0,NA,542,505,-6.8,2879,2353,-18.3,17549,15657,-10.8,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
54,City,Indore,80,107,33.8,129,110,-14.7,2,3,50,69,91,31.9,0,0,NA,69,91,31.9,30,59,96.7,23,47,104.3,7,12,71.4,5,1,-80,12,6,-50,210,194,-7.6,689,862,25.1,3462,3232,-6.6,2681,2285,-14.8,781,947,21.3,53,72,35.8,42,36,-14.3,151,205,35.8,15,3,-80,18,37,105.6,2800,2286,-18.4,26,21,-19.2,211,229,8.5,47,49,4.3,259,306,18.1,2,3,50,220,244,10.9,5698,6348,11.4,14230,14504,1.9,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,City,Jabalpur,48,50,4.2,71,102,43.7,0,2,NA,81,64,-21,0,0,NA,81,64,-21,27,24,-11.1,25,17,-32,2,7,250,1,0,-100,7,9,28.6,52,61,17.3,260,348,33.8,641,641,0,443,416,-6.1,198,225,13.6,50,67,34,3,11,266.7,80,81,1.3,0,0,NA,1,13,1200,875,2327,165.9,25,26,4,114,171,50,49,27,-44.9,118,129,9.3,1,2,100,97,111,14.4,3604,2294,-36.3,6205,6560,5.7,NA,NA,@,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
56,City,Jaipur,65,83,27.7,68,82,20.6,7,6,-14.3,71,92,29.6,0,0,NA,71,92,29.6,207,262,26.6,193,226,17.1,14,36,157.1,4,8,100,10,12,20,253,179,-29.2,774,889,14.9,4825,4895,1.5,3562,3447,-3.2,1263,1448,14.6,138,137,-0.7,270,271,0.4,3146,2756,-12.4,7,3,-57.1,5,24,380,597,749,25.5,30,39,30,115,125,8.7,0,0,NA,720,936,30,0,0,NA,499,755,51.3,4906,6594,34.4,16717,18897,13,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA
57,City,Jamshedpur,52,36,-30.8,27,22,-18.5,8,6,-25,16,18,12.5,0,0,NA,16,18,12.5,43,52,20.9,25,40,60,18,12,-33.3,3,3,0,1,0,-100,25,20,-20,150,134,-10.7,702,701,-0.1,438,352,-19.6,264,349,32.2,133,83,-37.6,42,70,66.7,90,53,-41.1,0,0,NA,6,15,150,578,480,-17,13,12,-7.7,6,18,200,1,0,-100,22,61,177.3,0,0,NA,100,120,20,714,458,-35.9,2732,2362,-13.5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA
58,City,Jodhpur,NA,29,NA,NA,54,NA,NA,6,NA,NA,33,NA,NA,0,NA,NA,33,NA,NA,58,NA,NA,45,NA,NA,13,NA,NA,0,NA,NA,1,NA,NA,17,NA,NA,173,NA,NA,945,NA,NA,657,NA,NA,288,NA,NA,4,NA,NA,18,NA,NA,684,NA,NA,4,NA,NA,12,NA,NA,641,NA,NA,13,NA,NA,57,NA,NA,1,NA,NA,338,NA,NA,0,NA,NA,241,NA,NA,941,NA,NA,4270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,City,Kannur,NA,2,NA,NA,12,NA,NA,1,NA,NA,12,NA,NA,0,NA,NA,12,NA,NA,2,NA,NA,2,NA,NA,0,NA,NA,2,NA,NA,1,NA,NA,57,NA,NA,71,NA,NA,111,NA,NA,49,NA,NA,62,NA,NA,310,NA,NA,2,NA,NA,41,NA,NA,0,NA,NA,18,NA,NA,351,NA,NA,0,NA,NA,43,NA,NA,8,NA,NA,107,NA,NA,0,NA,NA,2,NA,NA,1236,NA,NA,2389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,City,Kanpur,150,159,6,109,140,28.4,41,41,0,42,71,69,0,0,NA,42,71,69,316,343,8.5,263,303,15.2,53,40,-24.5,10,11,10,1,0,-100,81,133,64.2,267,319,19.5,1181,1738,47.2,858,1353,57.7,323,385,19.2,176,177,0.6,215,208,-3.3,461,510,10.6,53,35,-34,0,3,NA,407,309,-24.1,92,69,-25,118,140,18.6,7,2,-71.4,447,284,-36.5,0,0,NA,571,453,-20.7,2002,2516,25.7,6747,7661,13.5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA
61,City,Kochi,4,15,275,11,14,27.3,3,0,-100,20,30,50,0,0,NA,20,30,50,8,11,37.5,5,10,100,3,1,-66.7,2,6,200,15,34,126.7,34,38,11.8,79,76,-3.8,233,307,31.8,99,71,-28.3,134,236,76.1,244,343,40.6,13,9,-30.8,297,618,108.1,0,0,NA,2,5,150,282,376,33.3,2,0,-100,67,105,56.7,23,32,39.1,146,136,-6.8,0,0,NA,3,2,-33.3,24227,32501,34.2,25715,34658,34.8,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA
62,City,Kolkata,49,54,10.2,55,85,54.5,43,28,-34.9,32,46,43.8,0,0,NA,32,46,43.8,125,148,18.4,91,116,27.5,34,32,-5.9,0,1,NA,26,44,69.2,18,34,88.9,66,63,-4.5,3118,3532,13.3,506,539,6.5,2612,2993,14.6,282,336,19.1,329,333,1.2,1271,1625,27.9,73,63,-13.7,0,0,NA,2007,2271,13.2,12,11,-8.3,226,254,12.4,133,144,8.3,400,557,39.3,3,0,-100,362,414,14.4,6880,7109,3.3,15510,17152,10.6,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA
63,City,Kollam,NA,13,NA,NA,39,NA,NA,3,NA,NA,50,NA,NA,0,NA,NA,50,NA,NA,21,NA,NA,20,NA,NA,1,NA,NA,4,NA,NA,21,NA,NA,16,NA,NA,105,NA,NA,227,NA,NA,90,NA,NA,137,NA,NA,602,NA,NA,14,NA,NA,83,NA,NA,0,NA,NA,17,NA,NA,1146,NA,NA,1,NA,NA,192,NA,NA,19,NA,NA,319,NA,NA,0,NA,NA,1,NA,NA,3547,NA,NA,6440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,City,Kota,NA,35,NA,NA,100,NA,NA,6,NA,NA,24,NA,NA,0,NA,NA,24,NA,NA,91,NA,NA,74,NA,NA,17,NA,NA,0,NA,NA,9,NA,NA,15,NA,NA,120,NA,NA,863,NA,NA,671,NA,NA,192,NA,NA,2,NA,NA,16,NA,NA,499,NA,NA,1,NA,NA,2,NA,NA,144,NA,NA,5,NA,NA,58,NA,NA,0,NA,NA,413,NA,NA,0,NA,NA,108,NA,NA,1665,NA,NA,4176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,City,Kozhikode,NA,5,NA,NA,15,NA,NA,0,NA,NA,14,NA,NA,0,NA,NA,14,NA,NA,11,NA,NA,10,NA,NA,1,NA,NA,0,NA,NA,30,NA,NA,48,NA,NA,136,NA,NA,241,NA,NA,106,NA,NA,135,NA,NA,446,NA,NA,30,NA,NA,188,NA,NA,1,NA,NA,10,NA,NA,685,NA,NA,0,NA,NA,124,NA,NA,100,NA,NA,171,NA,NA,0,NA,NA,0,NA,NA,1771,NA,NA,4026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,City,Lucknow,83,86,3.6,67,64,-4.5,19,26,36.8,52,38,-26.9,0,0,NA,52,38,-26.9,251,219,-12.7,246,210,-14.6,5,9,80,11,9,-18.2,4,0,-100,86,52,-39.5,415,410,-1.2,2591,1987,-23.3,1701,1279,-24.8,890,708,-20.4,141,123,-12.8,432,374,-13.4,750,703,-6.3,50,19,-62,0,4,NA,35,33,-5.7,50,32,-36,97,104,7.2,0,0,NA,605,454,-25,0,0,NA,375,408,8.8,4202,3746,-10.9,10316,8891,-13.8,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,@,NA,@,NA
67,City,Ludhiana,81,59,-27.2,81,68,-16,12,7,-41.7,52,42,-19.2,0,0,NA,52,42,-19.2,143,76,-46.9,102,64,-37.3,41,12,-70.7,5,1,-80,5,11,120,30,10,-66.7,213,183,-14.1,839,466,-44.5,472,233,-50.6,367,233,-36.5,0,0,NA,36,32,-11.1,385,361,-6.2,4,2,-50,6,7,16.7,217,203,-6.5,7,13,85.7,27,22,-18.5,11,10,-9.1,109,102,-6.4,0,0,NA,200,200,0,1059,917,-13.4,3522,2792,-20.7,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
68,City,Madurai,34,35,2.9,50,56,12,0,0,NA,3,7,133.3,0,0,NA,3,7,133.3,15,25,66.7,9,18,100,6,7,16.7,0,1,NA,0,0,NA,77,85,10.4,65,106,63.1,500,455,-9,269,209,-22.3,231,246,6.5,17,25,47.1,8,10,25,124,183,47.6,31,20,-35.5,0,2,NA,130,171,31.5,11,5,-54.5,12,22,83.3,20,4,-80,69,71,2.9,0,0,NA,120,123,2.5,1386,1467,5.8,2672,2873,7.5,NA,NA,@,NA,@,NA,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA
69,City,Malappuram,NA,3,NA,NA,3,NA,NA,0,NA,NA,16,NA,NA,0,NA,NA,16,NA,NA,7,NA,NA,4,NA,NA,3,NA,NA,0,NA,NA,0,NA,NA,11,NA,NA,61,NA,NA,102,NA,NA,63,NA,NA,39,NA,NA,144,NA,NA,1,NA,NA,76,NA,NA,0,NA,NA,1,NA,NA,179,NA,NA,0,NA,NA,37,208.3,NA,2,-90,NA,126,NA,NA,0,NA,NA,2,NA,NA,1658,NA,NA,2429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,City,Meerut,34,74,117.6,55,84,52.7,5,9,80,19,23,21.1,0,0,NA,19,23,21.1,93,157,68.8,75,139,85.3,18,18,0,4,6,50,0,1,NA,118,131,11,109,154,41.3,1295,1770,36.7,950,1308,37.7,345,462,33.9,148,126,-14.9,73,64,-12.3,234,298,27.4,21,7,-66.7,0,4,NA,12,12,0,14,18,28.6,34,47,38.2,0,0,NA,215,99,-54,0,0,NA,204,146,-28.4,620,1123,81.1,3307,4353,31.6,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,@,NA,@,NA
71,City,Mumbai,228,203,-11,170,180,5.9,7,4,-42.9,194,221,13.9,0,0,NA,194,221,13.9,194,221,13.9,146,166,13.7,48,55,14.6,35,28,-20,42,46,9.5,410,467,13.9,3059,2745,-10.3,13195,12983,-1.6,4167,4702,12.8,9028,8281,-8.3,391,379,-3.1,482,553,14.7,2211,1946,-12,76,81,6.6,22,46,109.1,4487,4302,-4.1,21,14,-33.3,475,553,16.4,138,162,17.4,312,393,26,0,0,NA,690,656,-4.9,7093,6464,-8.9,33932,32647,-3.8,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
72,City,Nagpur,88,114,29.5,69,74,7.2,5,13,160,58,45,-22.4,0,0,NA,58,45,-22.4,57,40,-29.8,34,24,-29.4,23,16,-30.4,13,12,-7.7,13,11,-15.4,259,198,-23.6,599,734,22.5,1732,2287,32,852,1142,34,880,1145,30.1,183,148,-19.1,72,68,-5.6,264,294,11.4,24,22,-8.3,20,22,10,842,876,4,8,4,-50,87,68,-21.8,48,53,10.4,175,174,-0.6,0,0,NA,332,243,-26.8,2780,2563,-7.8,7728,8063,4.3,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
73,City,Nasik,37,37,0,32,32,0,1,4,300,30,25,-16.7,0,0,NA,30,25,-16.7,27,16,-40.7,19,11,-42.1,8,5,-37.5,24,28,16.7,13,6,-53.8,117,154,31.6,528,516,-2.3,1882,2095,11.3,963,1079,12,919,1016,10.6,146,111,-24,52,31,-40.4,187,197,5.3,23,14,-39.1,17,21,23.5,268,258,-3.7,2,5,150,46,37,-19.6,18,10,-44.4,124,115,-7.3,0,0,NA,217,177,-18.4,693,623,-10.1,4484,4512,0.6,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
74,City,Patna,130,133,2.3,20,19,-5,4,0,-100,25,27,8,0,0,NA,25,27,8,183,246,34.4,58,125,115.5,125,121,-3.2,15,33,120,0,0,NA,131,121,-7.6,479,425,-11.3,2117,2366,11.8,1202,1209,0.6,915,1157,26.4,194,292,50.5,5,12,140,174,598,243.7,12,19,58.3,0,1,NA,34,425,1150,30,45,50,4,1,-75,3,1,-66.7,197,199,1,0,0,NA,228,282,23.7,5032,4047,-19.6,9017,9292,3,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA
75,City,Pune,129,110,-14.7,94,118,25.5,6,5,-16.7,91,79,-13.2,0,0,NA,91,79,-13.2,129,104,-19.4,94,72,-23.4,35,32,-8.6,30,19,-36.7,31,34,9.7,452,546,20.8,1250,1192,-4.6,4674,4710,0.8,2948,2869,-2.7,1726,1841,6.7,393,478,21.6,72,93,29.2,663,769,16,37,34,-8.1,17,27,58.8,1169,991,-15.2,4,8,100,78,118,51.3,91,80,-12.1,214,251,17.3,0,0,NA,620,538,-13.2,3358,2318,-31,13602,12622,-7.2,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
76,City,Raipur,NA,38,NA,NA,52,NA,NA,1,NA,NA,24,NA,NA,0,NA,NA,24,NA,NA,16,NA,NA,9,NA,NA,7,NA,NA,3,NA,NA,0,NA,NA,47,NA,NA,466,NA,NA,1013,NA,NA,639,NA,NA,374,NA,NA,98,NA,NA,41,NA,NA,204,NA,NA,3,NA,NA,33,NA,NA,1745,NA,NA,4,NA,NA,195,NA,NA,27,NA,NA,59,NA,NA,0,NA,NA,212,NA,NA,1941,NA,NA,6222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,City,Rajkot,38,44,15.8,22,22,0,1,0,-100,12,10,-16.7,0,0,NA,12,10,-16.7,39,40,2.6,32,34,6.3,7,6,-14.3,9,3,-66.7,0,0,NA,34,36,5.9,243,187,-23,1039,923,-11.2,798,733,-8.1,241,190,-21.2,64,67,4.7,52,67,28.8,26,42,61.5,9,7,-22.2,17,12,-29.4,393,360,-8.4,0,0,NA,14,17,21.4,7,3,-57.1,294,246,-16.3,0,0,NA,117,161,37.6,1594,1692,6.1,4024,3939,-2.1,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA
78,City,Ranchi,NA,71,NA,NA,27,NA,NA,5,NA,NA,34,NA,NA,0,NA,NA,34,NA,NA,100,NA,NA,92,NA,NA,8,NA,NA,13,NA,NA,2,NA,NA,66,NA,NA,157,NA,NA,1506,NA,NA,1060,NA,NA,446,NA,NA,82,NA,NA,46,NA,NA,179,NA,NA,1,NA,NA,5,NA,NA,327,NA,NA,11,NA,NA,5,NA,NA,0,NA,NA,43,NA,NA,0,NA,NA,170,NA,NA,911,NA,NA,3761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,City,Srinagar,NA,12,NA,NA,64,NA,NA,0,NA,NA,14,NA,NA,0,NA,NA,14,NA,NA,118,NA,NA,110,NA,NA,8,NA,NA,2,NA,NA,0,NA,NA,33,NA,NA,280,NA,NA,490,NA,NA,344,NA,NA,146,NA,NA,147,NA,NA,17,NA,NA,126,NA,NA,4,NA,NA,23,NA,NA,9,NA,NA,0,NA,NA,171,NA,NA,70,NA,NA,54,NA,NA,0,NA,NA,71,NA,NA,1051,NA,NA,2756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,City,Surat,87,100,14.9,19,38,100,1,2,100,23,36,56.5,0,0,NA,23,36,56.5,82,112,36.6,63,83,31.7,19,29,52.6,12,12,0,7,4,-42.9,80,78,-2.5,273,356,30.4,1712,1830,6.9,1247,1263,1.3,465,567,21.9,87,64,-26.4,34,34,0,126,191,51.6,36,42,16.7,7,4,-42.9,556,455,-18.2,3,0,-100,24,34,41.7,1,3,200,268,276,3,0,0,NA,364,241,-33.8,3624,4534,25.1,7426,8446,13.7,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
81,City,Thiruvananthapuram,NA,8,NA,NA,29,NA,NA,3,NA,NA,39,NA,NA,0,NA,NA,39,NA,NA,25,NA,NA,13,NA,NA,12,NA,NA,2,NA,NA,57,NA,NA,79,NA,NA,175,NA,NA,405,NA,NA,128,NA,NA,277,NA,NA,526,NA,NA,30,NA,NA,397,NA,NA,0,NA,NA,14,NA,NA,982,NA,NA,0,NA,NA,241,NA,NA,46,NA,NA,156,NA,NA,0,NA,NA,4,NA,NA,3452,NA,NA,6670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,City,Thrissur,NA,7,NA,NA,17,NA,NA,7,NA,NA,28,NA,NA,0,NA,NA,28,NA,NA,12,NA,NA,10,NA,NA,2,NA,NA,6,NA,NA,10,NA,NA,28,NA,NA,75,NA,NA,144,NA,NA,61,NA,NA,83,NA,NA,362,NA,NA,7,NA,NA,636,NA,NA,0,NA,NA,10,NA,NA,340,NA,NA,0,NA,NA,100,NA,NA,28,NA,NA,131,NA,NA,0,NA,NA,3,NA,NA,2913,NA,NA,4864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
