SI. No.,Category,States/ UTs,Districts,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
26,State,Odisha,Nayagarh,39,8,0,20,0,20,24,20,4,2,0,35,60,217,42,175,46,8,26,0,5,388,16,12,2,14,0,69,252,1243
27,State,Odisha,Nowrangpur,28,12,0,48,0,48,33,33,0,3,0,11,54,68,9,59,42,5,16,0,1,174,2,93,10,39,0,25,311,975
28,State,Odisha,Nuapada,12,9,0,13,0,13,11,10,1,2,0,11,31,64,32,32,23,7,14,0,10,30,0,44,3,9,0,33,385,711
29,State,Odisha,Puri,52,85,0,22,0,22,47,40,7,11,18,143,157,302,108,194,94,5,61,0,15,53,26,16,0,86,0,116,1429,2738
30,State,Odisha,Rayagada,33,15,0,28,0,28,33,30,3,7,0,23,36,76,13,63,39,11,18,3,4,43,7,79,4,27,0,48,295,829
31,State,Odisha,Rourkela,72,37,0,26,0,26,19,19,0,31,5,49,82,243,108,135,46,3,27,0,8,218,3,71,6,64,0,199,407,1616
32,State,Odisha,Sambalpur,45,40,0,27,0,27,17,14,3,20,3,96,150,323,93,230,84,13,31,1,6,275,2,34,3,52,0,192,857,2271
33,State,Odisha,Sonepur,8,21,0,17,0,17,5,5,0,5,0,14,28,52,15,37,32,0,12,0,8,176,3,43,2,12,5,2,133,578
34,State,Odisha,SRP (Cuttack),3,1,0,0,0,0,2,2,0,1,1,10,6,398,54,344,1,0,3,0,0,36,0,8,0,0,0,1,59,530
35,State,Odisha,SRP (Rourkela),5,3,0,2,0,2,2,2,0,1,1,17,13,278,51,227,1,0,0,0,0,0,1,8,0,1,0,1,134,468
36,State,Odisha,Sundargarh,54,24,1,24,0,24,19,16,3,10,2,52,51,140,30,110,38,9,8,1,7,415,2,19,1,10,0,184,107,1178
Total,Total,Total,Total,1308,1436,31,1025,0,1025,1016,912,104,346,117,1491,2855,7572,2627,4945,1779,322,1108,29,430,7181,388,2905,232,2067,5,3450,19366,56459
1,State,Punjab,Amritsar Rural,43,37,5,16,0,16,29,25,4,1,6,6,87,86,21,65,0,5,142,10,6,208,2,13,1,53,0,129,309,1194
2,State,Punjab,Barnala,19,35,4,12,0,12,9,2,7,0,1,3,41,86,33,53,0,6,46,1,3,96,1,7,0,15,0,78,276,739
3,State,Punjab,Batala,20,23,2,26,0,26,26,23,3,1,1,3,73,129,53,76,0,5,70,0,6,158,4,16,0,31,0,81,234,909
4,State,Punjab,Bhatinda,58,65,3,29,0,29,40,30,10,2,5,6,205,344,197,147,0,5,195,0,7,242,3,36,1,31,0,3,592,1872
5,State,Punjab,CP Amritsar,53,71,7,24,0,24,51,43,8,3,18,9,83,257,104,153,0,16,275,14,4,152,10,10,4,87,0,70,615,1833
6,State,Punjab,CP Jalandhar,29,51,8,22,0,22,57,40,17,5,10,19,176,495,243,252,0,10,271,5,6,205,5,27,4,82,0,101,538,2126
7,State,Punjab,CP Ludhiana,90,92,14,55,0,55,152,108,44,8,5,31,229,888,484,404,0,39,417,5,6,248,9,29,11,119,0,263,1212,3922
8,State,Punjab,Faridkot,21,26,1,10,0,10,7,5,2,1,4,0,79,112,55,57,0,4,62,0,2,210,3,2,0,32,0,0,271,847
9,State,Punjab,Fatehgarh Sahib,16,7,2,11,0,11,16,11,5,0,4,7,52,116,51,65,0,1,102,0,0,174,1,6,2,19,0,154,249,939
10,State,Punjab,Ferozpur,59,54,3,39,0,39,35,28,7,2,3,6,123,214,85,129,0,17,213,7,7,366,10,9,0,52,0,141,482,1842
11,State,Punjab,G.R.P,9,2,3,0,0,0,2,0,2,1,0,0,0,47,9,38,0,1,3,0,0,7,1,0,0,0,0,0,314,390
12,State,Punjab,Gurdaspur,22,30,13,30,0,30,41,28,13,1,2,2,63,98,36,62,0,14,67,1,1,130,11,19,2,42,0,140,488,1217
13,State,Punjab,Hoshiarpur,51,53,2,26,0,26,38,36,2,3,5,18,154,190,51,139,0,5,157,4,8,309,5,17,1,74,0,210,358,1688
14,State,Punjab,Jalandhar Rural,46,73,6,39,0,39,33,26,7,9,11,39,165,244,74,170,0,6,121,2,13,323,4,24,4,62,0,163,422,1809
15,State,Punjab,Kapurthala,27,54,3,12,0,12,25,22,3,1,12,21,72,150,49,101,0,4,114,2,7,244,2,14,0,31,0,100,264,1159
16,State,Punjab,Khanna,21,14,3,7,0,7,15,10,5,1,6,10,57,118,50,68,0,10,134,1,0,139,4,5,0,43,0,136,311,1035
17,State,Punjab,Ludhiana Rural,20,26,6,11,0,11,11,6,5,0,5,2,43,99,52,47,0,2,115,1,0,76,0,4,2,36,0,102,275,836
18,State,Punjab,Mansa,35,40,1,22,0,22,13,9,4,0,3,2,64,64,22,42,0,9,92,2,1,129,7,2,1,23,0,0,284,794
19,State,Punjab,Moga,34,47,5,18,0,18,22,13,9,5,4,4,125,212,95,117,0,18,105,3,5,235,3,10,0,22,0,73,277,1227
20,State,Punjab,Muktsar,27,26,3,12,0,12,15,10,5,3,3,2,90,157,60,97,0,7,59,0,2,163,3,5,1,23,0,77,216,894
21,State,Punjab,Patiala,52,42,6,26,0,26,37,31,6,10,16,8,162,396,205,191,0,11,252,2,4,320,9,35,1,139,0,358,1115,3001
22,State,Punjab,Ropar,27,17,2,14,0,14,18,14,4,0,0,2,73,152,48,104,0,7,88,1,3,110,2,14,2,20,0,153,394,1099
23,State,Punjab,Sangrur,45,47,8,31,0,31,19,7,12,5,7,2,164,252,130,122,0,15,130,5,8,201,8,18,0,51,0,185,752,1953
24,State,Punjab,Sas Ngr,19,22,3,17,0,17,35,23,12,0,3,7,148,346,195,151,0,22,144,0,0,142,3,18,0,42,0,464,312,1747
25,State,Punjab,SBS Nagar,22,17,4,17,0,17,16,8,8,2,3,26,68,101,42,59,0,1,54,1,2,139,6,5,1,18,0,83,132,718
26,State,Punjab,Tarn Taran,42,23,3,20,0,20,27,18,9,1,6,6,65,93,23,70,0,3,99,8,0,147,5,4,0,16,0,86,204,858
Total,Total,Total,Total,907,994,120,546,0,546,789,576,213,65,143,241,2661,5446,2467,2979,0,243,3527,75,101,4873,121,349,38,1163,0,3350,10896,36648
1,State,Rajasthan,Ajmer,46,43,15,47,0,47,105,86,19,2,0,14,159,656,420,236,27,17,874,3,9,123,12,81,0,615,0,527,2737,6112
2,State,Rajasthan,Alwar,62,51,6,105,0,105,164,138,26,3,23,38,236,2128,1540,588,14,18,912,3,23,2598,42,122,0,588,0,458,2292,9886
3,State,Rajasthan,Banswara,34,15,0,61,0,61,57,53,4,2,0,7,44,120,57,63,58,11,95,0,22,593,8,47,1,151,0,127,788,2241
4,State,Rajasthan,Baran,31,51,8,48,0,48,72,72,0,1,1,6,74,217,86,131,5,19,225,0,6,335,9,129,2,267,0,118,1424,3048
5,State,Rajasthan,Barmer,26,27,1,34,0,34,33,33,0,0,0,4,91,309,118,191,2,7,266,0,14,435,18,71,0,194,0,184,1432,3148
6,State,Rajasthan,Bharatpur,83,86,1,83,0,83,203,152,51,0,1,34,60,1449,946,503,2,13,626,1,14,232,33,38,0,437,0,259,4770,8425
7,State,Rajasthan,Bhilwara,32,29,2,48,0,48,143,130,13,0,1,34,222,781,462,319,54,13,548,1,25,69,3,74,1,593,0,330,2265,5268
8,State,Rajasthan,Bikaner,39,65,7,41,0,41,43,34,9,0,0,5,124,344,155,189,0,8,426,3,13,389,18,58,0,354,0,237,1509,3683
9,State,Rajasthan,Bundi,23,50,6,31,0,31,93,80,13,0,0,15,91,240,137,103,10,10,197,0,5,764,3,113,0,285,0,157,1193,3286
10,State,Rajasthan,Chittorgarh,29,43,2,42,0,42,111,96,15,2,8,40,179,515,242,273,42,59,320,0,19,980,6,76,0,516,0,235,1531,4755
11,State,Rajasthan,Churu,39,35,0,49,0,49,39,17,22,0,1,4,88,223,59,164,0,12,427,2,8,473,22,10,0,301,0,166,1254,3153
12,State,Rajasthan,Dausa,41,31,3,24,0,24,97,69,28,1,3,14,80,894,552,342,28,14,268,1,13,134,18,18,0,162,0,268,3024,5136
13,State,Rajasthan,Dholpur,51,69,0,22,0,22,77,53,24,5,0,30,50,590,285,305,4,15,157,1,10,1637,28,18,0,186,0,107,1254,4311
14,State,Rajasthan,Dungarpur,18,16,0,26,0,26,52,50,2,1,0,17,39,88,34,54,75,24,58,0,22,134,5,56,0,100,0,127,1017,1875
15,State,Rajasthan,G.R.P. Ajmer,6,3,0,0,0,0,1,0,1,1,0,5,2,386,23,363,2,0,3,0,0,0,3,1,0,0,0,1,203,617
16,State,Rajasthan,G.R.P. Jodhpur,2,1,0,2,0,2,0,0,0,0,0,2,0,91,13,78,3,0,0,0,0,1,0,1,2,0,0,0,44,149
17,State,Rajasthan,Ganganagar,60,59,2,72,0,72,102,94,8,0,1,10,149,361,149,212,1,33,842,2,7,734,18,74,2,659,0,193,1860,5241
18,State,Rajasthan,Hanumangarh,53,66,1,56,0,56,50,44,6,0,0,10,65,188,79,109,0,13,621,1,10,312,15,98,0,427,0,128,1649,3763
19,State,Rajasthan,Jaipur East,25,19,6,28,0,28,79,66,13,3,2,113,354,2463,1942,521,86,36,873,4,1,21,10,42,0,231,0,195,2082,6673
20,State,Rajasthan,Jaipur North,22,25,0,25,0,25,67,67,0,1,3,33,116,814,521,293,23,28,793,1,2,317,13,40,0,234,0,129,1235,3921
21,State,Rajasthan,Jaipur Rural,61,34,4,27,0,27,109,90,19,6,1,23,263,970,522,448,50,20,805,1,13,496,13,63,1,253,0,604,4290,8107
22,State,Rajasthan,Jaipur South,18,24,1,18,0,18,61,47,14,0,5,107,304,1548,1099,449,29,206,1480,2,2,259,7,33,0,255,0,175,1589,6123
23,State,Rajasthan,Jaisalmer,7,2,0,3,0,3,11,7,4,0,0,3,77,135,43,92,15,5,77,0,6,162,5,25,0,29,0,59,503,1124
24,State,Rajasthan,Jalore,21,10,0,13,0,13,38,29,9,0,0,4,74,185,85,100,13,15,136,0,5,14,14,36,0,122,0,127,1679,2506
25,State,Rajasthan,Jhalawar,44,67,5,62,0,62,62,48,14,0,8,25,91,442,223,219,28,16,158,1,42,942,6,187,4,303,0,112,1376,3981
26,State,Rajasthan,Jhunjhunu,49,38,2,49,0,49,63,50,13,0,0,10,102,320,111,209,19,13,437,1,9,891,15,45,0,251,0,193,1154,3661
27,State,Rajasthan,Jodhpur City,27,54,3,27,0,27,53,43,10,0,0,9,119,727,566,161,1,16,519,2,3,472,13,31,3,247,0,133,1149,3608
28,State,Rajasthan,Jodhpur Rural,33,23,0,17,0,17,49,39,10,1,0,7,126,266,113,153,4,13,208,0,11,954,11,29,0,132,0,279,824,2987
29,State,Rajasthan,Karauli,35,49,2,42,0,42,91,72,19,2,0,28,34,705,390,315,8,7,237,0,14,2,12,24,0,157,0,102,2910,4461
30,State,Rajasthan,Kota City,35,114,4,33,0,33,80,74,6,0,22,49,104,805,561,244,2,15,493,1,4,146,2,50,0,369,0,117,1633,4078
31,State,Rajasthan,Kota Rural,18,26,1,36,0,36,41,35,6,0,1,6,46,164,78,86,2,17,172,0,6,185,2,67,0,199,0,133,1078,2200
32,State,Rajasthan,Nagaur,54,31,1,60,0,60,69,57,12,0,0,12,158,453,227,226,0,12,451,0,14,53,22,86,0,348,0,279,2108,4211
33,State,Rajasthan,Pali,41,34,3,53,0,53,102,98,4,0,0,14,153,363,155,208,3,14,393,0,8,45,9,75,0,442,0,323,3086,5161
34,State,Rajasthan,Pratapgarh,35,27,0,56,0,56,67,56,11,1,0,13,50,87,39,48,47,3,88,0,19,533,7,69,0,173,0,67,627,1969
35,State,Rajasthan,Rajsamand,14,13,2,14,0,14,31,25,6,1,0,15,78,178,91,87,19,10,216,1,8,578,4,41,0,233,0,158,766,2380
36,State,Rajasthan,Sawai Madhopur,23,27,3,16,0,16,86,65,21,1,0,13,90,456,305,151,7,2,209,0,8,0,0,26,0,179,0,107,2257,3510
37,State,Rajasthan,Sikar,58,35,0,52,0,52,114,86,28,0,0,12,173,478,193,285,29,16,660,1,24,250,12,11,0,313,0,329,2462,5029
38,State,Rajasthan,Sirohi,28,37,7,20,0,20,34,27,7,0,0,5,82,136,45,91,22,6,180,0,7,403,6,63,0,175,0,160,539,1910
39,State,Rajasthan,Tonk,21,21,1,18,0,18,50,44,6,0,1,2,64,255,147,108,37,11,299,1,0,737,4,19,1,338,0,164,1114,3158
40,State,Rajasthan,Udaipur,77,107,5,111,0,111,186,151,35,3,2,80,303,794,432,362,215,22,835,2,52,1844,14,192,6,327,0,411,2514,8102
Total,Total,Total,Total,1421,1557,104,1571,0,1571,2985,2477,508,37,84,872,4714,22324,13245,9079,986,789,16584,36,478,19247,462,2339,23,11145,0,7978,67221,162957
1,State,Sikkim,East,6,3,1,5,0,5,4,4,0,0,0,5,40,33,7,26,1,1,11,3,2,24,0,1,0,0,0,21,67,228
2,State,Sikkim,North,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,1,0,1,0,0,5,0,0,0,0,0,6,29,48
3,State,Sikkim,South,7,3,1,9,0,9,1,1,0,0,0,2,25,14,1,13,1,0,5,0,4,36,0,5,0,2,0,10,33,158
4,State,Sikkim,West,2,0,0,4,0,4,1,1,0,1,0,0,6,3,0,3,1,0,3,0,1,8,1,5,0,1,0,10,71,118
Total,Total,Total,Total,17,6,2,18,0,18,6,6,0,1,0,7,72,53,8,45,4,1,20,3,7,73,1,11,0,3,0,47,200,552
1,State,Tamilnadu,Ariyalur,27,38,0,20,0,20,26,24,2,0,0,9,46,76,31,45,19,0,6,0,1,213,1,64,4,10,0,109,1308,1977
2,State,Tamilnadu,Chennai,103,158,2,47,0,47,47,30,17,2,2,74,383,1540,234,1306,60,21,524,72,1,773,16,45,23,125,0,604,6247,10869
3,State,Tamilnadu,Chennai Rly.,0,7,0,0,0,0,0,0,0,1,0,58,0,232,4,228,14,2,10,0,0,45,2,2,0,0,0,7,267,647
4,State,Tamilnadu,Chennaisuburban,86,137,1,29,0,29,30,16,14,1,1,102,374,750,139,611,85,7,236,6,10,797,18,61,87,57,0,820,4975,8670
5,State,Tamilnadu,Coimbatore Rural,41,50,0,13,0,13,62,53,9,11,0,78,188,425,171,254,83,0,51,1,13,440,1,39,0,40,0,643,2627,4806
6,State,Tamilnadu,Coimbatore Urban,22,27,0,15,0,15,22,10,12,1,0,25,142,1084,497,587,23,9,148,30,8,357,1,35,1,45,0,324,1861,4180
7,State,Tamilnadu,Cuddalore,58,115,0,27,0,27,39,39,0,1,0,16,68,241,53,188,149,1,42,0,21,593,8,8,8,38,0,447,4299,6179
8,State,Tamilnadu,Dharmapuri,59,27,4,15,0,15,47,41,6,2,0,25,65,161,78,83,107,4,24,5,32,975,6,42,3,49,0,279,1830,3761
9,State,Tamilnadu,Dindigul,57,91,0,9,0,9,43,43,0,4,0,29,80,410,1,409,81,4,128,1,23,520,1,43,0,107,0,538,3130,5299
10,State,Tamilnadu,Erode,57,32,1,15,0,15,64,39,25,3,1,73,136,461,234,227,39,12,77,5,5,581,2,43,2,26,0,495,4572,6702
11,State,Tamilnadu,Kanchipuram,57,53,0,17,0,17,9,9,0,2,0,21,74,285,62,223,102,0,67,15,6,411,1,23,2,13,0,779,3820,5757
12,State,Tamilnadu,Kanyakumari,42,100,1,12,0,12,57,55,2,3,0,90,216,318,124,194,0,3,124,4,25,756,2,10,102,93,0,260,2534,4752
13,State,Tamilnadu,Karur,19,51,0,10,0,10,54,52,2,1,0,34,54,241,59,182,23,9,19,4,3,272,4,28,7,10,0,260,1871,2974
14,State,Tamilnadu,Krishnagiri,58,24,0,20,0,20,64,53,11,0,2,14,116,221,132,89,120,1,71,13,20,639,5,27,0,42,0,463,2660,4580
15,State,Tamilnadu,Madurai Rural,59,78,1,17,0,17,58,41,17,2,0,95,160,348,107,241,168,14,123,2,17,586,14,62,6,77,0,550,2911,5348
16,State,Tamilnadu,Madurai Urban,34,50,0,3,0,3,15,9,6,0,0,77,65,500,269,231,17,8,124,31,0,130,11,12,20,69,0,120,1386,2672
17,State,Tamilnadu,Nagapattinam,50,55,0,9,0,9,38,31,7,0,0,18,64,173,62,111,39,0,23,2,30,439,1,57,7,3,0,223,2796,4027
18,State,Tamilnadu,Namakkal,50,21,0,10,0,10,48,42,6,6,1,14,70,255,119,136,70,4,80,2,20,637,2,52,10,12,0,454,2872,4690
19,State,Tamilnadu,Nilgiris,11,16,0,7,0,7,8,6,2,0,0,9,81,61,15,46,18,5,18,2,6,202,0,10,12,2,0,44,808,1320
20,State,Tamilnadu,Perambalur,13,30,1,5,0,5,10,9,1,2,0,25,29,93,46,47,7,0,48,9,1,88,0,16,12,3,0,131,1013,1536
21,State,Tamilnadu,Pudukottai,45,101,2,7,0,7,54,48,6,3,0,55,93,250,75,175,45,21,48,0,24,390,5,42,2,14,0,285,3322,4808
22,State,Tamilnadu,Ramnathapuram,33,49,2,16,0,16,61,50,11,1,0,26,83,181,45,136,96,0,57,5,20,514,1,14,4,17,0,213,2069,3462
23,State,Tamilnadu,Salem Rural,81,62,6,53,0,53,140,137,3,9,0,42,110,221,63,158,281,1,42,2,48,2665,4,165,0,62,0,541,4099,8634
24,State,Tamilnadu,Salem Urban,27,18,0,21,0,21,44,38,6,1,0,70,35,321,150,171,32,6,41,1,5,554,3,25,23,46,0,138,1807,3218
25,State,Tamilnadu,Sivagangai,38,27,1,1,0,1,32,30,2,3,1,21,89,198,63,135,21,1,50,0,15,160,4,16,1,35,0,232,1665,2611
26,State,Tamilnadu,Thanjavur,82,124,1,7,0,7,42,42,0,4,2,141,298,870,455,415,104,2,43,7,18,744,3,75,0,9,0,462,3908,6946
27,State,Tamilnadu,Theni,42,122,0,18,0,18,93,80,13,0,0,53,134,321,91,230,69,2,239,1,27,712,5,61,65,125,0,253,3042,5384
28,State,Tamilnadu,Thirunelveli Rural,83,215,3,48,0,48,65,58,7,2,0,77,195,445,92,353,4,4,129,7,52,1012,3,88,0,52,0,409,4884,7777
29,State,Tamilnadu,Thirunelveli Urban,12,78,0,16,0,16,11,9,2,1,0,26,69,269,83,186,0,0,40,1,5,194,0,5,0,4,0,87,812,1630
30,State,Tamilnadu,Thiruvallur,43,51,1,18,0,18,17,13,4,2,0,6,74,143,29,114,68,3,53,5,2,360,6,10,1,19,0,336,2269,3487
31,State,Tamilnadu,Thiruvannamalai,43,89,0,15,0,15,55,39,16,3,0,7,68,263,139,124,195,0,53,5,20,599,0,8,0,30,0,353,2756,4562
32,State,Tamilnadu,Thiruvarur,29,30,2,12,0,12,22,18,4,1,0,20,96,189,77,112,53,0,23,1,27,518,0,20,0,13,0,157,2763,3976
33,State,Tamilnadu,Thoothugudi,84,168,1,32,0,32,32,25,7,1,0,63,202,336,98,238,0,11,79,1,35,574,3,4,0,57,0,347,2924,4954
34,State,Tamilnadu,Tiruppur,60,42,0,10,0,10,52,44,8,7,0,126,195,800,382,418,39,8,55,4,6,432,6,24,0,46,0,748,2578,5238
35,State,Tamilnadu,Trichy Rly.,0,1,0,0,0,0,0,0,0,0,0,16,0,74,0,74,0,0,0,0,0,17,1,0,0,0,0,5,81,195
36,State,Tamilnadu,Trichy Rural,58,55,0,8,0,8,24,24,0,1,0,45,84,185,66,119,46,0,42,1,17,209,5,26,0,36,0,489,3194,4525
37,State,Tamilnadu,Trichy Urban,15,31,0,4,0,4,27,15,12,0,2,12,56,433,159,274,12,0,100,5,0,144,6,10,92,33,0,157,2602,3741
38,State,Tamilnadu,Vellore,82,56,2,30,0,30,68,56,12,1,0,33,208,656,346,310,5,8,42,31,12,758,8,28,1,65,0,752,5403,8249
39,State,Tamilnadu,Villupuram,63,84,0,50,0,50,82,78,4,0,0,19,95,287,146,141,302,4,75,26,34,753,4,80,43,26,0,821,3842,6690
40,State,Tamilnadu,Virudhunagar,52,78,0,20,0,20,58,58,0,3,0,73,120,266,49,217,68,2,105,5,27,546,2,25,100,60,0,309,2926,4845
Total,Total,Total,Total,1875,2641,32,686,0,686,1720,1464,256,85,12,1817,4715,14583,5045,9538,2664,177,3259,312,636,21309,165,1405,638,1570,0,14644,110733,185678
1,State,Tripura,Dhalai,19,4,1,33,0,33,14,6,8,2,0,5,40,39,2,37,14,3,10,0,7,112,3,26,1,65,0,19,124,541
2,State,Tripura,G.R.P.,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,6
3,State,Tripura,North,23,9,1,51,0,51,25,22,3,6,0,11,34,78,11,67,13,10,21,0,15,241,2,70,0,186,0,36,138,970
4,State,Tripura,South,25,25,0,36,0,36,27,21,6,1,1,20,45,118,7,111,69,13,31,1,11,332,10,165,3,255,0,70,430,1688
5,State,Tripura,West,83,25,6,118,0,118,48,42,6,7,1,29,101,219,44,175,67,27,60,5,18,450,10,114,5,431,0,112,664,2600
Total,Total,Total,Total,150,63,8,238,0,238,114,91,23,16,2,65,221,457,64,393,163,53,122,6,51,1136,25,376,9,937,0,237,1356,5805
