SI. No.,Category,States/ UTs,Murder (Sec.302 IPC) - 2009,Murder (Sec.302 IPC) - 2010,Murder (Sec.302 IPC) - %Varitation,Attempt to Commit Murder (Sec. 307 IPC) - 2009,Attempt to Commit Murder (Sec. 307 IPC) - 2010,Attempt to Commit Murder (Sec. 307 IPC) - %Varitation,"C.h. Not Amounting Murder (Sec.304 , 308 IPC) - 2009","C.h. Not Amounting Murder (Sec.304 , 308 IPC) - 2010","C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Rape (Sec. 376 IPC) - Total - 2009,Rape (Sec. 376 IPC) - Total - 2010,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2009,Rape (Sec. 376 IPC) - Custodial - 2010,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Others - 2009,Rape (Sec. 376 IPC) - Others - 2010,Rape (Sec. 376 IPC) - Others - % Variation,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2009,Dacoity (Sec. 395-398 IPC) - 2010,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2009,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2010,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2009","Robbery (Sec.392-394, 397, 398 IPC) - 2010","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2009","Burglary (Sec.449-452,454,455,457-460 IPC) - 2010","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec.379-382 IPC) - Total - 2009,Theft (Sec.379-382 IPC) - Total - 2010,Theft (Sec.379-382 IPC) - Total - % Variation,Theft (Sec.379-382 IPC) - Auto Theft - 2009,Theft (Sec.379-382 IPC) - Auto Theft - 2010,Theft (Sec.379-382 IPC) - Auto Theft - % Variation,Theft (Sec.379-382 IPC) - Other Theft -2009,Theft (Sec.379-382 IPC) - Other Theft - 2010,Theft (Sec.379-382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2009","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2010","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2009,Criminal Breach of Trust (Sec. 406-409 IPC) - 2010,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2009","Cheating (Sec. 419,420 IPC) - 2010","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2009","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2010","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2009","Arson (Sec.435,436,438 IPC) - 2010","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2009","Hurt (Sec.323-333, 335-338 IPC) - 2010","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2009,Dowry Deaths (Sec.304B IPC) - 2010,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2009,Molestation (Sec.354 IPC) - 2010,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2009,Sexual Harassment (Sec.509 IPC) - 2010,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2009,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2010,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2009,Importation of Girls (Sec. 366B IPC) - 2010,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2009,Causing Death by Negligence (Sec. 304A IPC) - 2010,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2009,Other IPC Crimes - 2010,Other IPC Crimes - % Variation,Total Cognizable Sl. Crimes Under IPC - 2009,Total Cognizable Sl. Crimes Under IPC - 2010,Total Cognizable Sl. Crimes Under IPC - % Variation,Note of Murder (Sec.302 IPC) - %Varitation,"Note of C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Note of Rape (Sec. 376 IPC) - Custodial - % Variation,"Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Note of Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Note of Cheating (Sec. 419,420 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Dowry Deaths (Sec.304B IPC) - % Variation,Note of Molestation (Sec.354 IPC) - % Variation,Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
54,City,Kochi,12,4,-66.7,12,11,-8.3,1,3,200,20,20,0,0,0,NA,20,20,0,11,8,-27.3,5,5,0,6,3,-50,5,2,-60,6,15,150,28,34,21.4,67,79,17.9,322,233,-27.6,119,99,-16.8,203,134,-34,92,244,165.2,7,13,85.7,277,297,7.2,0,0,NA,6,2,-66.7,313,282,-9.9,1,2,100,49,67,36.7,14,23,64.3,95,146,53.7,0,0,NA,2,3,50,7417,24227,226.6,8757,25715,193.7,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA
55,City,Kolkata,41,49,19.5,71,55,-22.5,42,43,2.4,42,32,-23.8,0,0,NA,42,32,-23.8,129,125,-3.1,107,91,-15,22,34,54.5,2,0,-100,36,26,-27.8,40,18,-55,90,66,-26.7,3078,3118,1.3,433,506,16.9,2645,2612,-1.2,253,282,11.5,280,329,17.5,1433,1271,-11.3,37,73,97.3,0,0,NA,1866,2007,7.6,10,12,20,201,226,12.4,90,133,47.8,411,400,-2.7,4,3,-25,424,362,-14.6,5035,6880,36.6,13615,15510,13.9,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA
56,City,Lucknow,82,83,1.2,68,67,-1.5,13,19,46.2,30,52,73.3,0,0,NA,30,52,73.3,256,251,-2,239,246,2.9,17,5,-70.6,11,11,0,1,4,300,91,86,-5.5,549,415,-24.4,2314,2591,12,1250,1701,36.1,1064,890,-16.4,179,141,-21.2,448,432,-3.6,833,750,-10,19,50,163.2,0,0,NA,36,35,-2.8,29,50,72.4,147,97,-34,240,0,-100,572,605,5.8,0,0,NA,288,375,30.2,4276,4202,-1.7,10482,10316,-1.6,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA
57,City,Ludhiana,57,81,42.1,99,81,-18.2,11,12,9.1,38,52,36.8,0,0,NA,38,52,36.8,86,143,66.3,65,102,56.9,21,41,95.2,3,5,66.7,9,5,-44.4,16,30,87.5,180,213,18.3,616,839,36.2,323,472,46.1,293,367,25.3,0,0,NA,21,36,71.4,280,385,37.5,3,4,33.3,3,6,100,239,217,-9.2,9,7,-22.2,31,27,-12.9,9,11,22.2,89,109,22.5,0,0,NA,209,200,-4.3,880,1059,20.3,2888,3522,22,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
58,City,Madurai,38,34,-10.5,40,50,25,0,0,NA,3,3,0,0,0,NA,3,3,0,25,15,-40,10,9,-10,15,6,-60,6,0,-100,1,0,-100,34,77,126.5,85,65,-23.5,530,500,-5.7,174,269,54.6,356,231,-35.1,22,17,-22.7,8,8,0,143,124,-13.3,23,31,34.8,16,0,-100,124,130,4.8,4,11,175,7,12,71.4,19,20,5.3,67,69,3,0,0,NA,125,120,-4,1680,1386,-17.5,3000,2672,-10.9,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
59,City,Meerut,47,34,-27.7,36,55,52.8,15,5,-66.7,15,19,26.7,0,0,NA,15,19,26.7,83,93,12,79,75,-5.1,4,18,350,3,4,33.3,1,0,-100,33,118,257.6,70,109,55.7,765,1295,69.3,555,950,71.2,210,345,64.3,51,148,190.2,51,73,43.1,157,234,49,22,21,-4.5,0,0,NA,11,12,9.1,19,14,-26.3,25,34,36,80,0,-100,205,215,4.9,0,0,NA,168,204,21.4,574,620,8,2431,3307,36,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA
60,City,Mumbai,217,228,5.1,160,170,6.3,6,7,16.7,182,194,6.6,0,0,NA,182,194,6.6,149,194,30.2,86,146,69.8,63,48,-23.8,39,35,-10.3,34,42,23.5,316,410,29.7,2769,3059,10.5,12009,13195,9.9,4183,4167,-0.4,7826,9028,15.4,305,391,28.2,511,482,-5.7,2132,2211,3.7,129,76,-41.1,14,22,57.1,3892,4487,15.3,15,21,40,400,475,18.8,101,138,36.6,434,312,-28.1,0,0,NA,710,690,-2.8,6738,7093,5.3,31262,33932,8.5,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
61,City,Nagpur,95,88,-7.4,72,69,-4.2,2,5,150,45,58,28.9,0,0,NA,45,58,28.9,73,57,-21.9,52,34,-34.6,21,23,9.5,18,13,-27.8,17,13,-23.5,317,259,-18.3,724,599,-17.3,1733,1732,-0.1,831,852,2.5,902,880,-2.4,209,183,-12.4,68,72,5.9,302,264,-12.6,19,24,26.3,16,20,25,791,842,6.4,7,8,14.3,60,87,45,39,48,23.1,232,175,-24.6,0,0,NA,260,332,27.7,2686,2780,3.5,7785,7728,-0.7,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
62,City,Nasik,41,37,-9.8,28,32,14.3,2,1,-50,24,30,25,0,0,NA,24,30,25,24,27,12.5,16,19,18.8,8,8,0,22,24,9.1,2,13,550,79,117,48.1,621,528,-15,1705,1882,10.4,850,963,13.3,855,919,7.5,137,146,6.6,21,52,147.6,173,187,8.1,12,23,91.7,22,17,-22.7,247,268,8.5,5,2,-60,49,46,-6.1,20,18,-10,131,124,-5.3,0,0,NA,333,217,-34.8,520,693,33.3,4218,4484,6.3,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
63,City,Patna,137,130,-5.1,72,20,-72.2,1,4,300,24,25,4.2,0,0,NA,24,25,4.2,242,183,-24.4,102,58,-43.1,140,125,-10.7,16,15,-6.3,1,0,-100,179,131,-26.8,537,479,-10.8,2247,2117,-5.8,1197,1202,0.4,1050,915,-12.9,227,194,-14.5,12,5,-58.3,225,174,-22.7,13,12,-7.7,4,0,-100,87,34,-60.9,27,30,11.1,8,4,-50,0,3,NA,205,197,-3.9,0,0,NA,114,228,100,4428,5032,13.6,8806,9017,2.4,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA
64,City,Pune,119,129,8.4,120,94,-21.7,9,6,-33.3,67,91,35.8,0,0,NA,67,91,35.8,105,129,22.9,84,94,11.9,21,35,66.7,36,30,-16.7,52,31,-40.4,513,452,-11.9,1305,1250,-4.2,5181,4674,-9.8,3261,2948,-9.6,1920,1726,-10.1,468,393,-16,76,72,-5.3,613,663,8.2,58,37,-36.2,19,17,-10.5,1215,1169,-3.8,7,4,-42.9,100,78,-22,72,91,26.4,235,214,-8.9,0,0,NA,539,620,15,2939,3358,14.3,13848,13602,-1.8,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
65,City,Rajkot,35,38,8.6,26,22,-15.4,1,1,0,8,12,50,0,0,NA,8,12,50,47,39,-17,38,32,-15.8,9,7,-22.2,9,9,0,0,0,0,41,34,-17.1,233,243,4.3,1154,1039,-10,753,798,6,401,241,-39.9,68,64,-5.9,52,52,0,40,26,-35,19,9,-52.6,10,17,70,407,393,-3.4,1,0,-100,19,14,-26.3,8,7,-12.5,271,294,8.5,0,0,NA,107,117,9.3,1919,1594,-16.9,4475,4024,-10.1,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
66,City,Surat,101,87,-13.9,15,19,26.7,2,1,-50,28,23,-17.9,0,0,NA,28,23,-17.9,119,82,-31.1,74,63,-14.9,45,19,-57.8,20,12,-40,3,7,133.3,80,80,0,439,273,-37.8,2220,1712,-22.9,1474,1247,-15.4,746,465,-37.7,83,87,4.8,30,34,13.3,171,126,-26.3,32,36,12.5,5,7,40,623,556,-10.8,9,3,-66.7,34,24,-29.4,2,1,-50,351,268,-23.6,0,0,NA,473,364,-23,2724,3624,33,7564,7426,-1.8,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
67,City,Vadodara,24,23,-4.2,25,25,0,0,1,NA,6,7,16.7,0,0,NA,6,7,16.7,33,36,9.1,28,30,7.1,5,6,20,5,9,80,0,0,NA,21,19,-9.5,276,319,15.6,1426,1529,7.2,939,1044,11.2,487,485,-0.4,134,89,-33.6,32,35,9.4,92,115,25,7,3,-57.1,2,4,100,253,276,9.1,0,0,NA,17,18,5.9,0,0,NA,178,216,21.3,0,0,NA,125,180,44,2404,2448,1.8,5060,5352,5.8,NA,@,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA,@,NA,@,NA
68,City,Varanasi,20,15,-25,30,34,13.3,5,15,200,5,2,-60,0,0,NA,5,2,-60,25,48,92,23,34,47.8,2,14,600,0,0,NA,0,2,NA,12,9,-25,94,41,-56.4,646,601,-7,508,451,-11.2,138,150,8.7,25,16,-36,76,113,48.7,186,209,12.4,13,25,92.3,2,0,-100,77,94,22.1,12,11,-8.3,4,3,-25,59,0,-100,36,50,38.9,0,0,NA,90,177,96.7,837,664,-20.7,2254,2129,-5.5,NA,NA,@,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
69,City,Vijayawada,34,33,-2.9,54,49,-9.3,1,1,0,23,25,8.7,0,0,NA,23,25,8.7,63,87,38.1,53,65,22.6,10,22,120,0,3,NA,0,0,NA,22,20,-9.1,176,228,29.5,1137,1324,16.4,439,539,22.8,698,785,12.5,8,8,0,23,52,126.1,306,398,30.1,38,16,-57.9,16,20,25,1547,1565,1.2,17,17,0,177,172,-2.8,198,219,10.6,433,626,44.6,0,0,NA,290,363,25.2,617,607,-1.6,5180,5833,12.6,NA,NA,@,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
70,City,Vishakhapatnam,28,24,-14.3,25,25,0,4,4,0,39,53,35.9,0,0,NA,39,53,35.9,48,34,-29.2,26,24,-7.7,22,10,-54.5,1,8,700,0,0,NA,21,40,90.5,311,335,7.7,1040,1234,18.7,420,134,-68.1,620,1100,77.4,12,2,-83.3,62,75,21,270,294,8.9,19,16,-15.8,13,28,115.4,473,2443,416.5,13,11,-15.4,95,59,-37.9,54,52,-3.7,481,393,-18.3,0,0,NA,428,466,8.9,1979,1516,-23.4,5416,7112,31.3,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
Total (Cities),Total (Cities),Total (Cities),2915,2897,-0.6,2890,2686,-7.1,333,334,0.3,1696,1803,6.3,0,0,NA,1696,1803,6.3,5374,6203,15.4,3544,3775,6.5,1830,2428,32.7,374,377,0.8,639,620,-3,5159,5003,-3,18065,16932,-6.3,103051,102022,-1,57038,57268,0.4,46013,44754,-2.7,4211,4653,10.5,3635,3671,1,19597,20428,4.2,837,890,6.3,270,297,10,29262,33132,13.2,684,768,12.3,3477,3329,-4.3,1657,1366,-17.6,11422,11642,1.9,4,7,75,9604,10296,7.2,118593,139527,17.7,343749,368883,7.3,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
