SI.No,States / UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
43,Maharashtra,Wardha,64,25,2,36,14,14,0,3,0,26,270,727,0,727,51,15,28,1,30,875,1,98,32,237,0,1510,4045
44,Maharashtra,Washim,27,23,0,10,17,17,0,8,0,27,126,399,2,397,70,4,11,0,43,363,0,49,0,102,0,549,1828
45,Maharashtra,Yavatmal,89,57,1,70,60,55,5,13,1,58,513,1174,46,1128,139,33,63,3,47,960,5,152,46,223,0,1672,5379
46,Maharashtra,Total,3024,1363,91,1320,1125,727,398,513,257,2554,15735,43846,7986,35860,5246,1660,3773,159,1234,29016,395,2766,825,7026,0,55508,177436
1,Manipur,Bishnupur,14,4,3,1,5,3,2,0,0,1,2,8,1,7,2,0,4,2,9,29,0,2,0,0,0,168,254
2,Manipur,Chandel,9,1,0,2,1,0,1,5,0,4,1,4,1,3,0,0,0,0,0,6,0,0,0,0,0,42,75
3,Manipur,Churachandpur,34,10,0,0,3,0,3,1,0,1,1,20,0,20,1,0,0,2,1,1,0,1,0,0,0,50,126
4,Manipur,Imphal (East),33,24,0,1,14,3,11,2,3,0,15,29,9,20,7,0,7,0,18,23,0,4,0,2,0,143,325
5,Manipur,Imphal (West),57,35,4,3,36,23,13,1,0,4,43,152,60,92,35,18,31,2,23,79,0,6,0,0,0,459,988
6,Manipur,Senapati,6,4,0,1,2,1,1,0,0,1,2,12,0,12,6,0,6,0,1,0,0,0,0,0,0,114,155
7,Manipur,Tamenglong,2,0,0,0,0,0,0,0,0,2,0,7,0,7,1,0,1,0,1,1,0,0,0,0,0,18,33
8,Manipur,Thoubal,27,6,0,3,12,8,4,0,0,12,12,41,7,34,16,3,14,1,5,51,0,0,0,0,0,256,459
9,Manipur,Ukhrul,7,4,0,1,0,0,0,0,0,1,2,8,0,8,0,0,0,1,0,5,0,0,0,0,0,25,54
10,Manipur,Total,189,88,7,12,73,38,35,9,3,26,78,281,78,203,68,21,63,8,58,195,0,13,0,2,0,1275,2469
1,Meghalaya,Garo Hills East,8,8,0,1,3,3,0,19,0,3,14,17,0,17,0,1,2,0,4,5,0,3,0,0,0,23,111
2,Meghalaya,Garo Hills South,2,0,0,1,2,0,2,7,0,1,12,4,0,4,1,1,0,1,0,6,0,0,0,0,0,8,46
3,Meghalaya,Garo Hills West,10,2,5,5,14,0,14,8,1,2,29,115,0,115,6,3,5,0,4,37,0,5,0,0,0,81,332
4,Meghalaya,Jaintia Hills,41,5,0,9,1,0,1,13,1,9,21,66,0,66,3,3,6,1,5,24,0,6,0,0,0,79,293
5,Meghalaya,Khasi Hills East,42,10,1,4,15,5,10,24,0,55,74,137,8,129,6,11,19,0,8,15,0,3,0,0,0,195,619
6,Meghalaya,Khasi Hills West,19,0,0,5,0,0,0,12,0,15,0,43,0,43,0,0,5,0,0,4,0,0,0,0,0,28,131
7,Meghalaya,Ri-Bhoi,12,3,0,2,2,2,0,22,0,15,5,55,1,54,0,1,0,0,10,41,0,0,0,0,0,18,186
8,Meghalaya,Total,134,28,6,27,37,10,27,105,2,100,155,437,9,428,16,20,37,2,31,132,0,17,0,0,0,432,1718
1,Mizoram,Aizawl,10,6,2,45,2,0,2,2,0,3,286,541,38,503,4,20,63,13,11,38,0,41,0,0,0,105,1192
2,Mizoram,Champhai,5,2,0,8,1,0,1,0,0,2,30,56,0,56,0,1,3,1,4,11,0,3,0,0,0,19,146
3,Mizoram,Kolasib,5,1,0,5,0,0,0,1,0,3,26,78,0,78,1,3,1,0,5,12,0,2,0,0,0,35,178
4,Mizoram,Lawngtlai,3,4,0,2,0,0,0,1,0,0,16,47,0,47,0,4,0,0,1,0,0,2,0,0,0,58,138
5,Mizoram,Lunglei,5,5,1,6,0,0,0,0,0,1,35,113,3,110,0,3,7,3,0,6,0,10,0,0,0,32,227
6,Mizoram,Mamit,1,3,0,1,0,0,0,2,0,1,11,12,1,11,0,1,0,0,1,2,0,2,0,0,0,8,45
7,Mizoram,Saiha,2,0,0,2,0,0,0,0,0,0,47,48,1,47,0,2,3,1,3,8,0,12,0,0,0,68,196
8,Mizoram,Serchhip,3,0,0,2,0,0,0,0,0,0,23,42,0,42,0,1,3,0,2,5,0,2,0,0,0,15,98
9,Mizoram,Total,34,21,3,71,3,0,3,6,0,10,474,937,43,894,5,35,80,18,27,82,0,74,0,0,0,340,2220
1,Nagaland,Dimapur,31,9,0,5,19,0,19,10,0,78,48,129,46,83,3,1,10,3,7,8,0,1,0,0,0,94,456
2,Nagaland,Kiphire,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,4,0,0,0,0,0,0,0,0,7,16
3,Nagaland,Kohima,50,11,0,2,7,1,6,4,0,20,29,58,34,24,0,5,12,0,0,6,0,1,0,0,0,143,348
4,Nagaland,Mokokchung,10,0,0,0,3,0,3,2,0,8,5,15,0,15,1,0,4,0,1,0,0,0,0,0,0,26,75
5,Nagaland,Mon,7,4,0,1,5,3,2,1,0,5,12,8,0,8,0,2,1,0,0,10,0,1,0,0,0,17,74
6,Nagaland,Peren,3,1,0,0,1,0,1,0,0,0,7,6,1,5,0,0,0,0,0,0,0,0,0,0,0,5,23
7,Nagaland,Phek,10,2,0,2,3,0,3,3,0,2,10,6,0,6,3,1,0,0,0,2,0,0,0,0,0,13,57
8,Nagaland,Tuensang,10,1,0,0,7,0,7,7,0,5,2,3,0,3,7,0,1,0,0,0,0,0,0,0,0,18,61
9,Nagaland,Workha,4,2,0,0,3,1,2,1,0,4,18,15,2,13,0,1,1,1,2,6,0,0,0,0,0,28,86
10,Nagaland,Zunheboto,2,2,0,1,0,0,0,1,0,3,11,12,0,12,0,0,3,0,0,0,0,0,0,0,0,18,53
11,Nagaland,Total,128,32,0,11,48,5,43,29,0,125,145,253,83,170,14,10,36,4,10,32,0,3,0,0,0,369,1249
1,Orissa,Angul,38,32,5,30,14,14,0,9,0,33,129,200,15,185,55,12,16,0,16,70,13,79,2,47,0,654,1454
2,Orissa,Balasore,24,10,2,54,24,21,3,18,0,54,234,244,15,229,62,19,45,0,28,114,33,71,12,80,0,1426,2554
3,Orissa,Baragarh,20,27,4,19,3,3,0,3,0,15,80,112,5,107,50,8,10,0,12,49,2,41,3,18,0,625,1101
4,Orissa,Berhampur,30,63,1,13,10,8,2,7,4,59,99,166,44,122,46,9,21,1,14,165,5,66,6,33,0,572,1390
5,Orissa,Bhadrak,35,14,2,19,14,11,3,15,0,20,137,110,7,103,57,3,8,0,22,112,29,24,2,15,0,636,1274
6,Orissa,Bolangir,23,27,3,30,13,13,0,2,0,30,102,145,3,142,59,7,15,0,12,66,1,41,7,8,0,680,1271
7,Orissa,Boudh,17,18,0,6,3,3,0,2,0,14,35,56,0,56,25,3,2,0,12,14,2,33,0,1,0,252,495
8,Orissa,Cuttack,43,152,0,44,43,43,0,25,0,152,525,1060,22,1038,80,37,78,0,35,0,18,42,11,334,0,2308,4987
9,Orissa,Deogarh,14,11,1,10,6,6,0,5,1,14,35,43,23,20,7,1,2,0,2,110,2,23,1,5,0,149,442
10,Orissa,Dhenkanal,27,38,2,27,15,8,7,13,0,38,70,103,0,103,54,5,2,0,19,289,17,47,0,14,0,476,1256
11,Orissa,Gajapati,17,13,1,12,7,7,0,1,0,7,17,35,0,35,25,6,3,0,4,27,2,18,4,7,0,227,433
12,Orissa,Ganjam,74,81,4,27,21,15,6,7,0,40,137,163,0,162,50,15,12,0,21,187,6,94,19,26,0,1122,2102
13,Orissa,jagatsinghpur,14,9,5,18,10,6,4,27,0,29,138,193,7,186,8,8,5,0,9,107,12,2,2,31,0,719,1346
14,Orissa,Jajpur,21,15,0,28,21,21,0,13,0,44,170,163,8,155,50,4,12,0,5,166,16,15,2,41,0,936,1722
15,Orissa,Jharsuguda,18,40,0,14,10,7,3,6,2,31,84,122,3,119,25,6,13,0,7,120,0,30,5,3,0,305,841
16,Orissa,Kalahandi,25,18,0,20,15,15,0,2,0,23,90,115,3,112,84,6,9,0,0,87,4,51,3,7,0,662,1221
17,Orissa,Kandhamal,16,16,2,25,22,19,3,3,0,5,89,117,0,117,20,5,9,1,10,391,7,79,7,9,0,91,924
18,Orissa,Kendrapara,38,105,1,9,16,11,5,10,0,24,133,157,2,155,42,5,12,0,17,228,0,23,2,73,0,471,1366
19,Orissa,Keonjhar,72,70,0,54,15,15,0,9,0,33,128,200,0,200,74,9,14,0,17,54,6,112,15,39,0,1070,1991
20,Orissa,Khurda,37,63,2,50,38,30,8,37,4,154,574,1226,389,837,106,35,73,1,22,1188,10,31,9,136,0,1671,5467
21,Orissa,Koraput,53,38,3,32,9,9,0,9,0,36,164,230,40,190,64,11,15,1,11,64,0,88,2,31,0,859,1720
22,Orissa,Malkangir,42,30,3,9,4,4,0,1,0,6,36,45,0,45,26,1,5,0,4,57,4,27,0,4,0,232,536
23,Orissa,Mayurbhanj,74,30,2,81,37,37,0,26,0,52,177,345,13,332,60,10,12,0,22,19,8,110,0,70,0,1298,2433
24,Orissa,Nayagarh,21,34,2,20,20,20,0,9,0,25,70,84,4,80,31,4,12,0,4,54,3,12,5,16,0,491,917
25,Orissa,Nowrangpur,21,17,5,16,4,4,0,0,0,10,50,70,5,65,26,5,6,0,6,23,0,20,0,10,0,416,705
26,Orissa,Nuapada,9,9,0,7,6,5,1,0,0,3,29,44,0,44,18,5,5,0,5,12,0,16,0,2,0,293,463
27,Orissa,Puri,21,104,10,25,22,17,5,36,0,47,163,297,31,266,36,4,43,0,12,150,21,22,2,59,0,1292,2366
28,Orissa,Rayagada,26,24,1,28,4,4,0,4,0,9,54,96,2,94,54,7,15,0,6,55,0,47,0,29,0,561,1017
29,Orissa,Rourkela,17,22,0,14,20,20,0,11,2,38,155,288,0,288,14,10,27,0,1,74,4,25,13,19,0,740,1494
30,Orissa,Sambalpur,31,89,2,29,11,11,0,16,0,63,209,244,0,244,54,9,22,0,9,78,4,79,11,0,0,1051,2011
31,Orissa,Sonepur,9,25,2,13,8,8,0,3,0,12,46,52,0,52,34,11,9,0,8,66,4,61,0,18,0,363,744
32,Orissa,SRP(Cuttack),5,1,0,1,0,0,0,0,1,13,18,216,25,191,2,2,5,0,1,46,0,7,3,0,0,60,381
33,Orissa,SRP(Rourkela),6,6,0,0,2,2,0,4,0,16,27,189,2,187,6,0,0,0,1,3,1,5,0,0,0,100,366
34,Orissa,Sundargarh,81,48,0,39,15,14,1,15,0,46,144,163,6,157,39,9,17,0,3,503,0,53,10,23,0,395,1603
35,Orissa,Total,1019,1299,65,820,482,431,51,348,14,1195,4348,7092,674,6418,1443,288,554,4,377,4748,234,1494,158,1208,0,23203,50393
1,Punjab,Amritsar,49,21,2,14,21,18,3,1,3,9,72,117,67,50,0,12,77,3,3,98,10,8,2,53,0,380,955
2,Punjab,Barnala,21,12,4,4,16,31,3,1,0,1,24,46,15,31,0,11,42,0,2,68,5,14,0,21,0,164,456
3,Punjab,Batala,17,8,1,10,13,12,1,0,5,0,26,33,7,26,0,14,40,0,0,83,19,3,0,0,0,305,577
4,Punjab,Bhatinda,21,28,4,7,16,6,10,1,1,0,53,70,32,38,1,20,47,0,3,197,8,9,0,19,0,150,655
5,Punjab,Faridkot,12,14,3,4,4,2,2,0,0,0,30,29,18,11,0,8,14,0,1,97,3,0,0,18,0,78,315
6,Punjab,Fatehgarh Sahib,22,8,2,11,5,2,3,0,5,1,31,52,10,42,0,10,74,0,0,76,9,5,0,6,0,222,539
7,Punjab,Ferozepur,71,56,10,26,28,18,10,1,1,3,89,137,51,86,0,25,89,2,9,420,9,21,0,30,0,264,1291
8,Punjab,G.R.P.,11,0,1,1,1,0,1,0,4,1,0,30,0,30,1,1,40,5,0,3,2,2,0,0,0,267,370
9,Punjab,Gurdapur,34,16,3,16,13,6,7,0,1,1,21,31,14,17,0,8,46,0,1,127,9,6,0,8,0,156,497
10,Punjab,Hoshiarpur,52,38,2,11,15,7,8,1,3,11,93,124,37,87,0,10,61,0,6,254,15,7,0,15,0,392,1110
11,Punjab,Jagraon,16,18,4,8,7,4,3,0,1,1,25,41,15,26,0,7,40,0,0,72,3,2,0,15,0,137,397
12,Punjab,Jalandhar,79,46,7,10,38,35,3,1,8,4,178,224,113,111,0,19,193,8,6,297,13,8,0,43,0,586,1768
13,Punjab,Kapurthala,16,12,5,13,15,13,2,0,0,1,34,53,19,34,0,5,45,0,2,97,5,5,0,15,0,241,564
14,Punjab,Khanna,15,14,5,1,9,4,5,0,4,2,29,36,23,13,0,4,24,2,0,62,6,0,0,6,0,164,383
15,Punjab,Ludhiana,41,35,12,42,51,35,16,6,12,6,128,342,238,104,0,24,311,3,5,149,15,5,0,151,0,645,1983
16,Punjab,Majitha,44,15,4,6,14,11,3,0,2,1,30,43,15,28,0,7,22,0,0,104,7,0,0,5,0,139,443
17,Punjab,Mansa,23,24,2,9,3,2,1,0,1,0,18,32,14,18,0,7,18,0,3,116,1,7,0,2,0,63,329
18,Punjab,Moga,20,22,3,3,14,10,4,0,1,2,40,59,27,32,0,12,22,0,2,163,6,6,0,1,0,103,479
19,Punjab,Muktsar,16,18,2,2,7,2,5,1,3,1,17,49,5,44,0,6,30,0,0,119,3,3,0,16,0,96,389
20,Punjab,Nawan Shahr,13,7,1,12,8,2,6,1,1,1,33,54,13,41,0,4,29,0,0,106,5,2,0,9,0,153,439
21,Punjab,Patiala,54,53,22,32,70,43,27,2,0,5,227,381,124,257,1,40,263,0,2,336,16,47,0,89,0,2299,3939
22,Punjab,Ropar,24,15,1,15,23,14,9,0,1,1,64,99,48,51,0,12,48,1,6,108,8,10,0,21,0,481,938
23,Punjab,Sangrur,37,26,7,10,12,8,4,0,1,3,56,51,22,29,0,42,73,0,0,127,10,6,0,8,0,250,719
24,Punjab,Taran Taran,33,22,1,15,20,13,7,2,6,3,32,73,22,51,0,6,35,0,2,159,6,22,0,11,0,289,737
25,Punjab,Total,741,528,108,282,423,280,143,18,64,58,1350,2206,949,1257,3,314,1683,24,53,3438,193,198,2,562,0,8024,20272
1,Rajasthan,Ajmer,59,86,14,38,104,1040,0,8,0,77,438,740,238,502,347,22,419,6,12,31,12,81,4,233,0,4253,6984
2,Rajasthan,Alwer,101,83,2,66,119,77,42,10,2,80,370,1097,305,792,1351,35,317,2,84,144,38,118,0,184,0,4143,8346
3,Rajasthan,Banswara,55,52,0,99,105,103,2,3,1,55,169,157,22,135,672,7,62,0,54,38,8,152,2,178,0,3019,4888
4,Rajasthan,Baran,44,146,2,58,131,131,0,2,0,43,294,419,51,368,229,15,150,0,50,238,6,165,9,160,0,2287,4448
5,Rajasthan,Barmer,21,26,0,22,31,19,12,0,0,16,138,172,36,136,83,4,104,0,31,46,6,45,0,40,0,1674,2459
6,Rajasthan,Bharatpur,70,112,0,62,124,105,19,11,4,63,208,845,132,713,737,30,227,2,70,3,29,34,0,205,0,4463,7299
7,Rajasthan,Bhilwara,35,36,3,47,274,274,0,1,0,66,470,773,201,572,403,18,389,10,35,162,6,134,4,285,0,3878,7029
8,Rajasthan,Bikaner,35,0,2,28,29,29,0,6,0,4,204,364,66,298,194,5,181,6,6,141,19,79,0,154,0,2524,3981
9,Rajasthan,Bundi,38,91,0,41,108,86,22,10,0,51,325,369,41,328,300,36,115,1,28,141,9,137,0,169,0,2366,4335
10,Rajasthan,Chittorgarh,65,59,4,80,290,232,58,4,2,72,602,840,117,723,847,13,289,1,96,3041,8,157,6,383,0,1256,8115
11,Rajasthan,Churu,33,39,1,22,28,9,19,1,1,18,205,242,20,222,295,10,161,2,26,496,16,114,0,170,0,1639,3519
12,Rajasthan,Dausa,35,34,0,9,44,27,17,0,0,13,196,411,83,328,1100,12,99,1,10,0,12,34,0,51,0,1636,3697
13,Rajasthan,Dholpur,50,102,0,22,58,43,15,6,3,34,110,280,33,247,545,11,53,1,12,21,17,67,0,68,0,1915,3375
14,Rajasthan,Dungarpur,27,17,0,29,50,46,4,1,0,15,92,98,25,73,288,20,24,0,26,361,7,49,0,66,0,1073,2243
15,Rajasthan,G.R.P.,5,5,0,0,5,1,4,0,0,7,2,437,13,424,13,1,3,1,0,9,1,7,0,2,0,293,791
16,Rajasthan,Ganganagar,74,140,1,60,96,86,10,0,0,14,280,525,119,406,116,38,411,6,24,844,26,166,1,397,0,3235,6454
17,Rajasthan,Hanumangarh,52,95,7,36,53,38,15,3,1,11,217,334,55,279,202,23,206,0,27,1057,16,111,1,266,0,1584,4302
18,Rajasthan,Jaipur,123,106,2,64,261,212,49,14,1,96,1224,3220,1059,2161,3186,209,1004,26,50,453,46,165,2,414,0,9400,20066
19,Rajasthan,Jaisalmer,7,7,0,3,5,5,0,2,0,7,48,153,2,151,46,4,34,0,16,336,4,26,0,17,0,410,1125
20,Rajasthan,Jalore,29,36,2,8,44,31,13,2,0,24,87,144,17,127,59,11,90,3,43,98,7,66,0,66,0,1871,2690
21,Rajasthan,Jhalawar,59,100,2,87,117,117,0,7,8,81,346,454,53,401,326,30,120,0,68,1335,6,149,8,239,0,683,4225
22,Rajasthan,Jhunjhunu,47,30,0,19,43,40,3,4,0,17,194,352,49,303,477,12,109,1,48,28,13,52,0,93,0,2404,3943
23,Rajasthan,Jodhpur,30,56,2,24,98,72,26,1,0,37,308,805,255,550,242,60,416,2,57,3116,28,119,1,294,0,904,6600
24,Rajasthan,Karauli,31,10,0,29,92,54,38,0,0,19,112,387,49,338,184,6,87,0,12,13,7,49,0,40,0,2194,3272
25,Rajasthan,Kota,46,302,1,62,195,195,0,1,0,38,612,1148,352,796,363,36,352,2,49,545,14,220,10,315,0,3579,7920
26,Rajasthan,Nagaur,59,11,0,23,51,29,22,0,1,13,208,335,87,248,147,8,132,2,24,30,15,69,0,76,0,3610,4814
27,Rajasthan,Pali,56,43,1,24,105,93,12,4,0,27,231,296,74,222,293,37,184,1,40,84,17,122,0,124,0,3300,4984
28,Rajasthan,Rajsamand,25,9,0,18,72,72,0,1,0,20,161,287,67,220,322,12,144,0,35,1484,7,57,0,148,0,842,3644
29,Rajasthan,Sawal Madhopur,29,0,0,14,55,48,7,1,0,10,78,328,104,224,728,3,94,0,21,15,4,28,0,76,0,1389,2873
30,Rajasthan,Sikar,52,0,0,11,57,24,33,4,0,20,291,412,38,374,1336,14,198,4,74,20,20,64,0,123,0,2104,4804
31,Rajasthan,Sirohi,29,34,0,15,31,28,3,0,1,24,195,142,31,111,80,4,47,2,20,65,0,28,0,62,0,1536,2315
32,Rajasthan,Tonk,24,35,2,22,72,46,26,1,0,16,169,401,91,310,480,19,118,0,36,83,7,120,2,124,0,3075,4806
33,Rajasthan,Udaipur,75,122,3,56,210,176,34,1,0,91,387,763,190,573,607,44,273,5,46,214,12,125,1,203,0,4600,7838
34,Rajasthan,Total,1520,2024,51,1198,3157,2652,505,109,25,1209,8971,17730,4075,13655,16598,809,6612,87,1230,14692,443,3109,51,5425,0,83139,168189
1,Sikkam,East,6,4,0,2,5,0,5,2,0,4,44,43,0,0,43,5,14,0,7,64,0,8,0,0,0,86,337
2,Sikkam,North,3,0,0,4,0,0,0,0,0,0,4,4,0,0,5,0,0,0,2,6,0,8,0,0,0,21,57
3,Sikkam,South,4,0,0,1,4,0,4,1,0,5,17,12,0,0,36,1,1,0,2,42,0,2,0,0,0,48,176
4,Sikkam,West,2,0,0,0,3,0,3,0,0,1,8,9,0,0,69,1,1,0,9,40,0,3,0,0,0,60,206
5,Sikkam,Total,15,4,0,7,12,0,12,3,0,10,73,68,0,0,153,7,16,0,20,152,0,21,0,0,0,215,776
1,Tamil Nadu,Chengai,60,44,0,7,38,38,0,8,37,13,398,835,291,544,35,38,51,2,18,478,11,43,628,38,0,2475,5257
2,Tamil Nadu,Chennai,93,333,1,27,41,12,29,18,0,104,475,2227,592,1635,60,98,1067,47,0,612,22,40,0,55,0,1468,6788
3,Tamil Nadu,Chennai Rly.,1,2,1,0,0,0,0,0,0,3,1,230,10,220,10,4,5,0,0,25,0,0,3,0,0,148,433
4,Tamil Nadu,Coimbatore Rural,59,61,0,9,47,30,17,10,0,30,400,1100,420,680,573,42,49,4,37,605,3,78,28,38,0,4802,7975
5,Tamil Nadu,Coimbatore Urban,22,28,0,4,23,14,9,0,0,17,174,909,288,621,75,32,47,6,8,171,11,25,100,18,0,2129,3799
6,Tamil Nadu,Cuddalore,53,114,0,17,46,46,0,8,0,9,181,783,365,418,556,9,18,3,115,692,5,94,193,32,0,4808,7736
7,Tamil Nadu,Dharmapuri,127,46,0,19,38,38,0,14,0,27,224,505,208,297,386,5,29,0,84,1011,3,73,21,44,0,2236,4892
8,Tamil Nadu,Dindigul,52,51,0,17,45,45,0,4,0,17,123,366,140,226,95,11,35,6,0,447,5,51,11,25,0,2923,4284
9,Tamil Nadu,Erode,63,26,0,7,48,26,22,3,0,14,183,649,296,353,76,6,42,1,35,651,17,59,5,16,0,4371,6272
10,Tamil Nadu,Kancheepuram,50,30,0,11,32,32,0,5,0,16,153,331,115,216,99,23,30,2,0,1629,9,69,22,12,0,3772,6295
11,Tamil Nadu,Kanyakummari,59,45,3,16,12,12,0,2,0,6,227,352,99,253,53,10,43,1,14,495,1,12,14,15,0,2384,3764
12,Tamil Nadu,Karur,28,23,2,2,19,19,0,2,0,4,59,278,159,119,69,6,63,1,18,417,4,15,5,1,0,1168,2184
13,Tamil Nadu,Madurai Rural,61,67,0,13,28,18,10,5,0,25,184,434,225,209,245,4,37,0,50,1856,7,48,8,22,0,1197,4291
14,Tamil Nadu,Madurai Urban,28,36,0,6,21,15,6,7,0,29,137,621,250,371,87,15,103,11,2,181,5,10,100,34,0,2265,3698
15,Tamil Nadu,Nagapattinam,38,53,1,27,50,36,14,0,0,6,99,321,151,170,85,8,17,1,48,632,4,58,13,1,0,2633,4095
16,Tamil Nadu,Namakkal,28,37,2,4,23,23,0,1,0,8,31,172,73,99,70,4,18,0,5,308,8,36,54,0,0,2822,3631
17,Tamil Nadu,Perambalur,42,114,2,21,56,56,0,15,0,14,96,201,85,116,171,11,35,2,57,720,1,118,7,19,0,1630,3332
18,Tamil Nadu,Pudukottai,30,24,0,3,42,33,9,0,0,3,101,267,142,125,209,5,28,5,33,288,9,69,6,42,0,1746,2910
19,Tamil Nadu,Ramnathapurram,41,45,0,10,23,23,0,2,0,3,114,186,41,145,79,0,30,1,36,394,3,30,6,19,0,1890,2912
20,Tamil Nadu,Salem Rural,66,23,0,5,19,17,2,0,0,4,50,150,93,57,97,0,1,0,19,449,7,36,7,3,0,1869,2805
21,Tamil Nadu,Salem Urban,18,18,0,3,20,20,0,1,0,10,83,405,208,197,26,2,34,4,1,179,0,10,23,8,0,860,1705
22,Tamil Nadu,Sivagangai,23,65,1,14,62,45,17,5,0,14,164,350,124,226,58,8,54,0,49,974,4,71,8,17,0,1181,3122
23,Tamil Nadu,Thanjiavur,64,86,0,17,53,53,0,3,0,21,197,507,286,221,186,10,24,23,0,706,3,131,236,13,0,1361,3641
24,Tamil Nadu,The Nilgiris,17,14,0,2,2,2,0,3,0,2,72,96,15,81,61,1,9,2,5,193,1,24,5,9,0,512,1030
25,Tamil Nadu,Theni,26,20,3,6,14,14,0,3,0,3,69,247,137,110,52,2,18,0,22,655,6,30,7,11,0,701,1895
26,Tamil Nadu,Thirunel Veli Rural,121,177,0,40,53,48,5,9,0,35,247,436,164,272,55,17,31,4,131,826,7,142,76,21,0,3521,5949
27,Tamil Nadu,Thirunel Veli Urban,22,17,2,2,11,5,6,5,0,33,105,326,108,218,25,3,16,1,21,83,1,7,5,0,0,794,1479
28,Tamil Nadu,Thiruvannamalal,52,29,2,12,41,41,0,1,0,22,143,501,131,370,279,13,30,1,52,788,1,83,12,0,0,2565,4627
29,Tamil Nadu,Thiruvarur,21,36,0,8,28,28,0,3,0,6,103,193,68,125,57,5,19,0,39,845,3,46,5,0,0,1339,2756
30,Tamil Nadu,Thoothugudi,60,96,1,26,27,27,0,4,0,27,198,368,102,266,112,14,15,5,56,738,3,94,23,19,0,3300,5186
31,Tamil Nadu,Tiruvalluvar,31,14,1,8,44,40,4,5,1,12,165,509,56,453,247,9,20,0,20,889,7,77,59,7,0,1183,3308
32,Tamil Nadu,Trichy Rly.,0,1,0,0,0,0,0,0,0,0,1,53,1,52,3,0,1,0,0,23,0,0,1,0,0,89,172
33,Tamil Nadu,Trichy Rural,57,24,0,4,26,26,0,8,0,5,76,325,142,183,114,7,18,3,22,326,0,44,0,3,0,1716,2778
34,Tamil Nadu,Trichy Urban,20,23,0,4,6,6,0,1,0,7,128,651,195,456,26,23,54,6,0,463,5,6,18,16,0,379,1836
35,Tamil Nadu,Vellore,75,29,1,19,50,34,16,6,0,20,431,1084,443,641,429,26,105,3,61,2258,14,85,31,9,0,2402,7138
36,Tamil Nadu,Villupuram,58,76,2,23,53,41,12,7,0,20,122,376,100,276,372,11,12,0,93,875,7,83,26,33,0,5188,7437
37,Tamil Nadu,Virudhunagar,60,65,0,17,37,37,0,3,0,26,142,528,265,263,196,16,50,5,32,467,0,62,10,20,0,2561,4297
38,Tamil Nadu,Total,1726,1992,25,430,1178,1000,178,171,38,615,5856,17872,6588,11284,5428,498,2258,150,1183,23349,197,1959,1776,620,0,78388,145709
1,Tripura,Dhalal,40,1,0,5,35,2,33,5,0,11,21,11,0,11,11,0,1,0,13,42,0,4,0,12,0,49,261
2,Tripura,North,34,10,0,22,22,7,15,10,0,27,44,70,0,70,41,5,12,0,18,85,2,14,0,29,0,148,593
3,Tripura,South,73,9,0,28,83,8,75,28,0,29,60,68,0,68,88,4,6,0,17,130,8,24,0,40,0,201,896
4,Tripura,West,130,12,1,17,79,10,69,22,0,35,116,148,0,148,67,1,18,0,95,216,7,29,0,32,0,354,1379
5,Tripura,Total,277,32,1,72,219,27,192,65,0,102,241,297,0,297,207,10,37,0,143,473,17,71,0,113,0,752,3129
1,Uttar Pradesh,Agra,138,178,26,39,171,107,64,34,0,113,357,975,355,620,318,147,228,11,20,444,46,72,128,222,0,1852,5519
2,Uttar Pradesh,Aligarh,201,315,15,54,168,108,60,36,0,239,300,879,40,839,516,120,116,0,11,299,57,85,30,238,0,2073,5752
3,Uttar Pradesh,Allahabad,175,198,43,41,121,104,17,29,0,117,458,810,181,629,289,116,208,2,52,408,72,82,63,211,0,2201,5696
4,Uttar Pradesh,Almora,8,11,2,1,2,2,0,1,1,10,10,44,2,42,6,8,10,0,0,7,5,7,1,8,0,85,227
5,Uttar Pradesh,Ambedkar Nagar,42,47,13,10,21,14,7,9,0,30,100,175,3,172,80,23,38,0,7,190,10,14,9,62,0,480,1360
6,Uttar Pradesh,Auraiya,51,57,13,8,49,29,20,7,0,16,38,82,11,71,38,19,24,3,3,143,14,6,6,27,0,537,1141
7,Uttar Pradesh,Azamgarh,93,12,33,9,36,29,7,5,0,50,164,202,16,186,101,28,55,1,32,138,25,20,12,33,0,838,1977
8,Uttar Pradesh,Badaun,231,234,28,54,105,57,48,21,1,85,124,460,18,442,93,27,52,4,31,237,46,54,15,66,0,1257,3225
9,Uttar Pradesh,Bageshwar,2,2,0,0,2,2,0,0,0,2,6,5,0,5,3,2,0,0,0,2,2,0,0,2,0,40,70
10,Uttar Pradesh,Baghpat,148,137,7,19,40,21,19,9,1,49,51,161,25,136,72,20,12,0,7,9,20,17,20,49,0,474,1322
11,Uttar Pradesh,Bahraich,61,81,14,19,42,38,4,9,3,36,144,290,23,267,66,24,54,2,22,154,14,39,8,24,0,581,1687
